name,gw_frac,n_postcodes
CH3,0.0,1101
CH30,0.0,3
CH31,0.0,8
CH32,0.0,15
CH33,0.0,9
CH34,0.0,65
CH4,0.0,463
CH41,0.0,776
CH42,0.0,681
CH43,0.0,933
CH44,0.0,768
CH45,0.0,755
CH46,0.0,590
CH47,0.0,342
CH48,0.0,505
CH49,0.0,670
CH60,0.0,463
CH61,0.0,417
CH62,0.0,813
CH63,0.0,819
CH64,0.0,640
CH65,0.0,803
CH66,0.0,972
CH70,0.0,4
CH88,0.0,1
CH99,0.0,7
CM0,0.0,552
CM1,0.0,1499
CM11,0.0,448
CM12,0.0,520
CM13,0.0,697
CM14,0.0,632
CM15,0.0,587
CM16,0.0,627
CM17,0.0,518
CM18,0.0,430
CM19,0.0,397
CM2,0.0,1306
CM20,0.0,626
CM21,0.0,312
CM22,0.0,514
CM23,0.0,1101
CM24,0.0,270
CM3,0.0,1559
CM4,0.0,424
CM5,0.0,445
CM6,0.0,930
CM7,0.0,1317
CM77,0.0,441
CM8,0.0,902
CM9,0.0,975
CM92,0.0,18
CM99,0.0,84
CO1,0.0,569
CO10,0.0,1632
CO11,0.0,552
CO12,0.0,623
CO13,0.0,434
CO14,0.0,240
CO15,0.0,1350
CO16,0.0,796
CO2,0.0,939
CO3,0.0,852
CO4,0.0,1163
CO5,0.0,954
CO6,0.0,1006
CO7,0.0,1285
CO8,0.0,124
CO9,0.0,918
CR0,0.09799,2735
CR2,0.17088,989
CR3,0.12354,769
CR4,0.0,903
CR5,0.10653,704
CR6,0.0,253
CR7,0.0,608
CR8,0.39744,780
CR9,0.05224,134
CR90,0.0,63
CT1,0.66924,907
CT10,0.0,729
CT11,0.04287,863
CT12,0.21928,529
CT13,0.66667,384
CT14,0.74784,1158
CT15,0.05175,599
CT16,0.68071,617
CT17,0.94727,531
CT18,0.0046,435
CT19,0.0,634
CT2,0.38762,743
CT20,0.0,793
CT21,0.0,642
CT3,0.38451,762
CT4,0.31227,807
CT5,0.0,956
CT6,0.01276,1019
CT7,0.18382,408
CT8,0.0,215
CT9,0.0,1127
CV1,0.0,747
CV10,0.0,1024
CV11,0.0,907
CV12,0.0,641
CV13,0.0,354
CV2,0.0,1231
CV21,0.0,983
CV22,0.0,803
CV23,0.0,840
CV3,0.0,1341
CV31,0.0,807
CV32,0.0,917
CV33,0.0,305
CV34,0.0,966
CV35,0.0,962
CV36,0.0,412
CV37,0.0,1540
CV4,0.0,666
CV47,0.0,637
CV5,0.0,881
CV6,0.0,1509
CV7,0.0,735
CV8,0.0,771
CV9,0.0,675
CW1,0.0,1126
CW10,0.0,443
CW11,0.0,820
CW12,0.0,1010
CW2,0.0,1027
CW3,0.0,342
CW4,0.0,345
CW5,0.0,988
CW6,0.0,549
CW7,0.0,858
CW8,0.0,1099
CW9,0.0,1051
CW98,0.0,1
DA1,0.08086,1249
DA10,0.0,246
DA11,0.0,828
DA12,0.0,987
DA13,0.0,376
DA14,0.15789,513
DA15,0.0,502
DA16,0.0,563
DA17,0.23324,343
DA18,0.0,68
DA2,0.0,501
DA3,0.0,343
DA4,0.0,240
DA5,0.04784,439
DA6,0.004,250
DA7,0.0,672
DA8,0.14174,642
DA9,0.0,320
DE1,0.0,676
DE11,0.0,1052
DE12,0.0,564
DE13,0.0,974
DE14,0.0,768
DE15,0.0,514
DE21,0.0,1264
DE22,0.0,1064
DE23,0.0,1080
DE24,0.0,1154
DE3,0.0,441
DE4,0.0,1017
DE45,0.0,311
DE5,0.0,530
DE55,0.0,1190
DE56,0.0,899
DE6,0.0,776
DE65,0.0,544
DE7,0.0,1110
DE72,0.0,451
DE73,0.0,517
DE74,0.0,325
DE75,0.0,338
DE99,0.0,1
DG14,0.0,1
DG16,0.0,5
DH1,0.0,1285
DH2,0.0,708
DH3,0.0,760
DH4,0.0,921
DH5,0.0,544
DH6,0.0,1032
DH7,0.0,1250
DH8,0.0,1318
DH9,0.0,1196
DH97,0.0,1
DH98,0.0,1
DH99,0.0,2
DL1,0.0,1381
DL10,0.0,835
DL11,0.0,451
DL12,0.0,719
DL13,0.0,955
DL14,0.0,1170
DL15,0.0,698
DL16,0.0,571
DL17,0.0,528
DL2,0.0,800
DL3,0.0,1149
DL4,0.0,299
DL5,0.0,797
DL6,0.0,669
DL7,0.0,740
DL8,0.0,1145
DL9,0.0,387
DN1,0.0,473
DN10,0.0,556
DN11,0.0,797
DN12,0.0,623
DN14,0.0,1648
DN15,0.0,976
DN16,0.0,747
DN17,0.0,959
DN18,0.01913,366
DN19,0.05858,239
DN2,0.0,566
DN20,0.0,666
DN21,0.0,1335
DN22,0.0,1209
DN3,0.0,699
DN31,0.0,460
DN32,0.0,648
DN33,0.0,536
DN34,0.0,464
DN35,0.0,812
DN36,0.0,634
DN37,0.0,655
DN38,0.0,104
DN39,0.0,110
DN4,0.0,1290
DN40,0.0,445
DN41,0.0,238
DN5,0.0,955
DN6,0.0,842
DN7,0.0,645
DN8,0.0,491
DN9,0.0,670
DT1,1.0,771
DT10,0.0,464
DT11,0.86985,1068
DT2,0.67679,1120
DT3,0.07703,688
DT4,0.0,990
DT5,0.0,312
DT6,0.0,1005
DT7,0.0,281
DT8,0.06034,232
DT9,0.0,905
DY1,0.0,796
DY10,0.0,974
DY11,0.0,802
DY12,0.0,568
DY13,0.0,662
DY14,0.0,600
DY2,0.0,741
DY3,0.0,813
DY4,0.0,955
DY5,0.0,943
DY6,0.0,734
DY7,0.0,339
DY8,0.0,1199
DY9,0.0,842
E1,0.0,1473
E10,0.0,593
E11,0.0,844
E12,0.0,397
E13,0.0,566
E14,0.0,1862
E15,0.0,810
E16,0.0,935
E17,0.0,1515
E18,0.0,369
E1W,0.0,393
E2,0.0,964
E20,0.0,182
E3,0.0,1139
E4,0.0,976
E5,0.0,661
E6,0.0,917
E7,0.0,542
E8,0.0,730
E9,0.0,651
E98,0.0,54
EC1A,0.0,167
EC1M,0.0,168
EC1N,0.0,151
EC1P,0.0,220
EC1R,0.0,258
EC1V,0.0,471
EC1Y,0.0,178
EC2A,0.0,320
EC2M,0.0,159
EC2N,0.0,51
EC2P,0.0,76
EC2R,0.0,74
EC2V,0.0,97
EC2Y,0.0,89
EC3A,0.0,68
EC3M,0.0,70
EC3N,0.0,85
EC3P,0.0,21
EC3R,0.0,83
EC3V,0.0,75
EC4A,0.0,107
EC4M,0.0,87
EC4N,0.0,66
EC4P,0.0,50
EC4R,0.0,58
EC4V,0.0,112
EC4Y,0.0,126
EN1,0.0,975
EN10,0.0,424
EN11,0.0,652
EN2,0.0,820
EN3,0.0,989
EN4,0.0,551
EN5,0.0,1052
EN6,0.0,872
EN7,0.0,496
EN8,0.0,914
EN9,0.0,675
EX1,0.0,852
EX10,0.0,838
EX11,0.0,335
EX12,0.0,495
EX13,0.0,599
EX14,0.0,961
EX15,0.0,876
EX16,0.0,1339
EX17,0.0,995
EX18,0.0,196
EX19,0.0,213
EX2,0.0,1385
EX20,0.0,1025
EX21,0.0,280
EX22,0.0,608
EX23,0.0,689
EX24,0.0,211
EX3,0.0,220
EX31,0.0,963
EX32,0.0,818
EX33,0.0,367
EX34,0.0,662
EX35,0.0,122
EX36,0.0,405
EX37,0.0,200
EX38,0.0,304
EX39,0.0,1350
EX4,0.0,1454
EX5,0.0,1121
EX6,0.0,723
EX7,0.0,483
EX8,0.0,1087
EX9,0.0,315
FY1,0.0,974
FY2,0.0,546
FY3,0.0,772
FY4,0.0,1101
FY5,0.0,1169
FY6,0.0,822
FY7,0.0,653
FY8,0.0,1277
GL1,0.0,1014
GL10,0.0,475
GL11,0.0,620
GL12,0.0,467
GL13,0.0,238
GL14,0.0,636
GL15,0.0,794
GL16,0.0,488
GL17,0.0,556
GL18,0.0,323
GL19,0.0,381
GL2,0.0,1457
GL20,0.0,969
GL3,0.0,997
GL4,0.0,1151
GL5,0.0,1099
GL50,0.0,887
GL51,0.0,1545
GL52,0.0,1356
GL53,0.0,737
GL54,0.0,1047
GL55,0.0,290
GL56,0.0,518
GL6,0.0,1052
GL7,0.0,1633
GL8,0.0,339
GL9,0.0,112
GU1,0.0,1052
GU10,0.03719,968
GU11,0.0,644
GU12,0.0,785
GU14,0.0,1342
GU15,0.0,898
GU16,0.0,585
GU17,0.0,295
GU18,0.0,144
GU19,0.0,173
GU2,0.0,670
GU20,0.0,140
GU21,0.0,1149
GU22,0.0,934
GU23,0.0,257
GU24,0.0,546
GU25,0.0,223
GU26,0.0,277
GU27,0.03236,618
GU28,0.0,357
GU29,0.0,424
GU3,0.0,404
GU30,0.0,300
GU31,0.00232,431
GU32,0.1412,517
GU33,0.0,349
GU34,0.06418,1231
GU35,0.0,722
GU4,0.0,491
GU46,0.0,341
GU47,0.0,416
GU5,0.0,390
GU51,0.0,814
GU52,0.0,427
GU6,0.0,538
GU7,0.25263,760
GU8,0.02588,657
GU9,0.0,985
HA0,0.0,841
HA1,0.0,924
HA2,0.0,958
HA3,0.0,1260
HA4,0.0,1145
HA5,0.0,1104
HA6,0.0,727
HA7,0.0,851
HA8,0.0,1410
HA9,0.0,974
HD1,0.0,836
HD2,0.0,620
HD3,0.0,719
HD4,0.0,721
HD5,0.0,717
HD6,0.0,776
HD7,0.0,599
HD8,0.0,928
HD9,0.0,1191
HG1,0.0,962
HG2,0.0,721
HG3,0.0,1175
HG4,0.0,997
HG5,0.0,605
HP1,0.0,667
HP10,0.0,561
HP11,0.0,522
HP12,0.0,500
HP13,0.0,844
HP14,0.00936,534
HP15,0.0,425
HP16,0.00536,373
HP17,0.0,355
HP18,0.0,690
HP19,0.0,595
HP2,0.0,946
HP20,0.0,508
HP21,0.0,727
HP22,0.0,951
HP23,0.0,572
HP27,0.0,439
HP3,0.0,751
HP4,0.0,744
HP5,0.12996,731
HP6,0.0,455
HP7,0.0,360
HP8,0.0,217
HP9,0.0,560
HR1,0.0,1064
HR2,0.0,1300
HR3,0.0,228
HR4,0.0,927
HR5,0.0,205
HR6,0.0,796
HR7,0.0,280
HR8,0.0,556
HR9,0.0,819
HU1,0.0,285
HU10,0.0,512
HU11,0.0,417
HU12,0.0,759
HU13,0.0,426
HU14,0.0,233
HU15,0.0,658
HU16,0.0,483
HU17,0.0,1233
HU18,0.0,255
HU19,0.0,195
HU2,0.0,193
HU20,0.0,34
HU3,0.0,749
HU4,0.0,422
HU5,0.0,1045
HU6,0.0,658
HU7,0.0,744
HU8,0.0,742
HU9,0.0,1059
HX1,0.0,887
HX2,0.0,1118
HX3,0.0,1415
HX4,0.0,434
HX5,0.0,295
HX6,0.0,785
HX7,0.0,708
IG1,0.0,928
IG10,0.0,735
IG11,0.0,954
IG2,0.0,416
IG3,0.0,470
IG4,0.0,137
IG5,0.0,233
IG6,0.0,556
IG7,0.0,493
IG8,0.0,804
IG9,0.0,289
IP1,0.0,1079
IP10,0.0,190
IP11,0.0,951
IP12,0.0,1047
IP13,0.0,1162
IP14,0.0,1538
IP15,0.0,166
IP16,0.0,309
IP17,0.0,727
IP18,0.0,291
IP19,0.0,589
IP2,0.0,715
IP20,0.0,315
IP21,0.0,522
IP22,0.0,861
IP23,0.0,320
IP24,0.0,773
IP25,0.0,618
IP26,0.0,330
IP27,0.0,503
IP28,0.0,849
IP29,0.0,405
IP3,0.0,764
IP30,0.0,567
IP31,0.00133,753
IP32,0.0,439
IP33,0.0122,738
IP4,0.0,942
IP5,0.0,443
IP6,0.0,731
IP7,0.0,685
IP8,0.0,457
IP9,0.0,486
IP98,0.0,7
KT1,0.0,682
KT10,0.0,616
KT11,0.0,517
KT12,0.0,992
KT13,0.0,790
KT14,0.0,392
KT15,0.0,757
KT16,0.0,601
KT17,0.29144,748
KT18,0.07831,498
KT19,0.04683,726
KT2,0.0,669
KT20,0.0,671
KT21,0.0,372
KT22,0.0,891
KT23,0.0,373
KT24,0.0,369
KT3,0.0,737
KT4,0.0,526
KT5,0.0,366
KT6,0.0,738
KT7,0.0,254
KT8,0.0,432
KT9,0.0,398
L1,0.0,439
L10,0.0,285
L11,0.0,546
L12,0.0,591
L13,0.0,560
L14,0.0,474
L15,0.0,472
L16,0.0,244
L17,0.0,452
L18,0.0,554
L19,0.0,495
L2,0.0,166
L20,0.0,984
L21,0.0,570
L22,0.0,278
L23,0.0,677
L24,0.0,395
L25,0.0,852
L26,0.0,329
L27,0.0,154
L28,0.0,114
L29,0.0,22
L3,0.0,542
L30,0.0,452
L31,0.0,758
L32,0.0,541
L33,0.0,537
L34,0.0,462
L35,0.0,690
L36,0.0,929
L37,0.0,681
L38,0.0,99
L39,0.0,733
L4,0.0,790
L40,0.0,561
L5,0.0,423
L6,0.0,489
L67,0.0,2
L68,0.0,1
L69,0.0,144
L7,0.0,453
L70,0.0,10
L71,0.0,5
L72,0.0,23
L75,0.0,20
L8,0.0,688
L80,0.0,1
L9,0.0,628
LA1,0.0,1343
LA10,0.0,218
LA11,0.0,438
LA12,0.0,950
LA13,0.0,497
LA14,0.0,1172
LA15,0.0,261
LA16,0.0,112
LA17,0.0,58
LA18,0.0,301
LA19,0.0,70
LA2,0.0,969
LA20,0.0,88
LA21,0.0,93
LA22,0.0,392
LA23,0.0,496
LA3,0.0,737
LA4,0.0,743
LA5,0.0,578
LA6,0.0,672
LA7,0.0,210
LA8,0.0,497
LA9,0.0,927
LD7,0.0,29
LD8,0.0,29
LE1,0.0,688
LE10,0.0,1112
LE11,0.0,1199
LE12,0.0,1534
LE13,0.0,620
LE14,0.0,651
LE15,0.0,1098
LE16,0.0,1004
LE17,0.0,807
LE18,0.0,746
LE19,0.0,487
LE2,0.0,2049
LE21,0.0,12
LE3,0.0,1817
LE4,0.0,1842
LE41,0.0,21
LE5,0.0,1447
LE6,0.0,248
LE65,0.0,469
LE67,0.0,1498
LE7,0.0,1190
LE8,0.0,873
LE87,0.0,2
LE9,0.0,1257
LE94,0.0,4
LL14,0.0,29
LN1,0.0,911
LN10,0.0,198
LN11,0.0,1162
LN12,0.0,439
LN13,0.0,336
LN2,0.0,1132
LN3,0.0,290
LN4,0.0,1120
LN5,0.0,1015
LN6,0.0,1444
LN7,0.0,263
LN8,0.0,661
LN9,0.0,392
LS1,0.0,486
LS10,0.0,888
LS11,0.0,962
LS12,0.0,1188
LS13,0.0,899
LS14,0.0,952
LS15,0.0,983
LS16,0.0,1001
LS17,0.0,1262
LS18,0.0,521
LS19,0.0,574
LS2,0.0,325
LS20,0.0,352
LS21,0.0,648
LS22,0.0,569
LS23,0.0,367
LS24,0.0,408
LS25,0.0,1193
LS26,0.0,800
LS27,0.0,1095
LS28,0.0,1141
LS29,0.0,1216
LS3,0.0,116
LS4,0.0,204
LS5,0.0,203
LS6,0.0,872
LS7,0.0,671
LS8,0.0,930
LS88,0.0,1
LS9,0.0,872
LS98,0.0,2
LS99,0.0,2
LU1,0.0,927
LU2,0.00101,987
LU3,0.0,842
LU4,0.0,726
LU5,0.0,757
LU6,0.0,714
LU7,0.0,1384
M1,0.0,495
