name,f_high,f_low
KY2 5,0.003644,0.032434
KY2 6,0.000127,0.000855
KY2 9,0.002297,0.015426
KY3 0,0.000129,0.000490
KY3 9,0.000120,0.005431
KY4 0,0.001441,0.001719
KY4 8,0.018230,0.024114
KY4 9,0.014885,0.015102
KY5 0,0.046040,0.076345
KY5 8,0.022052,0.023589
KY5 9,0.002548,0.003827
KY6 1,0.000775,0.001170
KY6 2,0.000523,0.000790
KY6 3,0.010722,0.016088
KY7 4,0.000771,0.000796
KY7 5,0.006930,0.006964
KY7 6,0.016519,0.016535
KY7 9,0.001471,0.001520
KY8 1,0.001827,0.002451
KY8 2,0.001854,0.002487
KY8 3,0.012572,0.013049
KY8 4,0.025305,0.037797
KY8 5,0.015072,0.015375
KY8 6,0.002196,0.011717
KY8 9,0.012517,0.016788
KY9 1,0.008761,0.025612
L1 0,0.000063,0.006739
L1 1,0.000047,0.005054
L1 2,0.000095,0.010109
L1 3,0.000081,0.008603
L1 4,0.000041,0.004348
L1 5,0.000041,0.004348
L1 6,0.000074,0.007929
L1 7,0.000111,0.011893
L1 8,0.000051,0.125391
L1 9,0.000059,0.006318
L10 0,0.002036,0.004196
L10 1,0.022793,0.024401
L10 2,0.001516,0.003125
L10 3,0.001425,0.022937
L10 4,0.001004,0.002068
L10 5,0.003393,0.006993
L10 6,0.001516,0.003125
L10 7,0.001228,0.002532
L10 8,0.001149,0.002369
L10 9,0.001516,0.003125
L11 0,0.000047,0.000131
L11 1,0.000032,0.000089
L11 2,0.000027,0.000075
L11 3,0.000036,0.000100
L11 4,0.000036,0.000100
L11 5,0.000066,0.000183
L11 6,0.000066,0.000183
L11 7,0.000043,0.000118
L11 8,0.000053,0.000146
L11 9,0.000052,0.000144
L12 0,0.011253,0.033754
L12 1,0.001500,0.004485
L12 2,0.001602,0.004791
L12 3,0.002014,0.006023
L12 4,0.000928,0.002774
L12 5,0.000801,0.002395
L12 6,0.001237,0.003698
L12 7,0.000953,0.002849
L12 8,0.001022,0.003055
L12 9,0.000719,0.002151
L13 0,0.000049,0.000134
L13 1,0.000050,0.000139
L13 2,0.000043,0.000119
L13 3,0.000041,0.000114
L13 4,0.000043,0.000119
L13 5,0.000031,0.000086
L13 6,0.000044,0.000121
L13 7,0.000034,0.000093
L13 8,0.000040,0.000111
L13 9,0.000043,0.000119
L14 0,0.000037,0.000102
L14 1,0.000069,0.000191
L14 2,0.000060,0.000165
L14 3,0.000067,0.000184
L14 4,0.000061,0.000168
L14 5,0.000072,0.000199
L14 6,0.000058,0.000160
L14 7,0.000037,0.000102
L14 8,0.000051,0.000141
L14 9,0.000045,0.000124
L15 0,0.000058,0.000161
L15 1,0.000062,0.000172
L15 2,0.000077,0.000212
L15 3,0.000062,0.000172
L15 4,0.000041,0.000115
L15 5,0.000068,0.000188
L15 6,0.000042,0.000117
L15 7,0.000054,0.000149
L15 8,0.000038,0.000106
L15 9,0.000074,0.000204
L16 0,0.002523,0.016811
L16 1,0.001936,0.012901
L16 2,0.018677,0.026806
L16 3,0.001487,0.117049
L16 4,0.002449,0.016316
L16 5,0.001892,0.012608
L16 6,0.002135,0.014225
L16 7,0.001514,0.010086
L16 8,0.001982,0.013209
L16 9,0.002250,0.014993
L17 0,0.000041,0.000112
L17 1,0.000107,0.000295
L17 2,0.000087,0.000240
L17 3,0.000070,0.000195
L17 4,0.000072,0.000199
L17 5,0.000075,0.000207
L17 6,0.000047,0.000131
L17 7,0.000040,0.000110
L17 8,0.000043,0.000119
L17 9,0.000063,0.000175
L18 0,0.000079,0.000219
L18 1,0.000028,0.000077
L18 2,0.000051,0.000142
L18 3,0.000033,0.000092
L18 4,0.000045,0.000124
L18 5,0.000047,0.000129
L18 6,0.000054,0.000149
L18 7,0.000050,0.000137
L18 8,0.000049,0.000135
L18 9,0.000036,0.000100
L19 0,0.000044,0.000121
L19 1,0.000058,0.000161
L19 2,0.000038,0.000104
L19 3,0.000049,0.000136
L19 4,0.000049,0.000136
L19 5,0.000071,0.000198
