name,sw_high,sw_low
B68 8,0.072334,0.229987
B68 9,0.052544,0.117661
B69 1,0.119505,0.345077
B69 2,0.162454,0.394019
B69 3,0.141172,0.297266
B69 4,0.111426,0.382699
B69 9,0.055673,0.152466
B7 4,0.087632,0.247986
B7 5,0.080934,0.248140
B70 0,0.114285,0.257577
B70 1,0.108558,0.249261
B70 6,0.064949,0.232472
B70 7,0.156135,0.281586
B70 8,0.088841,0.204272
B70 9,0.119659,0.262303
B71 1,0.118716,0.320987
B71 2,0.129270,0.286279
B71 3,0.117900,0.264209
B71 4,0.114327,0.259454
B72 1,0.126486,0.253224
B73 5,0.074264,0.225948
B73 6,0.069000,0.190507
B73 9,0.072856,0.209913
B74 2,0.039243,0.165398
B74 3,0.032398,0.109021
B74 4,0.061665,0.166592
B75 5,0.063292,0.141093
B75 6,0.072668,0.208292
B75 7,0.116862,0.248908
B76 0,0.048427,0.181411
B76 1,0.069140,0.210653
B76 2,0.082619,0.254391
B76 9,0.103856,0.269544
B77 1,0.047404,0.152233
B77 2,0.057085,0.192610
B77 3,0.102908,0.281741
B77 4,0.051444,0.133132
B77 5,0.056684,0.179100
B77 9,0.041459,0.122850
B78 1,0.098885,0.248415
B78 2,0.094929,0.204079
B78 3,0.079018,0.256653
B79 0,0.042811,0.084643
B79 7,0.124061,0.370459
B79 8,0.150303,0.335303
B79 9,0.099794,0.171133
B8 1,0.073657,0.229534
B8 2,0.074373,0.212928
B8 3,0.093907,0.227100
B80 7,0.157741,0.288060
B9 4,0.115940,0.280530
B9 5,0.085231,0.230325
B9 9,0.096364,0.247866
B90 1,0.102355,0.214820
B90 2,0.205885,0.375883
B90 3,0.115612,0.300632
B90 4,0.149866,0.275219
B90 8,0.063600,0.100622
B90 9,0.135321,0.272301
B91 1,0.124093,0.236090
B91 2,0.074181,0.215174
B91 3,0.073385,0.227700
B91 9,0.046523,0.116820
B92 0,0.074283,0.203014
B92 7,0.148991,0.302766
B92 8,0.140701,0.384018
B92 9,0.085172,0.209446
B93 0,0.051520,0.124289
B93 3,0.086399,0.182171
B93 8,0.123786,0.252872
B93 9,0.066636,0.134338
B94 5,0.079868,0.133895
B94 6,0.063229,0.178858
B95 5,0.127947,0.213896
B95 6,0.092622,0.163789
B95 8,0.114996,0.199115
B96 6,0.100499,0.191799
B97 4,0.156317,0.264999
B97 5,0.071049,0.161275
B97 6,0.146047,0.274559
B97 9,0.417061,0.487995
B98 0,0.148608,0.344078
B98 7,0.121243,0.286328
B98 8,0.121266,0.268324
B98 9,0.129705,0.236832
BA1 0,0.035689,0.096137
BA1 1,0.181144,0.431180
BA1 2,0.213348,0.428591
BA1 3,0.117704,0.344775
BA1 4,0.053800,0.257173
BA1 5,0.096210,0.244639
BA1 6,0.081918,0.288065
BA1 7,0.042582,0.138854
BA1 8,0.046249,0.131545
BA1 9,0.042638,0.146888
BA10 0,0.051832,0.149222
BA11 1,0.110516,0.269154
BA11 2,0.072426,0.174666
BA11 3,0.046017,0.213634
BA11 4,0.113040,0.238769
BA11 5,0.083365,0.188082
BA11 6,0.123925,0.218833
BA11 9,0.087785,0.214525
BA12 0,0.058369,0.142877
BA12 2,0.067944,0.157387
BA12 6,0.077138,0.185495
BA12 7,0.032418,0.088757
BA12 8,0.086707,0.187986
BA12 9,0.077899,0.167370
BA13 2,0.120900,0.332726
BA13 3,0.102885,0.241522
BA13 4,0.051574,0.135253
BA13 9,0.081350,0.199089
BA14 0,0.166920,0.320326
BA14 4,0.128833,0.252934
BA14 6,0.083308,0.173972
BA14 7,0.094316,0.191176
BA14 8,0.116904,0.261102
BA14 9,0.192158,0.333561
BA15 1,0.103287,0.220082
BA15 2,0.067879,0.116180
BA15 5,0.088973,0.179228
BA16 0,0.114857,0.205765
BA16 9,0.039165,0.085525
BA2 0,0.059661,0.130301
BA2 1,0.046933,0.190534
BA2 2,0.061413,0.193484
BA2 3,0.230366,0.416028
BA2 4,0.138731,0.269836
BA2 5,0.092417,0.170100
BA2 6,0.113753,0.228836
BA2 7,0.055719,0.135810
BA2 8,0.055530,0.140621
BA2 9,0.059366,0.095779
BA20 1,0.131849,0.246467
BA20 2,0.084633,0.154827
BA20 9,0.102566,0.191435
BA21 3,0.059820,0.159956
BA21 4,0.035391,0.087582
BA21 5,0.042272,0.140304
BA22 7,0.079517,0.202728
BA22 8,0.079370,0.188341
BA22 9,0.076197,0.180752
BA3 2,0.075577,0.210977
BA3 3,0.090837,0.224219
BA3 4,0.063983,0.178611
BA3 5,0.074291,0.164905
BA3 9,0.076097,0.193560
BA4 4,0.040105,0.125167
BA4 5,0.118500,0.290160
BA4 6,0.080906,0.212788
BA4 9,0.028706,0.074964
BA5 1,0.094676,0.242134
BA5 2,0.133367,0.316376
BA5 3,0.043507,0.153527
BA5 9,0.093809,0.242537
BA6 0,0.131400,0.269330
BA6 8,0.105979,0.212410
BA6 9,0.160098,0.331181
BA7 7,0.074751,0.208967
BA8 0,0.081404,0.196281
BA9 0,0.099463,0.274233
BA9 8,0.069855,0.213179
BA9 9,0.116690,0.313170
BB1 1,0.133808,0.293457
BB1 2,0.112612,0.262685
BB1 3,0.139380,0.293331
BB1 4,0.039260,0.128993
BB1 5,0.242581,0.422825
BB1 6,0.198333,0.412119
BB1 7,0.224517,0.431323
BB1 8,0.042416,0.215554
BB1 9,0.130971,0.278672
BB10 1,0.146162,0.376734
BB10 2,0.114106,0.268072
BB10 3,0.107282,0.281531
BB10 4,0.163654,0.340374
BB11 1,0.135409,0.261925
BB11 2,0.103576,0.225758
BB11 3,0.171931,0.332101
BB11 4,0.108274,0.253270
BB11 5,0.142860,0.250532
BB11 9,0.054725,0.108965
BB12 0,0.045236,0.215259
BB12 6,0.150105,0.245980
BB12 7,0.124773,0.192104
BB12 8,0.131713,0.251414
BB12 9,0.113538,0.243618
BB18 5,0.072050,0.182837
BB18 6,0.128742,0.252053
BB18 9,0.101932,0.219427
BB2 1,0.211860,0.400730
BB2 2,0.184354,0.256655
BB2 3,0.108521,0.297168
BB2 4,0.220480,0.374712
BB2 5,0.100806,0.203555
BB2 6,0.073896,0.154998
BB2 7,0.119517,0.260663
BB2 9,0.658408,0.712543
BB3 0,0.142002,0.278994
BB3 1,0.222598,0.342987
BB3 2,0.136468,0.290005
BB3 3,0.133103,0.284810
BB3 9,0.153725,0.295572
BB4 0,0.096682,0.192660
BB4 4,0.100642,0.220448
BB4 5,0.124084,0.228963
BB4 6,0.098800,0.170510
BB4 7,0.104325,0.191854
BB4 8,0.102429,0.194878
BB4 9,0.050141,0.150644
BB5 0,0.125905,0.230706
BB5 1,0.160546,0.294142
BB5 2,0.088806,0.173993
BB5 3,0.131515,0.210133
BB5 4,0.049055,0.157943
BB5 5,0.068834,0.166340
BB5 6,0.092948,0.239119
BB5 9,0.055947,0.116067
BB6 7,0.106264,0.189952
BB6 8,0.105525,0.153530
BB7 0,0.066940,0.117213
BB7 1,0.156284,0.287641
BB7 2,0.160931,0.306435
BB7 3,0.168810,0.239672
BB7 4,0.115038,0.223633
BB7 9,0.159126,0.256286
BB8 0,0.082548,0.205751
BB8 7,0.074723,0.228902
BB8 8,0.112029,0.266515
BB8 9,0.078348,0.150927
BB9 0,0.055191,0.119539
BB9 4,0.048922,0.609875
BB9 5,0.121025,0.257121
BB9 6,0.138820,0.270830
BB9 7,0.069986,0.172785
BB9 8,0.146763,0.258755
BB9 9,0.064916,0.183233
BD1 1,0.404671,0.514197
BD1 2,0.188645,0.334591
BD1 3,0.088144,0.243535
BD1 4,0.261126,0.417186
BD1 5,0.212646,0.378387
BD1 9,0.718725,0.771842
BD10 0,0.061447,0.164798
BD10 8,0.020133,0.126636
BD10 9,0.065783,0.251189
BD11 1,0.037923,0.119391
BD11 2,0.034049,0.102183
BD12 0,0.108303,0.308332
BD12 7,0.080960,0.182868
BD12 8,0.050485,0.205957
BD12 9,0.105617,0.218748
BD13 1,0.029195,0.095949
BD13 2,0.034425,0.109845
BD13 3,0.025870,0.120998
BD13 4,0.115520,0.200402
BD13 5,0.061965,0.156341
BD14 6,0.062974,0.151221
BD15 0,0.217046,0.417171
BD15 7,0.131533,0.326248
BD15 8,0.137650,0.233770
BD15 9,0.189283,0.280906
BD16 1,0.047570,0.216979
BD16 2,0.067783,0.250024
BD16 3,0.077765,0.211949
BD16 4,0.073573,0.272104
BD17 5,0.114390,0.346418
BD17 6,0.117298,0.312853
BD17 7,0.180701,0.378489
BD18 1,0.043291,0.155470
BD18 2,0.044956,0.111999
BD18 3,0.101417,0.223035
BD18 4,0.042314,0.172276
BD19 3,0.072679,0.207322
BD19 4,0.074353,0.191449
BD19 5,0.092585,0.299675
BD19 6,0.058163,0.160489
BD19 9,0.074027,0.207983
BD2 1,0.064795,0.177764
BD2 2,0.037140,0.110316
BD2 3,0.090041,0.254723
BD2 4,0.050544,0.160663
BD20 0,0.132020,0.341487
BD20 5,0.095913,0.327741
BD20 6,0.104227,0.294156
BD20 7,0.159737,0.378363
BD20 8,0.198268,0.387534
BD20 9,0.124207,0.334114
