name,e_high,e_low,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low,basis
B3,0.001626,0.003063,0.000983,0.002197,0.000839,0.001833,0.000516,0.001217,0.000240,0.000742,0.000108,0.000469,postcode
B4,0.012606,0.014036,0.011966,0.013174,0.011823,0.012812,0.011502,0.012199,0.000239,0.011727,0.000107,0.000467,postcode
B5,0.120772,0.179110,0.113575,0.160272,0.111205,0.150882,0.101832,0.127530,0.067075,0.101927,0.046234,0.085646,postcode
B6,0.097023,0.119888,0.091797,0.104686,0.084326,0.099584,0.047144,0.074618,0.014922,0.042307,0.004986,0.015024,postcode
B7,0.050689,0.072888,0.039638,0.058148,0.021815,0.043729,0.014516,0.025604,0.007246,0.018207,0.003615,0.014486,postcode
B8,0.010650,0.017859,0.010453,0.012517,0.007025,0.010714,0.003542,0.005449,0.000074,0.005304,0.000033,0.001836,postcode
B9,0.033656,0.036847,0.030830,0.036450,0.028233,0.033751,0.017958,0.030937,0.002642,0.023125,0.002581,0.012873,postcode
B10,0.000894,0.001685,0.000541,0.001209,0.000462,0.001008,0.000284,0.000670,0.000132,0.000408,0.000059,0.000258,postcode
B11,0.002150,0.035805,0.000295,0.028900,0.000252,0.022146,0.000155,0.007010,0.000072,0.000223,0.000032,0.000141,postcode
B12,0.017102,0.095989,0.016862,0.087418,0.012684,0.070787,0.010502,0.035506,0.004213,0.008524,0.000040,0.006361,postcode
B13,0.001964,0.002359,0.000270,0.002121,0.000230,0.002021,0.000142,0.000334,0.000066,0.000204,0.000030,0.000129,postcode
B14,0.001655,0.005824,0.001506,0.004345,0.000194,0.002982,0.000119,0.001560,0.000056,0.001451,0.000025,0.001387,postcode
B15,0.002765,0.009732,0.000380,0.002986,0.000324,0.002845,0.000200,0.000471,0.000093,0.000287,0.000042,0.000181,postcode
B16,0.000623,0.001175,0.000377,0.000842,0.000322,0.000703,0.000198,0.000467,0.000092,0.000285,0.000041,0.000180,postcode
B17,0.007587,0.009814,0.000314,0.000703,0.000268,0.000586,0.000165,0.000389,0.000077,0.000237,0.000034,0.000150,postcode
B18,0.013987,0.019010,0.009284,0.011995,0.009226,0.011848,0.006874,0.011601,0.004541,0.009188,0.000043,0.004633,postcode
B19,0.015892,0.068746,0.006923,0.044439,0.004688,0.037760,0.000204,0.024445,0.000095,0.013365,0.000042,0.006721,postcode
B20,0.004171,0.004645,0.003960,0.004359,0.003912,0.004239,0.000170,0.004037,0.000079,0.000244,0.000035,0.000154,postcode
B21,0.007386,0.019180,0.004883,0.016587,0.002583,0.011954,0.000209,0.007220,0.000097,0.007028,0.000044,0.004675,postcode
B23,0.005275,0.009281,0.000218,0.001717,0.000187,0.001636,0.000115,0.000271,0.000053,0.000165,0.000024,0.000104,postcode
B24,0.000505,0.009527,0.000305,0.009258,0.000260,0.007430,0.000160,0.007239,0.000075,0.000230,0.000033,0.000146,postcode
B25,0.001090,0.061313,0.000659,0.027399,0.000562,0.016043,0.000346,0.000816,0.000161,0.000498,0.000072,0.000315,postcode
B26,0.009035,0.026543,0.000303,0.012624,0.000259,0.003979,0.000159,0.002082,0.000074,0.000229,0.000033,0.000145,postcode
B27,0.005191,0.010304,0.002665,0.007687,0.002606,0.005275,0.002474,0.002761,0.000098,0.002566,0.000044,0.002455,postcode
B28,0.000477,0.000899,0.000288,0.000644,0.000246,0.000538,0.000151,0.000357,0.000070,0.000218,0.000032,0.000138,postcode
B29,0.002850,0.039198,0.000221,0.026581,0.000189,0.011592,0.000116,0.001516,0.000054,0.000167,0.000024,0.000105,postcode
B30,0.022157,0.029257,0.010296,0.018996,0.006920,0.015553,0.005156,0.008700,0.000072,0.001891,0.000032,0.001808,postcode
B31,0.006321,0.007413,0.003620,0.003811,0.000998,0.002021,0.000081,0.000191,0.000038,0.000116,0.000017,0.000074,postcode
B32,0.000393,0.000741,0.000238,0.000532,0.000203,0.000443,0.000125,0.000295,0.000058,0.000180,0.000026,0.000114,postcode
B33,0.004809,0.005189,0.003179,0.003500,0.001682,0.001944,0.000136,0.000322,0.000063,0.000196,0.000028,0.000124,postcode
B34,0.000850,0.004493,0.000514,0.001149,0.000439,0.000959,0.000270,0.000637,0.000126,0.000388,0.000056,0.000245,postcode
B35,0.240981,0.478515,0.200593,0.441325,0.197173,0.407772,0.063645,0.314068,0.013478,0.217115,0.000065,0.116950,postcode
B36,0.083834,0.087678,0.070030,0.082309,0.063183,0.077095,0.051179,0.068402,0.025584,0.052950,0.011938,0.035859,postcode
B37,0.000401,0.000755,0.000242,0.000542,0.000207,0.000452,0.000127,0.000300,0.000059,0.000183,0.000027,0.000116,postcode
B38,0.000607,0.003205,0.000367,0.000820,0.000313,0.000684,0.000193,0.000454,0.000090,0.000277,0.000040,0.000175,postcode
B40,0.009491,0.017887,0.005737,0.012827,0.004899,0.010700,0.003013,0.007106,0.001402,0.004335,0.000628,0.002739,postcode
B42,0.024108,0.094975,0.012126,0.059479,0.007381,0.047615,0.000219,0.019251,0.000102,0.009682,0.000046,0.004883,postcode
B43,0.000522,0.008075,0.000315,0.004251,0.000269,0.004134,0.000166,0.002164,0.000077,0.000238,0.000035,0.000151,postcode
B44,0.000455,0.000858,0.000275,0.000616,0.000235,0.000513,0.000145,0.000341,0.000067,0.000208,0.000030,0.000131,postcode
B45,0.004627,0.004992,0.004463,0.004772,0.004427,0.004679,0.004345,0.004523,0.002870,0.004402,0.002836,0.004333,postcode
B46,0.032198,0.047483,0.017216,0.030311,0.012951,0.023856,0.008618,0.010990,0.006407,0.006599,0.002146,0.006495,postcode
B47,0.005075,0.010018,0.000697,0.001559,0.000596,0.001301,0.000366,0.000864,0.000170,0.000527,0.000076,0.000333,postcode
B48,0.005701,0.006848,0.000783,0.001752,0.000669,0.001461,0.000412,0.000970,0.000191,0.000592,0.000086,0.000374,postcode
B49,0.067896,0.088444,0.052681,0.058203,0.047641,0.050576,0.035058,0.035374,0.012546,0.025210,0.002536,0.015137,postcode
B50,0.009975,0.028498,0.005121,0.014772,0.005008,0.014486,0.000406,0.005306,0.000189,0.000584,0.000085,0.000369,postcode
B60,0.010552,0.017245,0.002771,0.006867,0.001465,0.004239,0.000119,0.001553,0.000055,0.001443,0.000025,0.000108,postcode
B61,0.026003,0.033092,0.013717,0.015361,0.008291,0.008533,0.000126,0.000297,0.000059,0.000181,0.000026,0.000114,postcode
B62,0.000523,0.000985,0.000316,0.000706,0.000270,0.000589,0.000166,0.000391,0.000077,0.000239,0.000035,0.000151,postcode
B63,0.004213,0.010939,0.000227,0.004345,0.000194,0.002982,0.000119,0.002839,0.000056,0.002729,0.000025,0.002666,postcode
B64,0.002713,0.013741,0.002469,0.009219,0.002415,0.009081,0.000196,0.002558,0.000091,0.002378,0.000041,0.002274,postcode
B65,0.000556,0.001048,0.000336,0.000752,0.000287,0.000627,0.000177,0.000416,0.000082,0.000254,0.000037,0.000161,postcode
B66,0.005883,0.006347,0.000318,0.002496,0.000271,0.000592,0.000167,0.000393,0.000078,0.000240,0.000035,0.000152,postcode
B67,0.000559,0.001054,0.000338,0.000756,0.000289,0.000631,0.000178,0.000419,0.000083,0.000255,0.000037,0.000161,postcode
B68,0.010387,0.010816,0.001944,0.002306,0.000251,0.000547,0.000154,0.000364,0.000072,0.000222,0.000032,0.000140,postcode
B69,0.018698,0.085168,0.008689,0.044160,0.005839,0.032815,0.002944,0.020000,0.002874,0.014254,0.000027,0.012778,postcode
B70,0.001614,0.001938,0.001469,0.001743,0.001436,0.001660,0.001363,0.001522,0.000054,0.000168,0.000024,0.000106,postcode
B71,0.017588,0.032267,0.003116,0.014875,0.000217,0.010489,0.000134,0.004607,0.000062,0.000192,0.000028,0.000121,postcode
B72,0.001182,0.002227,0.000714,0.001597,0.000610,0.001332,0.000375,0.000885,0.000175,0.000540,0.000078,0.000341,postcode
B73,0.026857,0.035464,0.022581,0.033127,0.020509,0.030973,0.012310,0.028728,0.008169,0.026534,0.002060,0.026434,postcode
B74,0.000382,0.000719,0.000231,0.000516,0.000197,0.000430,0.000121,0.000286,0.000056,0.000174,0.000025,0.000110,postcode
B75,0.000445,0.000839,0.000269,0.000602,0.000230,0.000502,0.000141,0.000333,0.000066,0.000203,0.000029,0.000128,postcode
B76,0.006135,0.019655,0.000331,0.011914,0.000283,0.009929,0.000174,0.004135,0.000081,0.000250,0.000036,0.000158,postcode
B77,0.000295,0.003562,0.000178,0.000398,0.000152,0.000332,0.000094,0.000221,0.000044,0.000135,0.000020,0.000085,postcode
B78,0.018827,0.074356,0.010992,0.063396,0.010952,0.047981,0.010863,0.032497,0.004661,0.009394,0.001561,0.003193,postcode
B79,0.080924,0.109540,0.007313,0.088132,0.007277,0.078152,0.001544,0.041272,0.001474,0.014314,0.001440,0.002945,postcode
B80,0.005507,0.015125,0.000757,0.001692,0.000646,0.001411,0.000398,0.000937,0.000185,0.000572,0.000083,0.000361,postcode
B90,0.004939,0.006114,0.000166,0.001304,0.000142,0.000309,0.000087,0.000206,0.000041,0.000125,0.000018,0.000079,postcode
B91,0.004278,0.007214,0.001530,0.004413,0.001496,0.004327,0.000121,0.001585,0.000056,0.001473,0.000025,0.000110,postcode
B92,0.016458,0.028855,0.001577,0.013919,0.001542,0.011154,0.001464,0.009666,0.001397,0.004196,0.000026,0.002791,postcode
B93,0.000577,0.005009,0.000349,0.004701,0.000298,0.004572,0.000183,0.002393,0.000085,0.000263,0.000038,0.000167,postcode
B94,0.006408,0.009929,0.003290,0.006697,0.000424,0.006513,0.000261,0.006202,0.000121,0.003169,0.000054,0.003031,postcode
B95,0.073396,0.095331,0.036791,0.043497,0.030670,0.034235,0.021430,0.021814,0.012216,0.012491,0.003080,0.003278,postcode
B96,0.014385,0.019889,0.009510,0.010470,0.009397,0.010182,0.009142,0.009696,0.004557,0.004954,0.000085,0.004738,postcode
B97,0.007145,0.011545,0.000240,0.003236,0.000205,0.003147,0.000126,0.002996,0.000059,0.000181,0.000026,0.000115,postcode
B98,0.009061,0.016838,0.005190,0.011674,0.000189,0.005381,0.000116,0.001516,0.000054,0.000167,0.000024,0.000105,postcode
BA1,0.022193,0.052577,0.019363,0.045575,0.017278,0.043481,0.007609,0.033128,0.003473,0.024159,0.000706,0.020006,postcode
BA2,0.027905,0.046681,0.022390,0.039765,0.020097,0.037011,0.012323,0.031969,0.009127,0.030118,0.005927,0.026000,postcode
BA3,0.008125,0.034281,0.006456,0.019971,0.004067,0.012855,0.002427,0.011216,0.000833,0.002515,0.000022,0.002475,postcode
BA4,0.018343,0.025843,0.003842,0.005267,0.001404,0.001616,0.000104,0.000319,0.000072,0.000238,0.000034,0.000177,postcode
BA5,0.008164,0.012377,0.002851,0.005674,0.002801,0.005607,0.001401,0.001633,0.001366,0.001545,0.001325,0.001480,postcode
BA6,0.016850,0.028168,0.013019,0.025999,0.011144,0.024100,0.003767,0.014922,0.003719,0.012994,0.001856,0.003878,postcode
BA7,0.001516,0.016312,0.000961,0.010874,0.000785,0.010639,0.000393,0.010258,0.000272,0.005425,0.000127,0.000671,postcode
BA8,0.010197,0.011375,0.000927,0.001761,0.000758,0.001533,0.000379,0.001166,0.000262,0.000869,0.000122,0.000647,postcode
BA9,0.006145,0.017381,0.000559,0.003693,0.000457,0.000924,0.000228,0.000703,0.000158,0.000524,0.000074,0.000390,postcode
BA10,0.022231,0.023615,0.011345,0.012324,0.006018,0.012057,0.005573,0.011626,0.005436,0.006148,0.005272,0.005888,postcode
BA11,0.023343,0.031259,0.017261,0.019986,0.012958,0.017379,0.006052,0.012184,0.003467,0.009564,0.000878,0.005250,postcode
BA12,0.018633,0.031096,0.007172,0.013453,0.004518,0.006420,0.000076,0.003727,0.000052,0.001047,0.000024,0.000129,postcode
BA13,0.011302,0.016340,0.001868,0.002162,0.001808,0.002082,0.000134,0.001952,0.000093,0.000307,0.000043,0.000228,postcode
BA14,0.010626,0.014533,0.006829,0.009936,0.004576,0.009156,0.002288,0.006870,0.001527,0.003113,0.000762,0.001592,postcode
BA15,0.021487,0.038680,0.012915,0.029944,0.012835,0.027757,0.008496,0.019266,0.008441,0.014967,0.002137,0.006545,postcode
BA16,0.003477,0.025013,0.003157,0.014071,0.003056,0.013935,0.002830,0.008508,0.002761,0.003122,0.000073,0.002990,postcode
BA20,0.024324,0.039925,0.019769,0.026616,0.015394,0.024359,0.008770,0.022032,0.006567,0.017594,0.000060,0.008902,postcode
BA21,0.004249,0.005866,0.004092,0.005609,0.004043,0.005543,0.001384,0.004162,0.001350,0.002801,0.001310,0.001463,postcode
BA22,0.020142,0.029106,0.003961,0.012828,0.002680,0.010297,0.000107,0.002795,0.000074,0.001478,0.000035,0.001416,postcode
BB1,0.006835,0.041493,0.002624,0.029452,0.001016,0.025478,0.000894,0.015944,0.000067,0.010361,0.000027,0.007938,postcode
BB2,0.034731,0.078750,0.019168,0.043514,0.015484,0.039800,0.008103,0.033796,0.002970,0.024218,0.000752,0.015413,postcode
BB3,0.047598,0.057999,0.012364,0.029212,0.010115,0.024744,0.005597,0.008156,0.002268,0.005787,0.001125,0.004575,postcode
BB4,0.065850,0.116358,0.026840,0.075019,0.021476,0.058243,0.009977,0.029214,0.006136,0.017697,0.004579,0.010022,postcode
BB5,0.032183,0.051029,0.012780,0.024324,0.009437,0.018974,0.004056,0.012206,0.002696,0.006151,0.001342,0.002776,postcode
BB6,0.022655,0.037009,0.008697,0.009988,0.000789,0.007124,0.000384,0.003876,0.000224,0.003413,0.000090,0.003115,postcode
BB7,0.058255,0.074590,0.031197,0.044136,0.026132,0.038200,0.015984,0.029636,0.006750,0.019469,0.002533,0.015199,postcode
BB8,0.039173,0.047531,0.025922,0.041826,0.022018,0.039140,0.009096,0.028631,0.007744,0.014407,0.002589,0.010443,postcode
BB9,0.055356,0.087291,0.025787,0.059921,0.022735,0.051586,0.011365,0.029635,0.006817,0.018248,0.003027,0.012159,postcode
BB10,0.016488,0.044994,0.002647,0.042224,0.001456,0.040986,0.000166,0.023973,0.000097,0.008165,0.000039,0.002462,postcode
BB11,0.029298,0.086650,0.012776,0.051571,0.011461,0.050202,0.002647,0.036335,0.002570,0.025030,0.001275,0.011341,postcode
BB12,0.044457,0.053157,0.035913,0.046574,0.032798,0.045446,0.019441,0.036045,0.014301,0.031801,0.003081,0.024577,postcode
BB18,0.047667,0.076088,0.019510,0.052959,0.014247,0.044192,0.000256,0.035170,0.000149,0.022855,0.000060,0.012365,postcode
BD1,0.192549,0.200169,0.167693,0.177809,0.157896,0.165576,0.029274,0.136274,0.004957,0.031830,0.002487,0.005018,postcode
BD2,0.008732,0.011606,0.004361,0.009953,0.004299,0.007206,0.001459,0.007070,0.001402,0.002873,0.001375,0.001436,postcode
BD3,0.000892,0.001143,0.000439,0.000743,0.000360,0.000654,0.000154,0.000480,0.000081,0.000249,0.000047,0.000123,postcode
BD4,0.000538,0.000689,0.000265,0.000448,0.000217,0.000394,0.000093,0.000289,0.000049,0.000150,0.000028,0.000074,postcode
BD5,0.000856,0.001096,0.000421,0.000712,0.000345,0.000627,0.000147,0.000460,0.000078,0.000239,0.000045,0.000118,postcode
BD6,0.000693,0.002212,0.000341,0.000576,0.000280,0.000507,0.000119,0.000372,0.000063,0.000193,0.000036,0.000096,postcode
BD7,0.002365,0.002593,0.000400,0.000676,0.000328,0.000595,0.000140,0.000436,0.000074,0.000226,0.000042,0.000112,postcode
BD8,0.007089,0.008887,0.001971,0.005384,0.001898,0.005303,0.000141,0.002008,0.000074,0.000229,0.000043,0.000113,postcode
BD9,0.000952,0.001220,0.000469,0.000793,0.000384,0.000698,0.000164,0.000512,0.000086,0.000266,0.000050,0.000132,postcode
BD10,0.007576,0.014636,0.003096,0.008827,0.001661,0.006012,0.001495,0.003129,0.001437,0.002944,0.001409,0.001471,postcode
BD11,0.001589,0.002036,0.000782,0.001323,0.000642,0.001164,0.000274,0.000854,0.000144,0.000443,0.000083,0.000220,postcode
BD12,0.004076,0.010775,0.002031,0.007165,0.001956,0.003850,0.000146,0.002070,0.000077,0.001851,0.000044,0.000117,postcode
BD13,0.002590,0.005821,0.002318,0.002500,0.002270,0.002447,0.000093,0.001315,0.000049,0.001176,0.000028,0.000074,postcode
BD14,0.005880,0.006448,0.000993,0.001680,0.000815,0.001479,0.000348,0.001085,0.000183,0.000563,0.000105,0.000279,postcode
BD15,0.005461,0.005779,0.000557,0.000942,0.000457,0.000829,0.000195,0.000608,0.000103,0.000316,0.000059,0.000157,postcode
BD16,0.028239,0.033217,0.009913,0.014928,0.006256,0.013665,0.004910,0.008741,0.004859,0.006177,0.002434,0.004889,postcode
BD17,0.041377,0.047847,0.039403,0.044361,0.037771,0.044279,0.032902,0.041000,0.017235,0.029869,0.009403,0.026634,postcode
BD18,0.008972,0.009175,0.004480,0.007476,0.003041,0.006029,0.002875,0.004513,0.002816,0.004327,0.001413,0.002851,postcode
BD19,0.039206,0.043689,0.018885,0.026261,0.014546,0.021913,0.002977,0.013221,0.000068,0.001632,0.000039,0.000103,postcode
BD20,0.044981,0.066669,0.024646,0.038443,0.018857,0.036966,0.012295,0.024663,0.010825,0.017371,0.007214,0.013002,postcode
BD21,0.064419,0.084058,0.030582,0.065406,0.022956,0.056692,0.008756,0.039265,0.002216,0.016392,0.000030,0.006572,postcode
BD22,0.009672,0.011645,0.003913,0.005915,0.000194,0.004028,0.000083,0.002097,0.000044,0.001053,0.000025,0.000986,postcode
BD23,0.073368,0.098986,0.009396,0.049210,0.006528,0.042086,0.002190,0.030674,0.000742,0.023491,0.000728,0.005012,postcode
BD24,0.068381,0.092064,0.032725,0.062312,0.023869,0.044718,0.014797,0.032794,0.003045,0.009145,0.000079,0.006024,postcode
BH1,0.001038,0.001767,0.000633,0.001171,0.000520,0.000949,0.000248,0.000471,0.000120,0.000238,0.000031,0.000115,postcode
BH2,0.002129,0.011468,0.001298,0.006324,0.001067,0.001947,0.000509,0.000965,0.000247,0.000488,0.000064,0.000236,postcode
BH3,0.003643,0.006204,0.002221,0.004111,0.001826,0.003331,0.000872,0.001652,0.000422,0.000835,0.000110,0.000404,postcode
BH4,0.002291,0.003900,0.001396,0.002585,0.001148,0.002094,0.000548,0.001039,0.000265,0.000525,0.000069,0.000254,postcode
BH5,0.002064,0.003515,0.001258,0.002329,0.001035,0.001887,0.000494,0.000936,0.000239,0.000473,0.000062,0.000229,postcode
BH6,0.025126,0.031400,0.024733,0.030821,0.024624,0.028750,0.013228,0.020865,0.009393,0.009507,0.001886,0.001967,postcode
BH7,0.005126,0.006393,0.001099,0.005358,0.000904,0.004971,0.000432,0.000818,0.000209,0.000413,0.000055,0.000200,postcode
BH8,0.007032,0.007623,0.005156,0.007140,0.005065,0.005412,0.003297,0.005025,0.000097,0.001741,0.000025,0.000093,postcode
BH9,0.000803,0.001367,0.000490,0.000906,0.000403,0.000734,0.000192,0.000364,0.000093,0.000184,0.000024,0.000089,postcode
BH10,0.025601,0.037664,0.004406,0.008719,0.004295,0.006609,0.004026,0.004246,0.000119,0.004016,0.000031,0.002004,postcode
BH11,0.010439,0.011157,0.002506,0.003037,0.002396,0.002818,0.002128,0.002347,0.000118,0.002118,0.000031,0.001997,postcode
BH12,0.003561,0.005496,0.000463,0.002259,0.000381,0.002096,0.000182,0.000345,0.000088,0.000174,0.000023,0.000084,postcode
BH13,0.030783,0.038466,0.020422,0.021331,0.017007,0.020956,0.006871,0.007246,0.003429,0.003627,0.003279,0.003420,postcode
BH14,0.014310,0.014949,0.012280,0.012751,0.008831,0.009207,0.001893,0.003762,0.000105,0.000208,0.000027,0.000101,postcode
BH15,0.129591,0.161357,0.099288,0.118414,0.089202,0.100746,0.021439,0.029094,0.000079,0.001407,0.000021,0.000075,postcode
BH16,0.003613,0.013874,0.003117,0.003777,0.000637,0.003504,0.000304,0.000576,0.000147,0.000291,0.000038,0.000141,postcode
BH17,0.005753,0.013404,0.000749,0.003648,0.000616,0.003385,0.000294,0.000557,0.000142,0.000282,0.000037,0.000136,postcode
BH18,0.001757,0.002992,0.001071,0.001983,0.000881,0.001606,0.000420,0.000797,0.000204,0.000403,0.000053,0.000195,postcode
BH19,0.052849,0.074999,0.031003,0.052974,0.016587,0.042033,0.002021,0.020118,0.001901,0.005589,0.000029,0.000108,postcode
BH20,0.018836,0.022148,0.008805,0.011979,0.008723,0.011817,0.004353,0.007296,0.000087,0.001564,0.000023,0.000084,postcode
BH21,0.029340,0.103396,0.015401,0.071457,0.011912,0.058963,0.007676,0.026377,0.004181,0.018017,0.000701,0.012455,postcode
BH22,0.009164,0.016701,0.007466,0.009261,0.003182,0.007698,0.002983,0.004546,0.001489,0.001575,0.001424,0.001485,postcode
BH23,0.069562,0.113793,0.049373,0.090953,0.041573,0.077294,0.029191,0.049318,0.020092,0.031128,0.005185,0.013622,postcode
BH24,0.043017,0.090815,0.004148,0.029405,0.000339,0.005599,0.000162,0.002797,0.000078,0.000155,0.000020,0.000075,postcode
BH25,0.005758,0.006241,0.001687,0.003311,0.001612,0.003164,0.001432,0.001579,0.001347,0.001425,0.000021,0.000076,postcode
BH31,0.004837,0.009167,0.001037,0.001920,0.000853,0.001556,0.000407,0.000772,0.000197,0.000390,0.000051,0.000189,postcode
BL0,0.062973,0.066787,0.057495,0.059428,0.057444,0.059335,0.048720,0.054050,0.031313,0.040106,0.019136,0.031378,postcode
BL1,0.019707,0.034320,0.004559,0.012432,0.001196,0.008498,0.000620,0.006797,0.000038,0.003983,0.000023,0.003963,postcode
BL2,0.001154,0.003056,0.000151,0.001979,0.000125,0.001933,0.000096,0.001890,0.000058,0.001850,0.000036,0.000955,postcode
