name,hb_1yr,hb_3yr
AB37 9,1.4519,1.957
AB38 7,1.0288,1.3967
AB38 9,1.6169,2.1951
AB39 2,4.5938,4.8388
AB39 3,3.1289,3.2958
AB39 8,0.5036,0.5304
AB39 9,0.0761,0.0802
AB41 1,0.0615,0.0648
AB41 6,2.0759,2.1866
AB41 7,3.1436,3.3112
AB41 8,4.182,4.405
AB41 9,3.0987,3.2639
AB42 0,2.3501,2.4754
AB42 1,4.2122,4.4369
AB42 2,2.396,2.5237
AB42 3,3.4344,3.6175
AB42 4,3.2968,3.4726
AB42 5,3.1894,3.3595
AB42 9,0.1064,0.1121
AB43 6,2.3042,2.4271
AB43 7,2.6858,2.8291
AB43 8,2.5033,2.6368
AB43 9,4.1361,4.3567
AB44 1,2.2281,2.3469
AB45 1,2.1822,2.2986
AB45 2,3.9401,4.1602
AB45 3,3.2353,3.4078
AB51 0,5.3873,5.6746
AB51 1,0.1522,0.1604
AB51 3,2.3501,2.4754
AB51 4,2.4575,2.5885
AB51 5,4.0444,4.26
AB51 6,0.6715,0.7073
AB51 7,1.7548,1.8484
AB51 8,1.4503,1.5276
AB52 6,3.8004,4.003
AB53 4,3.7545,3.9547
AB53 5,2.2437,2.3634
AB53 6,1.4347,1.5112
AB53 8,3.0069,3.1673
AB54 4,3.5121,3.7789
AB54 6,1.6328,1.7198
AB54 7,2.7799,3.1518
AB54 8,2.1364,2.2503
AB54 9,0.0459,0.0483
AB55 4,1.454,1.9739
AB55 5,3.1648,4.2778
AB55 6,2.369,3.216
AB56 1,4.786,6.4973
AB56 4,3.5052,4.7307
AB56 5,2.1726,2.9494
AB56 9,0.0167,0.0227
DD1 1,9.4405,9.0671
DD1 2,6.9041,6.631
DD1 3,6.7418,6.4751
DD1 4,9.0448,8.6871
DD1 5,9.9934,9.5982
DD1 9,5.6308,5.4081
DD10 0,3.3426,3.5209
DD10 1,0.2077,0.211
DD10 8,9.4109,9.5611
DD10 9,9.6612,9.8154
DD11 1,8.9955,9.1391
DD11 2,6.7453,6.853
DD11 3,6.0396,6.136
DD11 4,9.1606,9.3068
DD11 5,7.4137,7.532
DD11 9,0.458,0.4653
DD2 1,21.4174,20.5703
DD2 2,18.0085,17.2962
DD2 3,18.9571,18.2073
DD2 4,20.2304,19.4302
DD2 5,12.1408,11.7826
DD2 9,0.6341,0.609
DD3 0,16.1629,15.6415
DD3 6,18.7998,18.0563
DD3 7,15.9438,15.3132
DD3 8,16.5019,15.8492
DD3 9,18.6426,17.9052
DD4 0,13.3002,12.8829
DD4 6,15.0713,14.4752
DD4 7,20.3876,19.5813
DD4 8,20.8645,20.0393
DD4 9,19.5151,18.7433
DD5 1,13.8031,13.2572
DD5 2,18.0846,17.3693
DD5 3,22.3186,21.6046
DD5 4,10.8227,10.991
DD6 8,10.1611,11.6412
DD6 9,7.3847,8.4604
DD7 6,5.997,6.0927
DD7 7,9.4109,9.5611
DD8 0,1.6244,1.6503
DD8 1,11.0353,11.2115
DD8 2,11.701,11.8878
DD8 3,10.9927,11.1682
DD8 4,8.2871,8.4194
DD8 5,7.0382,7.1506
DD8 9,0.0826,0.0839
DD9 6,8.5774,8.7143
DD9 7,8.6858,8.8347
DD9 9,0.1252,0.1272
DG1 1,6.1786,6.4574
DG1 2,4.3972,4.5957
DG1 3,7.8478,8.202
DG1 4,9.1273,9.5392
DG1 9,1.9753,2.0644
DG10 9,6.1216,6.3979
DG11 1,7.0968,7.4171
DG11 2,6.3174,6.6025
DG11 3,4.4809,4.6831
DG11 9,0.0552,0.0577
DG12 5,5.6767,5.933
DG12 6,7.4581,7.7947
DG13 0,3.9239,4.101
DG14 0,2.1423,2.2384
DG16 5,4.0093,4.1903
DG2 0,7.3193,7.6496
DG2 7,5.3155,5.5554
DG2 8,5.6767,5.933
DG2 9,6.3725,6.6602
DG3 4,3.1996,3.344
DG3 5,4.1463,4.3335
DG3 9,0.3933,0.411
DG4 6,4.7585,4.9733
DG5 4,5.9561,6.225
DG6 4,7.4296,7.7649
DG7 1,6.6235,6.9224
DG7 2,4.6482,4.858
DG7 3,7.4029,7.737
DG7 9,0.0552,0.0577
DG8 0,4.3688,4.566
DG8 6,6.2092,6.4894
DG8 7,2.5875,2.7042
DG8 8,4.4524,4.6534
DG8 9,5.5664,5.8176
DG9 0,5.1482,5.3806
DG9 7,6.4277,6.7178
DG9 8,6.0665,6.3403
DG9 9,4.787,5.003
EH1 1,12.7743,13.009
EH1 2,10.3367,10.5266
EH1 3,8.3853,8.5394
EH10 4,21.8392,22.2405
EH10 5,25.2494,25.7133
EH10 6,26.5213,27.0085
EH10 7,9.7231,9.9802
EH10 9,0.9726,0.9904
EH11 1,25.3492,25.8149
EH11 2,21.1534,21.5421
EH11 3,26.9078,27.4022
EH11 4,18.6222,18.9644
EH12 0,1.7519,1.7841
EH12 1,4.5823,4.6665
EH12 5,21.8392,22.2405
EH12 6,17.5499,17.8724
EH12 7,25.6422,26.1133
EH12 8,29.9315,30.4814
EH12 9,13.4539,13.7011
EH13 0,18.8155,19.1612
EH13 9,17.9364,18.266
EH14 1,25.1559,25.6181
EH14 2,21.5462,21.9421
EH14 3,8.2856,8.4378
EH14 4,1.8516,1.8856
EH14 5,24.3704,24.8181
EH14 6,1.7519,1.7841
EH14 7,15.1123,15.3899
EH14 9,0.8791,0.8952
EH15 1,21.6459,22.0436
EH15 2,19.2083,19.5612
EH15 3,19.8878,20.2532
EH15 9,0.586,0.5968
EH16 4,26.8162,27.3313
EH16 5,26.9078,27.4022
EH16 6,31.0038,31.5735
EH16 9,2.1446,2.184
EH17 7,21.1534,21.5421
EH17 8,35.6878,36.3659
EH18 1,5.5278,6.8059
EH19 2,7.7039,9.5146
EH19 3,13.8571,17.1141
EH2 1,4.6821,4.7681
EH2 2,5.3616,5.4601
EH2 3,3.3167,3.3777
EH2 4,6.0474,6.1585
EH20 9,12.0485,14.8804
EH21 6,16.4874,18.4447
EH21 7,16.1475,18.0645
EH21 8,18.7401,20.6248
EH22 1,11.3173,13.9562
EH22 2,11.9589,14.7379
EH22 3,7.7568,9.58
EH22 4,13.0801,16.1545
EH22 5,11.5823,14.3046
EH22 9,1.4482,1.7886
EH23 4,15.5391,19.1855
EH24 9,3.928,4.8512
EH25 9,7.2377,8.9389
EH26 0,12.2039,15.0723
EH26 6,0.1025,0.1266
EH26 8,9.5941,11.8433
EH26 9,6.3189,7.7693
EH27 8,4.5957,5.0637
EH28 8,13.022,13.2675
EH29 9,12.0495,12.277
EH3 5,16.1846,16.4819
EH3 6,16.7706,17.0787
EH3 7,7.606,7.7457
EH3 8,9.0649,9.2314
EH3 9,19.6946,20.0564
EH30 9,23.6342,24.0932
EH31 2,6.7448,7.5456
EH32 0,18.3958,20.5797
EH32 9,18.3305,20.5066
EH33 1,12.4004,13.8726
EH33 2,13.969,15.6273
EH34 5,5.9954,6.7072
EH35 5,4.9758,5.5666
EH36 5,0.7494,0.8384
EH37 5,4.8691,5.9919
EH38 5,0.3028,0.3101
EH39 4,15.0583,16.8459
EH39 5,13.0148,14.5598
EH39 9,0.3399,0.3802
EH4 1,17.7432,18.0692
EH4 2,24.9564,25.4149
EH4 3,22.3255,22.7357
EH4 4,23.2045,23.6309
EH4 5,16.7706,17.0787
EH4 6,19.5013,19.8596
EH4 7,23.2045,23.6309
EH4 8,11.702,11.917
EH4 9,2.2444,2.2856
EH40 3,4.6316,5.1815
EH41 3,16.0125,17.9134
EH41 4,13.7642,15.3982
EH41 9,1.5686,1.7548
EH42 1,23.986,26.8336
EH43 6,0.7429,0.7608
EH44 6,2.9735,3.0449
EH45 8,5.8643,6.005
EH45 9,3.8274,3.9192
EH46 7,3.0874,3.2101
EH47 0,12.965,14.5767
EH47 7,11.561,12.9981
EH47 8,10.2204,11.4909
EH47 9,8.0714,9.0635
EH48 1,12.263,13.7874
EH48 2,17.9837,20.2193
EH48 3,14.4251,16.2183
EH48 4,8.8761,9.9795
EH48 9,0.351,0.3946
