name,hb_1yr,hb_3yr
G63 0,7.9692,9.0297
G63 9,6.7359,7.6298
G64 1,8.2213,8.3601
G64 2,4.4515,4.5269
G64 3,3.6131,3.6756
G64 4,2.1244,2.1611
G64 9,0.2129,0.2166
G65 0,12.6242,13.0958
G65 9,11.1625,11.5567
G66 1,4.3922,4.4682
G66 2,4.5326,4.6111
G66 3,6.2327,6.3406
G66 4,4.297,4.3714
G66 5,4.5527,4.6694
G66 7,3.4938,3.5543
G66 8,2.7452,2.7966
G66 9,0.85,0.8648
G67 1,7.4689,7.7482
G67 2,13.6417,14.1518
G67 3,7.5788,7.8707
G67 4,10.7173,11.1181
G67 9,1.429,1.4824
G68 0,9.4605,9.8229
G68 9,11.7647,12.2032
G69 0,11.6939,12.129
G69 6,15.7555,15.83
G69 7,17.8065,18.0928
G69 8,8.3865,8.6593
G69 9,9.8992,10.2688
G71 5,12.2128,12.6694
G71 6,13.2882,13.7963
G71 7,11.6562,12.6424
G71 8,8.4159,9.6367
G71 9,0.3098,0.355
G72 0,10.0004,11.4594
G72 6,1.9579,2.2435
G72 7,11.4047,13.0595
G72 8,10.9277,12.522
G72 9,9.3807,10.7493
G73 1,4.1245,4.7263
G73 2,6.3922,7.3249
G73 3,7.3195,8.3875
G73 4,6.8012,7.7843
G73 5,5.6012,6.4184
G74 1,4.6387,5.3155
G74 2,4.1575,4.7641
G74 3,9.0379,10.3565
G74 4,10.3783,11.8925
G74 5,3.4016,3.8979
G74 9,0.6526,0.7478
G75 0,8.2117,9.4098
G75 7,0.5493,0.6295
G75 8,13.1602,15.0803
G75 9,7.2514,8.3094
G76 0,3.4488,3.8137
G76 6,0.0495,0.0548
G76 7,5.7229,6.3285
G76 8,4.7522,5.2592
G76 9,3.9111,3.9922
G77 5,7.6231,8.4297
G77 6,9.2574,10.2335
G77 9,0.4746,0.5249
G78 1,6.287,6.9286
G78 2,5.5635,6.1456
G78 3,4.6234,5.1126
G78 4,1.1701,1.2792
G78 9,0.0495,0.0548
G81 1,8.6121,10.1823
G81 2,9.0533,10.704
G81 3,8.5651,10.1268
G81 4,7.4886,8.854
G81 5,5.9202,6.9919
G81 6,8.465,10.0084
G82 1,6.4121,7.5812
G82 2,10.1298,11.9768
G82 3,6.0178,7.115
G82 4,7.7796,9.1981
G82 5,4.9779,5.8242
G82 9,1.2236,1.4467
G83 0,9.9358,11.7474
G83 3,0.097,0.1147
G83 7,0.8,0.9152
G83 8,10.2728,12.1292
G83 9,7.4385,8.7948
G84 0,3.4829,3.9885
G84 4,0.3086,0.3534
G84 7,4.1361,4.7365
G84 8,4.3183,4.9451
G84 9,3.5746,4.0935
HS1 2,1.859,1.5934
HS1 9,0.05,0.0429
HS2 0,1.579,1.3534
HS2 9,1.0195,0.8738
HS3 3,0.5453,0.4674
HS4 3,0.0647,0.0555
HS5 3,0.0932,0.0799
HS6 5,0.5669,0.4859
HS7 5,0.3231,0.277
HS8 5,0.5453,0.4674
HS9 5,0.3516,0.3014
IV1 1,4.1781,3.7785
IV1 3,1.6091,1.4552
IV1 9,3.2182,2.9104
IV10 8,2.6303,2.3788
IV11 8,1.3617,1.2315
IV12 4,6.2523,5.6543
IV12 5,7.1191,6.4383
IV13 7,0.5878,0.5316
IV14 9,2.3216,2.0996
IV15 0,0.093,0.0841
IV15 9,6.561,5.9336
IV16 9,1.7338,1.568
IV17 0,5.6011,5.0655
IV18 0,6.0979,5.5147
IV19 1,6.0662,5.4861
IV2 3,8.6669,7.838
IV2 4,9.13,8.2569
IV2 5,6.0979,5.5147
IV2 6,6.375,5.7653
IV2 7,7.2418,6.5493
IV2 8,0.8669,0.784
IV20 1,3.6516,3.3024
IV21 2,1.5161,1.3711
IV22 2,2.3829,2.1551
IV23 2,1.5794,1.4284
IV24 3,1.3933,1.2601
IV25 3,4.3958,3.9754
IV26 2,2.2602,2.0441
IV27 4,5.8188,5.2624
IV27 9,0.0317,0.0286
IV28 3,0.6808,0.6157
IV3 5,6.3453,5.7385
IV3 8,8.0474,7.2778
IV30 1,3.6913,5.0112
IV30 4,3.1356,4.2568
IV30 5,2.9236,3.969
IV30 6,3.6265,4.9233
IV30 8,3.5931,4.8779
IV30 9,0.751,1.0195
IV31 6,4.2961,5.8322
IV32 7,2.8097,3.8144
IV36 1,3.3644,4.5674
IV36 2,2.7283,3.7038
IV36 3,1.6012,2.1738
IV36 9,0.0491,0.0666
IV4 7,3.9623,3.5834
IV40 8,3.8376,3.4706
IV41 8,0.4018,0.3634
IV42 8,0.2157,0.1951
IV43 8,0.3088,0.2792
IV44 8,0.3088,0.2792
IV45 8,0.3721,0.3365
IV46 8,0.093,0.0841
IV47 8,0.5878,0.5316
IV48 8,0.0614,0.0555
IV49 9,1.3617,1.2315
IV5 7,1.3003,1.176
IV51 9,7.2418,6.5493
IV52 8,0.5878,0.5316
IV53 8,0.3404,0.3079
IV54 8,1.8565,1.6789
IV55 8,1.7338,1.568
IV56 8,0.4334,0.392
IV6 7,3.9307,3.5548
IV63 6,1.6704,1.5107
IV63 7,0.3721,0.3365
IV7 8,4.7659,4.3101
IV8 8,0.9896,0.895
IV9 8,1.423,1.2869
KA1 1,4.816,4.8499
KA1 2,7.1684,7.2236
KA1 3,7.6701,7.7241
KA1 4,6.778,6.8258
KA1 5,7.3139,7.4718
KA1 9,2.1765,2.1918
KA10 6,7.909,8.2559
KA10 7,5.685,5.9343
KA10 9,0.2539,0.265
KA11 1,7.0541,8.0973
KA11 2,3.7633,4.3148
KA11 3,1.2437,1.4276
KA11 4,4.5001,5.1656
KA11 5,1.2093,1.3882
KA12 0,7.7586,8.906
KA12 2,1.5122,1.7358
KA12 8,5.34,6.1297
KA12 9,5.1402,5.9004
KA13 6,8.4976,9.7542
KA13 7,6.7898,7.7838
KA14 3,1.175,1.3487
KA15 1,4.266,4.8968
KA15 2,3.6946,4.241
KA16 9,3.9947,4.0229
KA17 0,4.994,5.0291
KA18 1,7.7773,7.832
KA18 2,6.8146,6.8625
KA18 3,6.7438,6.7913
KA18 4,4.8868,4.9212
KA19 7,5.9428,6.2021
KA19 8,4.0967,4.2763
KA2 0,4.4153,4.4653
KA2 9,3.2799,3.4211
KA20 3,5.2734,6.0532
KA20 4,3.5936,4.1251
KA21 5,6.5493,7.5178
KA21 6,5.6772,6.5168
KA21 9,0.1675,0.1923
KA22 7,5.3078,6.0927
KA22 8,5.4409,6.2456
KA23 9,6.2142,7.1332
KA24 4,3.9975,4.5886
KA24 5,3.628,4.1645
KA25 6,3.729,4.2804
KA25 7,3.729,4.2804
KA26 0,6.3837,6.6636
KA26 9,6.3532,6.6318
KA27 8,6.8865,7.905
KA28 0,2.453,2.8158
KA29 0,2.1824,2.5051
KA3 1,7.1704,7.2209
KA3 2,8.715,8.8331
KA3 3,3.8168,3.8437
KA3 4,2.5668,2.5896
KA3 5,5.8153,5.8562
KA3 6,5.886,5.9275
KA3 7,8.099,8.156
KA30 8,7.256,8.3291
KA30 9,4.9383,5.6686
KA4 8,6.064,6.1067
KA5 5,6.835,6.9943
KA5 6,7.5994,7.6528
KA6 5,3.5889,3.7463
KA6 6,6.3803,6.5761
KA6 7,7.7942,7.8549
KA7 1,3.9707,4.1449
KA7 2,6.5116,6.7972
KA7 3,7.7506,8.0905
KA7 4,9.3064,9.7145
KA7 9,1.7467,1.8233
KA8 0,6.1623,6.4325
KA8 8,3.6519,3.812
KA8 9,7.1778,7.4926
KA9 1,6.3837,6.6636
KA9 2,7.5597,7.8912
KA9 9,0.1584,0.1654
KW1 4,5.324,4.8149
KW1 5,5.6941,5.1496
KW10 6,1.9495,1.7631
KW11 6,0.186,0.1683
KW12 6,1.4864,1.3442
KW13 6,0.093,0.0841
KW14 7,8.3878,7.5857
KW14 8,5.7871,5.2337
KW15 1,3.9172,6.3655
KW15 9,0.0543,0.0882
KW16 3,1.5126,2.458
KW17 2,2.5131,4.0839
KW2 6,0.0614,0.0555
KW3 6,1.1459,1.0364
KW5 6,0.3721,0.3365
KW6 6,0.5562,0.503
KW7 6,0.1544,0.1396
KW8 6,1.1756,1.0632
KW9 6,2.2286,2.0154
KY1 1,11.1531,12.7777
KY1 2,12.6395,14.4807
KY1 3,7.3847,8.4604
KY1 4,8.9694,10.2759
KY10 2,7.3847,8.4604
KY10 3,11.7457,13.4567
KY10 9,0.0507,0.0581
KY11 1,8.5732,9.822
KY11 2,13.5808,15.5591
KY11 3,5.6986,6.5286
KY11 4,13.4319,15.3884
KY11 7,0.9413,1.0784
KY11 8,17.0006,19.477
KY11 9,9.2673,10.6172
KY12 0,13.4826,15.4465
KY12 2,0.6941,0.7952
KY12 7,10.7062,12.2657
KY12 8,15.1655,17.3746
KY12 9,15.7107,17.9992
KY13 0,3.5361,3.3284
KY13 3,0.0986,0.0915
KY13 8,5.2851,4.9033
KY13 9,4.267,3.9804
KY14 6,5.3368,6.0856
KY14 7,8.0625,9.2083
KY15 4,10.5065,12.037
KY15 5,13.4826,15.4465
KY15 7,12.985,14.8764
KY15 9,0.2979,0.3413
KY16 0,7.9298,9.0849
KY16 6,0.3962,0.4539
KY16 8,13.1339,15.0471
KY16 9,13.4319,15.3884
KY2 5,13.7298,15.7297
KY2 6,16.9499,19.4189
KY2 9,0.8431,0.9659
KY3 0,8.177,9.3681
KY3 9,9.1183,10.4466
KY4 0,7.1675,8.0971
KY4 8,8.0281,9.1975
KY4 9,9.9614,11.4124
KY5 0,8.6411,9.8855
KY5 8,6.8902,7.8939
KY5 9,8.326,9.5388
KY6 1,5.6003,6.4161
KY6 2,8.7729,10.0508
KY6 3,8.5742,9.7802
KY7 4,10.2086,11.6956
KY7 5,7.6319,8.7436
KY7 6,17.4475,19.989
KY7 9,5.651,6.4742
KY8 1,5.8,6.6448
KY8 2,5.6986,6.5286
KY8 3,7.9805,9.143
KY8 4,11.5968,13.286
KY8 5,13.1847,15.1052
KY8 6,4.659,5.3377
KY8 9,0.149,0.1707
KY9 1,5.9489,6.8155
ML1 1,11.2366,11.6567
ML1 2,15.8517,16.4444
ML1 3,20.5291,21.2967
ML1 4,22.4773,23.3177
ML1 5,20.2674,21.0252
ML1 9,2.9244,3.0338
ML10 6,11.7187,13.4285
ML11 0,8.2468,9.45
ML11 7,7.8689,9.017
ML11 8,8.8554,10.1461
ML11 9,12.0264,13.781
ML12 6,11.5283,13.0423
ML12 9,0.1033,0.1183
ML2 0,13.38,13.8803
ML2 2,0.5192,0.5387
ML2 7,15.3324,15.9057
ML2 8,16.9566,17.5907
ML2 9,10.882,11.2926
ML3 0,6.5636,7.5213
ML3 3,1.5118,1.7324
ML3 6,6.2538,7.1662
ML3 7,11.3056,12.9551
ML3 8,9.2774,10.631
ML3 9,9.7257,11.1447
ML4 1,11.8223,12.2643
ML4 2,15.1995,15.7678
ML4 3,10.1358,10.5147
ML4 9,0.3905,0.4051
ML5 1,10.3268,10.713
ML5 2,14.6802,15.2291
ML5 3,8.6403,8.9634
ML5 4,17.0189,17.6553
ML5 5,13.837,14.3544
ML5 9,0.3905,0.4051
ML6 0,10.2645,10.6483
ML6 1,0.4528,0.4697
ML6 6,14.0322,14.5569
ML6 7,17.9287,18.599
ML6 8,20.0057,20.7537
ML6 9,15.59,16.1729
ML7 4,10.0028,10.3769
ML7 5,16.5636,17.2845
ML7 9,0.9135,0.9512
ML8 4,7.5591,8.6619
ML8 5,10.3783,11.8925
ML9 1,6.6999,7.6774
ML9 2,9.2445,10.5932
ML9 3,7.6623,8.7803
ML9 9,0.0352,0.0403
PA1 1,8.7087,8.8516
PA1 2,9.3066,9.4594
PA1 3,7.6773,7.8034
PA10 2,5.6202,5.7124
PA11 3,9.1325,9.2786
PA12 4,4.8906,4.9708
PA13 4,10.4477,10.5955
PA14 5,11.3312,11.4912
PA14 6,9.3698,9.5058
PA15 1,7.2328,7.3349
PA15 2,7.5369,7.6433
PA15 3,4.1469,4.2055
PA15 4,8.9537,9.0801
PA15 9,2.1737,2.2044
PA16 0,14.2651,14.4665
PA16 7,10.5225,10.6711
PA16 8,9.7106,9.8477
PA16 9,4.9071,4.9763
PA17 5,2.4187,2.7764
PA18 6,3.1862,3.2312
PA19 1,14.2651,14.4665
PA2 0,7.1644,7.282
PA2 6,9.7784,9.9389
PA2 7,8.5359,8.676
PA2 8,9.5644,9.7215
PA2 9,7.5484,7.6723
PA20 0,2.6488,3.0332
PA20 9,2.2137,2.535
PA21 2,0.8342,0.9553
PA22 3,0.2901,0.3322
PA23 7,3.447,3.9473
PA23 8,4.2092,4.8202
PA23 9,0.0186,0.0213
PA24 8,0.2726,0.3122
PA25 8,0.0545,0.0624
PA26 8,0.1636,0.1873
PA27 8,0.4177,0.4783
PA28 6,4.0642,4.6542
PA29 6,1.4155,1.6209
PA3 1,4.7616,4.8398
PA3 2,6.4759,6.5823
PA3 3,8.3219,8.4585
PA3 4,7.4634,7.5859
PA3 9,3.2174,3.2702
PA30 8,0.7797,0.8928
PA31 8,3.302,3.7813
PA31 9,0.7437,0.8516
PA32 8,1.0337,1.1838
PA33 1,0.5987,0.6856
PA34 4,4.2452,4.8614
PA34 5,2.3401,2.6798
PA34 9,0.0545,0.0624
PA35 1,0.7077,0.8105
PA36 4,0.1265,0.1448
PA37 1,1.8146,2.078
PA38 4,0.7036,0.7238
PA4 0,9.5233,9.6796
PA4 8,11.5393,11.7287
PA4 9,4.8467,4.9262
PA41 7,0.0905,0.1036
PA42 7,1.0337,1.1838
PA43 7,0.7077,0.8105
PA44 7,0.3631,0.4159
PA45 7,0.1091,0.1249
PA46 7,0.2355,0.2697
PA47 7,0.2726,0.3122
PA48 7,0.2901,0.3322
PA49 7,0.1091,0.1249
PA5 0,7.5073,7.6305
PA5 5,0.1289,0.131
PA5 8,10.124,10.2902
PA5 9,7.7624,7.8898
PA6 7,7.2056,7.3238
PA60 7,0.3631,0.4159
PA61 7,0.145,0.1661
PA62 6,0.0186,0.0213
PA63 6,0.0186,0.0213
PA64 6,0.036,0.0412
PA65 6,0.145,0.1661
PA66 6,0.145,0.1661
PA67 6,0.2726,0.3122
PA68 6,0.0545,0.0624
PA69 6,0.0731,0.0837
PA7 5,10.5519,10.7251
PA70 6,0.1091,0.1249
PA71 6,0.0731,0.0837
PA72 6,0.3631,0.4159
PA73 6,0.1091,0.1249
PA74 6,0.0186,0.0213
PA75 6,1.1068,1.2675
PA76 6,0.1265,0.1448
PA77 6,0.6892,0.7892
PA78 6,0.0905,0.1036
PA8 6,4.331,4.4021
PA8 7,5.1045,5.1883
PA80 5,0.5878,0.5316
PA9 1,2.5317,2.5732
PH1 0,0.9529,0.8841
PH1 1,7.7471,7.1875
PH1 2,7.8772,7.3083
PH1 3,10.6016,9.8359
PH1 4,6.1708,5.7251
PH1 5,7.3525,6.8214
PH10 6,9.5836,8.8914
PH10 7,5.8748,5.4505
PH10 9,0.0986,0.0915
PH11 8,6.307,5.9764
PH12 8,3.4398,3.3529
PH13 9,6.0159,5.5851
PH14 9,2.2983,2.1323
PH15 2,5.8434,5.4213
PH16 5,7.4511,6.913
PH16 9,0.1322,0.1227
PH17 2,0.4261,0.3953
PH18 5,1.5091,1.4001
PH19 1,0.2157,0.1951
PH2 0,8.0094,7.431
PH2 1,2.6593,2.4672
PH2 6,8.8616,8.2216
PH2 7,9.2898,8.6188
PH2 8,4.8905,4.5372
PH2 9,7.8939,7.3346
PH20 1,1.6407,1.4838
PH21 1,3.2182,2.9104
PH22 1,3.7763,3.4152
PH23 3,0.9896,0.895
PH24 3,0.7422,0.6712
PH25 3,1.0826,0.9791
PH26 3,4.2711,3.8626
PH26 9,0.093,0.0841
PH3 1,8.1396,7.5517
PH30 4,0.0317,0.0286
PH31 4,0.3721,0.3365
PH32 4,1.2073,1.0918
PH33 6,8.1087,7.3333
PH33 7,5.138,4.6466
PH34 4,0.8055,0.7285
PH35 4,0.4948,0.4475
PH36 4,1.0529,0.9522
PH37 4,0.1544,0.1396
PH38 4,0.1544,0.1396
PH39 4,0.4018,0.3634
PH4 1,1.083,1.0048
PH40 4,0.3088,0.2792
PH41 2,0.0317,0.0286
PH41 4,1.2073,1.0918
PH42 4,0.0317,0.0286
PH43 4,0.0317,0.0286
PH44 4,0.0317,0.0286
PH49 4,1.2687,1.1473
PH5 2,1.4105,1.3086
PH50 4,1.423,1.2869
PH6 2,3.7424,3.4721
PH7 3,7.5813,7.0337
PH7 4,4.1684,3.8674
PH7 9,0.1322,0.1227
PH8 0,3.8074,3.5324
PH9 0,1.444,1.3398
TD1 1,5.3414,5.4696
TD1 2,6.4417,6.5963
TD1 3,5.5615,5.6949
TD1 9,0.1109,0.1136
TD10 6,1.1567,1.1844
TD11 3,8.2167,8.4332
TD11 9,0.0827,0.0847
TD13 5,1.4939,1.5878
TD14 5,7.0755,7.2453
TD15 1,5.6161,5.7508
TD2 6,2.9735,3.0449
TD3 6,1.2394,1.2691
TD4 6,2.9453,3.016
TD5 7,6.9646,7.1317
TD5 8,5.4048,5.5345
TD6 0,4.3221,4.4258
TD6 6,0.9912,1.015
TD6 9,6.1953,6.3439
TD7 4,4.5985,4.7088
TD7 5,3.4682,3.5514
TD7 9,0.0282,0.0288
TD8 6,7.3238,7.4995
TD8 9,0.3891,0.3984
TD9 0,5.8731,6.014
TD9 1,0.0827,0.0847
TD9 7,3.7165,3.8056
TD9 8,5.9189,6.0609
TD9 9,5.0932,5.2154
ZE1 0,2.7922,2.9473
ZE1 9,0.2114,0.2232
ZE2 9,2.8839,3.0441
ZE3 9,0.1104,0.1166
