name,sev_rel,dwellings
DN14 7,1.0110,4416
DN14 8,0.9264,2308
DN14 9,0.9863,2932
DN15 0,0.9803,492
DN15 5,0.8228,387
DN15 6,0.7357,2128
DN15 7,0.7763,3906
DN15 8,0.8167,5233
DN15 9,0.9179,4684
DN16 1,0.7332,3904
DN16 2,0.7778,4602
DN16 3,0.8723,6830
DN17 1,0.7994,5216
DN17 2,0.8223,5061
DN17 3,0.9230,3373
DN17 4,0.9357,2933
DN18 5,0.8713,4474
DN18 6,0.9050,1519
DN18 9,0.8879,43
DN19 7,0.9498,2935
DN19 9,0.8879,57
DN2 4,0.7677,3723
DN2 5,0.8301,4113
DN2 6,0.7449,3307
DN20 0,0.9256,3052
DN20 2,0.7979,53
DN20 8,0.8785,3220
DN20 9,0.9786,2674
DN21 1,0.7808,6820
DN21 2,0.7486,3459
DN21 3,0.9817,3395
DN21 4,0.9682,2677
DN21 5,0.9702,2970
DN21 9,0.7798,162
DN22 0,1.0485,2226
DN22 1,0.7461,125
DN22 5,1.0542,31
DN22 6,0.8279,4007
DN22 7,0.8668,7587
DN22 8,1.0317,2185
DN22 9,1.0508,1511
DN3 1,0.8802,3864
DN3 2,0.8254,4896
DN3 3,0.8863,5598
DN31 1,0.7257,1282
DN31 2,0.7399,3619
DN31 3,0.7200,728
DN31 9,0.7266,188
DN32 0,0.8403,2979
DN32 7,0.7194,3019
DN32 8,0.7903,3302
DN32 9,0.7433,4118
DN33 1,0.7417,3048
DN33 2,0.8997,2731
DN33 3,0.9251,3716
DN34 4,0.8093,3907
DN34 5,0.7898,4747
DN35 0,0.9621,4079
DN35 7,0.7502,4984
DN35 8,0.7615,4146
DN35 9,0.8338,2910
DN36 4,0.9922,6172
DN36 5,0.9746,3988
DN37 0,1.0298,3745
DN37 7,0.9601,1700
DN37 8,0.9178,366
DN37 9,0.8368,4108
DN38 6,0.9478,1354
DN39 6,0.9625,1328
DN4 0,0.7506,5194
DN4 5,0.8897,3223
DN4 6,0.9363,5140
DN4 7,1.0396,4028
DN4 8,0.8187,4365
DN4 9,0.8273,4193
DN40 1,0.7796,2183
DN40 2,0.8191,2110
DN40 3,0.8611,1403
DN40 9,0.7188,32
DN41 7,1.0602,1370
DN41 8,0.9159,1526
DN5 0,0.7674,4689
DN5 7,1.0086,4501
DN5 8,0.8222,4553
DN5 9,0.7620,4878
DN6 0,0.8113,3143
DN6 7,0.7793,5107
DN6 8,0.7881,3775
DN6 9,0.9018,2509
DN7 4,0.8095,3780
DN7 5,0.7822,3384
DN7 6,0.8854,3577
DN8 4,0.7724,4239
DN8 5,0.8181,4306
DN9 1,1.0048,4016
DN9 2,1.0654,2198
DN9 3,1.0054,3596
DT1 1,0.9395,3886
DT1 2,1.0340,4333
DT1 3,1.0913,2587
DT1 9,0.9281,235
DT10 1,1.1000,2880
DT10 2,1.1162,3011
DT10 9,0.9551,76
DT11 0,1.1344,3345
DT11 1,0.9023,114
DT11 7,0.9608,4913
DT11 8,1.1737,3130
DT11 9,1.1060,2873
DT2 0,1.1566,1841
DT2 7,1.2020,2793
DT2 8,1.1522,4197
DT2 9,1.1483,3914
DT3 4,1.0497,3074
DT3 5,1.0209,4209
DT3 6,1.0838,4596
DT4 0,0.8917,5923
DT4 4,0.8148,121
DT4 7,0.9035,4236
DT4 8,0.9092,2944
DT4 9,0.9712,6080
DT5 1,0.8409,3257
DT5 2,0.8532,2979
DT5 9,0.7742,53
DT6 3,1.0119,3781
DT6 4,1.1255,3055
DT6 5,0.9974,2916
DT6 6,1.1629,2149
DT6 9,0.9549,157
DT7 3,1.1430,3342
DT8 3,1.0938,3173
DT9 3,1.1069,2102
DT9 4,1.1091,2762
DT9 5,1.1211,2634
DT9 6,1.1270,3306
DT9 9,1.1621,123
DY1 1,0.7862,1216
DY1 2,0.8658,5998
DY1 3,0.8249,4174
DY1 4,0.8382,2851
DY1 9,0.7666,497
DY10 1,0.8485,3422
DY10 2,0.8942,5842
DY10 3,0.9907,5287
DY10 4,1.1375,2667
DY11 5,0.9652,4469
DY11 6,0.9162,6100
DY11 7,0.9257,3923
DY11 9,0.9273,498
DY12 1,1.0208,2727
DY12 2,1.0738,2889
DY12 3,1.0914,641
DY12 9,0.8869,19
DY13 0,0.9843,3523
DY13 3,0.8818,49
DY13 8,0.9655,4353
DY13 9,0.9784,3300
DY14 0,1.1088,1111
DY14 8,1.0560,1757
DY14 9,1.2325,1678
DY2 0,0.7937,4789
DY2 7,0.8039,2976
DY2 8,0.7985,3154
DY2 9,0.8106,3827
DY3 1,0.8606,4557
DY3 2,0.8656,5446
DY3 3,1.0176,4881
DY3 4,1.1232,1175
DY4 0,0.8107,5997
DY4 4,0.9023,151
DY4 7,0.8308,4647
DY4 8,0.8334,4848
DY4 9,0.7880,3934
DY5 1,0.7938,3602
DY5 2,0.8634,5875
DY5 3,0.8532,5746
DY5 4,0.8246,3980
DY5 9,0.7704,90
DY6 0,1.0336,1777
DY6 6,1.0415,78
DY6 7,0.9505,2490
DY6 8,0.9203,4946
DY6 9,1.0580,3767
DY7 5,1.3334,1413
DY7 6,1.2123,2512
DY8 1,0.8988,2936
DY8 2,1.2599,2753
DY8 3,0.9708,5328
DY8 4,0.8982,6723
DY8 5,0.9188,5520
DY8 9,0.8813,272
DY9 0,1.3112,5222
DY9 7,0.9014,2505
DY9 8,0.8161,2629
DY9 9,1.0424,3390
E1 0,1.0157,4430
E1 1,1.0777,4396
E1 2,0.9715,3515
E1 3,1.0108,3079
E1 4,0.9809,6783
E1 5,1.0149,4251
E1 6,1.1013,3312
E1 7,1.1372,2139
E1 8,1.2513,4449
E10 5,0.9121,6525
E10 6,0.9391,6122
E10 7,0.9065,5301
E10 9,0.8903,122
E11 1,1.0234,5971
E11 2,1.2149,5425
E11 3,0.9743,5664
E11 4,0.9172,6012
E11 9,0.9304,214
E12 5,0.9832,5539
E12 6,0.9398,7170
E12 9,0.8795,226
E13 0,0.9318,6152
E13 3,0.9057,147
E13 8,0.9194,5338
E13 9,0.9223,6124
E14 0,1.1269,8694
E14 1,0.9799,445
E14 2,1.2785,1145
E14 3,1.1874,8948
E14 4,1.4660,1070
E14 5,1.4313,2452
E14 6,1.0188,6346
E14 7,1.0931,6288
E14 8,1.2644,6156
E14 9,1.3294,15227
E15 1,0.9612,7422
E15 2,0.9643,6318
E15 3,0.9103,5419
E15 4,0.9282,5315
E15 9,0.9690,342
E16 1,1.0475,10330
E16 2,1.1489,10845
E16 3,0.9396,4959
E16 4,0.9187,3999
E16 9,0.9930,387
E17 0,0.9419,484
E17 3,0.9410,5554
E17 4,0.9716,6632
E17 5,0.9425,7222
E17 6,0.9185,8576
E17 7,0.9087,5892
E17 8,0.9309,6032
E17 9,0.9378,5626
E18 1,1.1396,3511
E18 2,1.1870,4909
E18 9,1.1402,120
E1W 1,1.3482,1445
E1W 2,1.3163,2656
E1W 3,1.2020,3504
E1W 9,1.1961,775
E2 0,0.9869,5196
E2 2,0.9910,237
E2 6,0.9829,4522
E2 7,0.9834,4274
E2 8,0.9477,4386
E2 9,0.9875,3740
E20 1,1.0614,6593
E20 2,1.0255,276
E20 3,1.0225,403
E3 2,1.0578,7973
E3 3,1.0217,8289
E3 4,0.9953,7049
E3 5,1.0565,6019
E3 9,1.0287,385
E4 0,1.1063,405
E4 6,1.1252,6905
E4 7,1.1639,5161
E4 8,1.0641,6058
E4 9,1.0813,7501
E5 0,0.9881,6484
E5 5,1.0261,354
E5 8,0.9543,6753
E5 9,0.9899,6960
E6 1,0.9118,5652
E6 2,0.9365,5410
E6 3,0.9421,6455
E6 5,1.0110,4481
E6 6,0.9589,3945
E6 7,1.2116,220
E6 9,0.9358,633
E7 0,0.9704,4961
E7 7,0.9344,239
E7 8,0.9366,6195
E7 9,0.9399,5990
E8 1,0.9842,4226
E8 2,0.9713,4889
E8 3,1.0317,6254
E8 4,0.9962,5153
E8 9,0.9842,153
E9 5,0.9693,6347
E9 6,0.9450,5506
E9 7,1.0255,5962
E9 9,0.9910,135
E98 1,1.4907,828
EC1A 1,1.2278,68
EC1A 2,1.4859,55
EC1A 4,1.3964,407
EC1A 7,1.4815,179
EC1A 9,1.4822,164
EC1M 3,1.2568,92
EC1M 4,1.2644,341
EC1M 5,1.2734,485
EC1M 6,1.2543,498
EC1M 7,1.1798,98
EC1N 2,1.2754,144
EC1N 6,1.2406,71
EC1N 7,1.1511,531
EC1N 8,1.2406,709
EC1P 1,1.2197,297
EC1R 0,1.2058,720
EC1R 1,1.2446,609
EC1R 3,1.3568,224
EC1R 4,1.1980,612
EC1R 5,1.2167,377
EC1V 0,1.1574,1519
EC1V 1,1.1934,1191
EC1V 2,1.2258,1002
EC1V 3,1.2165,1518
EC1V 4,1.1776,1041
EC1V 7,1.1690,1608
EC1V 8,1.2769,1321
EC1V 9,1.0787,1262
EC1Y 0,1.1930,1227
EC1Y 1,1.2508,110
EC1Y 2,1.2504,103
EC1Y 4,1.2962,127
EC1Y 8,1.1834,883
EC2A 1,1.2448,200
EC2A 2,1.2532,429
EC2A 3,1.1459,1175
EC2A 4,1.2331,1202
EC2M 1,1.4591,32
EC2M 2,1.3058,110
EC2M 3,1.4757,45
EC2M 4,1.2169,218
EC2M 5,1.4842,52
EC2M 6,1.4908,14
EC2M 7,1.4908,51
EC2N 1,1.4724,37
EC2N 2,1.4908,44
EC2N 3,1.4908,8
EC2N 4,1.4908,18
EC2P 2,1.2662,106
EC2R 5,1.4750,21
EC2R 6,1.4801,32
EC2R 7,1.4775,51
EC2R 8,1.4713,52
EC2V 5,1.4795,61
EC2V 6,1.4780,116
EC2V 7,1.4763,551
EC2V 8,1.4787,76
EC2Y 5,1.4740,259
EC2Y 8,1.3679,1003
EC2Y 9,1.4395,263
EC3A 1,1.4908,2
EC3A 2,1.4908,6
EC3A 3,1.4445,7
EC3A 4,1.4908,4
EC3A 5,1.4908,28
EC3A 6,1.4908,14
EC3A 7,1.1477,189
EC3A 8,1.3493,53
EC3M 1,1.4908,34
EC3M 2,1.4908,2
EC3M 3,1.4908,16
EC3M 4,1.4908,22
EC3M 5,1.4908,30
EC3M 6,1.4908,12
EC3M 7,1.4908,32
EC3M 8,1.4908,12
EC3N 1,1.1266,296
EC3N 2,1.1902,179
EC3N 3,1.4908,16
EC3N 4,1.3771,133
EC3P 3,1.2421,24
EC3R 5,1.4908,28
EC3R 6,1.4667,42
EC3R 7,1.4908,46
EC3R 8,1.4908,57
EC3V 0,1.4908,44
EC3V 1,1.4908,16
EC3V 3,1.4908,44
EC3V 4,1.4908,8
EC3V 9,1.4837,48
EC4A 1,1.4836,142
EC4A 2,1.4833,102
EC4A 3,1.4835,138
EC4A 4,1.4741,65
EC4M 5,1.4268,5
EC4M 6,1.4908,4
EC4M 7,1.4831,158
EC4M 8,1.4908,20
EC4M 9,1.4908,53
EC4N 1,1.4908,12
EC4N 4,1.4908,22
EC4N 5,1.4908,20
EC4N 6,1.4793,30
EC4N 7,1.4701,33
EC4N 8,1.4775,25
EC4P 4,1.2197,61
EC4R 0,1.4908,28
EC4R 1,1.4908,20
EC4R 2,1.4908,22
EC4R 3,1.4908,30
EC4R 9,1.4713,17
EC4V 2,1.4908,18
EC4V 3,1.4908,46
EC4V 4,1.4840,50
EC4V 5,1.4859,70
EC4V 6,1.4881,71
EC4Y 0,1.4859,98
EC4Y 1,1.4815,75
EC4Y 7,1.4859,176
EC4Y 8,1.4859,82
EC4Y 9,1.4880,96
EH1 1,0.9939,1579
EH1 2,0.9791,1282
EH1 3,1.2384,1270
EH1 9,1.2520,30
EH10 4,1.2897,4632
EH10 5,1.4405,5232
EH10 6,1.6093,3718
EH10 7,1.6474,1761
EH10 9,1.0690,92
EH11 1,0.9757,8417
EH11 2,0.8910,6484
EH11 3,0.7922,5375
EH11 4,0.7860,3673
EH12 0,1.4570,161
EH12 1,0.9704,308
EH12 5,1.3028,3676
EH12 6,1.7061,2477
EH12 7,1.1340,4692
EH12 8,1.3605,5720
EH12 9,1.0454,1948
EH13 0,1.5945,2921
EH13 9,0.8851,3906
EH14 1,1.2398,4879
EH14 2,0.8311,4754
EH14 3,0.9045,2609
EH14 4,1.3579,258
EH14 5,1.3018,4058
EH14 6,1.4602,207
EH14 7,1.4071,2175
EH14 9,1.0264,184
EH15 1,1.1635,3730
EH15 2,1.2913,2996
EH15 3,0.9635,3983
EH15 9,0.9619,74
EH16 4,0.8402,6122
EH16 5,1.1374,4706
EH16 6,1.1283,5760
EH16 9,0.9275,203
EH17 7,0.9432,3972
EH17 8,1.1248,7111
EH18 1,1.3169,1238
EH19 2,0.9237,2443
EH19 3,1.1437,4629
EH19 9,0.8791,13
EH2 1,1.5037,374
EH2 2,1.1368,247
EH2 3,1.3678,183
EH2 4,1.3925,372
EH2 9,1.2520,30
EH20 0,0.8791,25
EH20 9,0.9642,3375
EH21 6,1.0047,5262
EH21 7,1.0175,3589
EH21 8,1.0381,4896
EH21 9,0.9464,57
EH22 1,1.0574,3298
EH22 2,1.0208,4193
EH22 3,1.4046,1630
EH22 4,0.9570,3297
EH22 5,0.8163,2928
EH22 9,1.0327,221
EH23 4,1.0203,4554
EH24 9,1.2177,972
EH25 9,1.1410,2062
EH26 0,1.1522,3886
EH26 6,0.9471,24
EH26 8,0.9915,2963
EH26 9,1.1625,1717
EH27 8,1.2087,1417
EH28 8,1.1812,1712
EH28 9,1.2742,6
EH29 9,1.1886,2220
EH3 1,1.2520,284
EH3 5,1.2427,4045
EH3 6,1.4468,3379
EH3 7,1.5811,988
EH3 8,0.9435,2147
EH3 9,1.0347,5150
EH30 9,1.1340,5094
EH31 2,1.4268,1584
EH32 0,1.2246,4666
EH32 2,0.8614,26
EH32 9,1.0063,4904
EH33 1,1.0248,2806
EH33 2,1.0101,3859
EH33 9,1.0058,10
EH34 5,1.3657,1174
EH35 5,1.0391,1181
EH36 5,1.3430,149
EH37 5,1.1905,961
EH38 5,1.1637,146
EH39 4,1.3359,2895
EH39 5,1.4904,2257
EH39 9,1.3906,51
EH4 1,1.2831,3903
EH4 2,1.1939,4617
EH4 3,1.6475,3041
EH4 4,0.7976,5730
EH4 5,1.2769,2017
EH4 6,1.7162,2817
EH4 7,1.0842,3533
EH4 8,1.4238,1598
EH4 9,1.2252,170
EH40 3,1.2942,1175
EH41 3,1.1656,3358
EH41 4,1.1843,3230
EH41 9,0.9710,137
EH42 1,1.1557,5963
EH43 6,0.8475,452
EH44 6,1.0117,1824
EH45 6,1.1858,41
EH45 8,1.0595,3033
EH45 9,1.3770,2394
EH46 7,1.4200,1523
EH47 0,0.8314,3826
EH47 7,0.8126,3417
EH47 8,0.8788,3634
EH47 9,0.8301,2467
EH48 1,0.8907,3637
EH48 2,1.0394,7418
EH48 3,0.8909,4768
EH48 4,0.9685,2590
EH48 9,1.2742,34
EH49 6,1.1629,3445
EH49 7,1.1706,3942
EH49 9,1.4595,44
EH5 1,0.8891,4500
EH5 2,1.0604,4057
EH5 3,1.3278,2843
EH51 0,0.8328,3089
EH51 1,0.7491,40
EH51 9,0.9482,4183
EH52 5,1.0014,4408
EH52 6,0.9770,5783
EH52 9,1.2742,11
EH53 0,1.0754,5800
EH54 0,1.1904,185
EH54 5,0.7741,3825
EH54 6,0.8669,9150
EH54 7,1.1771,1785
EH54 8,0.9114,6412
EH54 9,1.4332,2882
EH55 8,0.9221,4375
EH6 4,1.0359,5152
EH6 5,0.9839,4763
EH6 6,1.0240,5287
EH6 7,1.0442,3890
EH6 8,0.8783,5945
EH6 9,1.2593,9
EH7 4,1.0378,6474
EH7 5,0.9181,8657
EH7 6,0.9493,6931
EH7 9,1.2070,270
EH8 7,1.0423,5239
EH8 8,0.9128,3189
EH8 9,1.0008,5217
EH9 1,1.2616,5618
EH9 2,1.5413,2893
EH9 3,1.2939,2026
EH9 8,1.4735,54
EH91 5,1.0012,77
EH95 1,0.9094,63
EH99 1,0.9428,31
EN1 1,1.0396,4865
EN1 2,1.2507,3476
EN1 3,1.1311,4567
EN1 4,1.0177,5548
EN1 9,1.0398,627
EN10 6,1.1098,4770
EN10 7,1.4468,2848
EN11 0,1.0705,2879
EN11 1,1.3190,338
EN11 8,1.0636,3352
EN11 9,1.1805,3297
EN2 0,1.0782,4160
EN2 6,1.1995,2131
EN2 7,1.3650,3277
EN2 8,1.2515,3723
EN2 9,1.2420,911
EN3 4,0.9840,4561
EN3 5,0.9879,5951
EN3 6,1.0400,7608
EN3 7,0.9937,4440
EN4 0,1.6709,2424
EN4 8,1.2113,5129
EN4 9,1.2579,3652
EN5 1,1.2491,3212
EN5 2,1.1762,5245
EN5 3,1.3784,1715
EN5 4,1.3406,2535
EN5 5,1.2065,4327
EN5 9,1.3584,317
EN6 1,1.3592,2712
EN6 2,1.2326,2953
EN6 3,1.1763,1970
EN6 4,1.5693,2420
EN6 5,1.1948,2683
EN6 9,1.0948,244
EN7 5,1.2770,3414
EN7 6,1.2614,5517
EN8 0,1.0968,4667
EN8 1,1.0058,274
EN8 7,1.0066,3528
EN8 8,1.0532,4552
EN8 9,1.1114,3856
EN9 1,1.0173,4104
EN9 2,1.2329,2403
EN9 3,1.0670,5198
EX1 1,0.8583,1539
EX1 2,0.8966,4168
EX1 3,1.0054,7521
EX1 4,1.0930,440
EX1 9,0.8187,752
EX10 0,1.2357,2386
EX10 1,1.3054,346
EX10 8,1.2083,2088
EX10 9,1.1270,4575
EX11 1,1.1251,4344
EX12 2,1.0124,4316
EX12 3,1.1202,1118
EX12 4,1.2450,336
EX12 9,0.8956,59
EX13 5,0.9982,4172
EX13 7,1.2208,1998
EX13 8,1.1373,460
EX13 9,0.9382,48
EX14 0,0.9203,59
EX14 1,0.9128,3224
EX14 2,1.0005,2227
EX14 3,1.1142,2189
EX14 4,1.0370,1331
EX14 9,1.2426,1676
EX15 1,0.9660,4779
EX15 2,1.0711,2976
EX15 3,1.0814,3044
EX15 9,0.8726,102
EX16 0,0.8536,379
EX16 4,0.9707,2750
EX16 5,0.9156,2388
EX16 6,0.8983,4188
EX16 7,1.1028,2303
EX16 8,1.0889,1951
EX16 9,1.1284,1662
EX17 1,1.0554,992
EX17 2,0.9383,1051
EX17 3,0.9426,2477
EX17 4,1.1315,1736
EX17 5,1.0969,1438
EX17 6,1.0999,1816
EX17 9,1.0146,61
EX18 7,1.0536,1755
EX19 8,1.0638,1821
EX2 0,1.0946,169
EX2 4,1.0384,3085
EX2 5,0.9465,3900
EX2 6,0.9773,2570
EX2 7,1.0654,4018
EX2 8,0.9882,3728
EX2 9,0.9977,3233
EX20 1,0.9502,4558
EX20 2,1.0247,2317
EX20 3,1.0338,2114
EX20 4,1.0533,1677
EX20 9,0.8481,116
EX21 5,1.0369,2416
EX22 6,0.9912,3375
EX22 7,1.0307,2632
EX22 9,0.9144,128
EX23 0,1.0246,1951
EX23 3,0.9265,32
EX23 8,0.9540,3922
EX23 9,1.0224,3083
EX24 6,1.1790,1927
EX3 0,1.1449,2872
EX3 9,1.1503,112
EX31 1,0.9018,2268
EX31 2,1.0016,3203
EX31 3,1.0280,5237
EX31 4,1.0542,3175
EX32 0,1.0606,2533
EX32 2,0.7643,341
EX32 7,0.8616,3145
EX32 8,0.8370,3144
EX32 9,0.9383,2252
EX33 1,1.0474,2742
EX33 2,1.0266,2411
EX34 0,0.9892,1481
EX34 4,0.8444,57
EX34 7,1.0475,1076
EX34 8,0.9095,3309
EX34 9,0.8622,3319
EX35 6,0.9866,1039
EX36 3,0.9929,2225
EX36 4,0.9745,2871
EX36 9,0.8835,47
EX37 9,1.0773,1803
EX38 7,0.9155,1980
EX38 8,0.9442,1986
EX38 9,0.8260,41
EX39 1,0.9534,5842
EX39 2,0.8513,2126
EX39 3,0.9293,4636
EX39 4,0.9199,3504
EX39 5,1.0140,3170
EX39 6,0.9918,960
EX39 9,0.8304,278
EX4 0,1.0809,230
EX4 1,0.9050,4122
EX4 2,0.9380,3636
EX4 3,0.8182,2098
EX4 4,0.9202,4522
EX4 5,1.0877,1564
EX4 6,0.9534,3700
EX4 7,0.8961,2286
EX4 8,0.9734,3576
EX4 9,0.9387,1814
EX5 1,1.1991,1867
EX5 2,1.1833,2575
EX5 3,1.1236,1001
EX5 4,1.0688,2548
EX5 5,1.1673,1366
EX5 7,1.0022,3081
EX6 6,1.0718,1675
EX6 7,1.1770,2149
EX6 8,1.0619,3664
EX7 0,1.0410,4093
EX7 7,0.8601,73
EX7 9,0.9742,3325
EX8 1,0.8995,3631
EX8 2,1.0921,4871
EX8 3,1.0584,2614
EX8 4,0.9953,4131
EX8 5,1.1103,3357
EX8 9,0.8159,122
EX9 6,1.2400,2773
EX9 7,1.2614,999
EX9 9,1.3352,44
FK1 1,0.8372,2496
FK1 2,0.8912,3446
FK1 3,0.9205,1024
FK1 4,0.7447,3642
FK1 5,1.1643,3673
FK1 9,1.0850,398
FK10 1,0.9166,3539
FK10 2,0.9394,6531
FK10 3,0.8953,4402
FK10 4,0.9379,3357
FK10 9,0.8265,386
FK11 7,1.0836,1309
FK12 5,0.9395,2620
FK13 6,0.9086,3058
FK14 7,1.3892,1999
FK15 0,1.5094,2136
FK15 5,1.2378,63
FK15 9,1.2720,2548
FK16 6,1.3036,1047
FK17 8,1.1725,1859
FK18 8,1.3287,98
FK19 8,1.3287,344
FK2 0,1.1333,7166
FK2 7,0.8779,5867
FK2 8,1.0762,4329
FK2 9,0.8789,5960
FK20 8,1.0297,193
FK21 8,1.1196,578
FK3 0,0.7519,2597
FK3 3,0.9016,16
FK3 8,0.7678,3774
FK3 9,0.8614,2615
FK4 1,0.9519,4273
FK4 2,1.0166,1653
FK5 3,0.9764,2130
FK5 4,1.1009,7061
FK6 5,0.9712,3977
FK6 6,0.8877,2807
FK6 9,0.7552,39
FK7 0,0.8728,3459
FK7 1,1.3744,257
FK7 7,0.8715,4668
FK7 8,1.0028,2997
FK7 9,1.1347,3463
FK8 1,0.8621,4925
FK8 2,1.3053,2030
FK8 3,1.3738,2845
FK9 4,1.3473,2871
FK9 5,1.2043,2792
FY1 1,0.7367,763
FY1 2,0.7767,4136
FY1 3,0.7512,2376
FY1 4,0.7664,3129
FY1 5,0.7618,3762
FY1 6,0.7653,4194
FY1 9,0.7408,390
FY2 0,0.8787,7051
FY2 9,0.9134,5097
FY3 0,1.0516,1187
FY3 7,0.8205,5726
FY3 8,0.8929,4065
FY3 9,0.8605,4958
FY4 1,0.8631,4605
FY4 2,0.8955,4262
FY4 3,0.8285,4228
FY4 4,0.8019,6288
FY4 5,1.0008,3315
FY4 9,0.7408,5
FY5 1,0.9180,4148
FY5 2,0.9605,5831
FY5 3,0.9498,5925
FY5 4,0.8947,3884
FY5 5,1.0260,3141
FY5 9,0.8215,65
FY6 0,0.9625,3730
FY6 6,1.0389,483
FY6 7,1.0578,5934
FY6 8,1.1499,2946
FY6 9,1.0475,1610
FY7 6,0.7680,4198
FY7 7,0.8268,3910
FY7 8,0.8908,4500
FY7 9,0.7331,65
FY8 1,1.0355,4793
FY8 2,1.0008,4953
FY8 3,0.9924,5642
FY8 4,1.1583,4852
FY8 5,1.0934,3403
FY8 9,0.9908,576
G1 1,1.0323,2175
G1 2,0.9419,402
G1 3,1.2008,343
G1 4,1.2592,370
G1 5,0.9928,2004
G1 9,0.8552,73
G11 5,0.9929,3820
G11 6,0.9410,5817
G11 7,0.9858,5415
G11 9,1.0943,215
G12 0,1.3413,4893
G12 8,1.1152,2946
G12 9,1.2942,4920
G13 1,1.1269,4780
G13 2,0.9182,3996
G13 3,0.9022,4753
G13 4,0.9170,2959
G13 9,0.8592,89
G14 0,0.8207,4729
G14 9,1.0286,4725
G15 6,0.8857,2898
G15 7,0.7690,2586
G15 8,0.7992,2403
G2 1,0.9624,215
G2 2,1.1205,129
G2 3,0.9246,429
G2 4,1.0250,581
G2 5,1.0669,212
G2 6,1.0670,153
G2 7,1.0576,485
G2 8,1.1978,471
G2 9,0.8423,1613
G20 0,0.8489,3723
G20 2,0.9394,130
G20 6,0.9845,3618
G20 7,0.8639,3738
G20 8,0.8263,4011
G20 9,0.8454,2827
G21 1,0.8145,2499
G21 2,0.7185,2994
G21 3,0.7907,4768
G21 4,0.7634,3304
G22 5,0.7455,2338
G22 6,0.7599,3451
G22 7,0.7499,3156
G22 9,0.8714,13
G23 5,0.8843,3437
G3 6,0.9981,3291
G3 7,1.0481,2764
G3 8,0.9394,7400
G3 9,0.8552,73
G31 1,0.7948,2322
G31 2,0.8357,4108
G31 3,0.7438,3539
G31 4,0.7753,3613
G31 5,0.7890,1543
G31 9,0.8988,21
G32 0,0.9314,3177
G32 2,0.8988,25
G32 6,0.7771,4102
G32 7,0.7589,4074
G32 8,0.8406,4036
G32 9,0.9365,3493
G33 1,1.0861,4239
G33 2,0.8118,3006
G33 3,0.7478,3359
G33 4,0.7907,3187
G33 5,0.7874,3091
G33 6,1.1894,3615
G33 9,0.8129,154
G34 0,0.7635,1936
G34 9,0.7871,2229
G4 0,0.8172,4810
G4 7,0.8552,169
G4 9,0.9086,2923
G40 1,0.8471,1817
G40 2,0.8278,1991
G40 3,0.7932,1754
G40 4,0.7885,2376
G40 9,0.8988,46
G41 1,1.0168,1956
G41 2,0.9697,3621
G41 3,0.9840,6085
G41 4,1.5647,2154
G41 5,1.2130,2321
G42 0,0.7765,2585
G42 2,0.8815,154
G42 7,0.7958,2856
G42 8,0.8381,5334
G42 9,0.8653,4839
G43 1,0.9013,4083
G43 2,1.1891,4587
G44 3,1.3237,4169
G44 4,1.0017,4876
G44 5,0.9850,4388
G44 9,1.3516,38
G45 0,0.7757,2561
G45 9,0.7496,4966
G46 6,1.5062,3891
G46 7,1.2389,3250
G46 8,0.8134,4429
G46 9,1.0619,222
G5 0,0.8077,4795
G5 8,1.3585,1298
G5 9,0.8949,1477
G51 1,0.8372,3135
G51 2,0.7811,2830
G51 3,0.7551,3206
G51 4,0.7979,4134
G51 9,0.8324,98
G52 1,0.8822,3872
G52 2,0.8747,4852
G52 3,0.9326,3551
G52 4,0.9491,2385
G52 9,1.2530,74
G53 5,0.7956,4147
G53 6,0.8331,3353
G53 7,1.0932,7107
G53 9,0.7913,87
G58 1,0.8455,116
G58 2,0.9244,63
G60 5,1.0159,2594
G60 9,0.8794,48
G61 1,1.4333,3031
G61 2,1.6487,2560
G61 3,1.6058,3100
G61 4,1.4955,3217
G61 9,1.6010,85
G62 6,1.4564,1774
G62 7,1.2362,2826
G62 8,1.4993,1328
G62 9,1.0340,150
G63 0,1.4031,2374
G63 9,1.5485,1982
G64 1,1.0963,5556
G64 2,1.2766,2554
G64 3,1.3297,2434
G64 4,1.3027,1109
G64 9,1.4356,90
G65 0,0.9373,3449
G65 5,0.8707,12
G65 9,0.8689,3436
G66 1,1.0859,2457
G66 2,0.8793,3523
G66 3,1.1304,4115
G66 4,1.2250,2319
G66 5,1.3406,2047
G66 7,1.0084,2022
G66 8,1.1336,1835
G66 9,0.9317,367
G67 1,0.7881,2367
G67 2,0.7725,5773
G67 3,0.7824,3951
G67 4,0.9477,4039
G67 9,0.7714,134
G68 0,1.3864,3126
G68 9,1.1287,4509
G69 0,0.9661,3255
G69 1,0.8988,12
G69 6,1.0647,4109
G69 7,1.0115,4729
G69 8,1.1317,2098
G69 9,1.1059,2116
G70 5,0.7857,54
G70 6,0.7769,47
G71 5,0.7533,2936
G71 6,0.9734,3499
G71 7,1.2429,4628
G71 8,1.3120,3405
G71 9,1.0416,123
G72 0,0.8847,4776
G72 6,1.2406,1541
G72 7,1.0160,6852
G72 8,1.0705,6222
G72 9,0.8616,4808
G73 1,0.7989,2245
G73 2,0.9253,3869
G73 3,1.0780,3723
G73 4,0.9342,3468
G73 5,0.9842,2881
G73 9,0.8988,75
G74 1,0.9631,2071
G74 2,0.9559,3389
G74 3,0.8623,6895
G74 4,1.1617,5308
