name,burglaries,months
B74 2,100,36
B74 3,103,36
B74 4,104,36
B75 5,101,36
B75 6,104,36
B75 7,165,36
B76 0,11,36
B76 1,129,36
B76 2,66,36
B76 9,79,36
B77 1,83,36
B77 2,166,36
B77 3,64,36
B77 4,113,36
B77 5,91,36
B77 9,0,36
B78 1,94,36
B78 2,54,36
B78 3,98,36
B79 0,56,36
B79 7,145,36
B79 8,85,36
B79 9,23,36
B8 1,132,36
B8 2,285,36
B8 3,164,36
B80 7,86,36
B9 4,125,36
B9 5,265,36
B9 9,0,36
B90 1,144,36
B90 2,141,36
B90 3,217,36
B90 4,164,36
B90 8,17,36
B90 9,0,36
B91 1,200,36
B91 2,159,36
B91 3,188,36
B91 9,1,36
B92 0,107,36
B92 7,140,36
B92 8,156,36
B92 9,116,36
B93 0,48,36
B93 3,4,36
B93 8,85,36
B93 9,83,36
B94 5,67,36
B94 6,46,36
B95 5,54,36
B95 6,23,36
B95 8,0,36
B96 6,64,36
B97 4,97,36
B97 5,88,36
B97 6,137,36
B97 9,0,36
B98 0,202,36
B98 7,192,36
B98 8,105,36
B98 9,91,36
BA1 0,1,36
BA1 1,163,36
BA1 2,164,36
BA1 3,68,36
BA1 4,40,36
BA1 5,81,36
BA1 6,76,36
BA1 7,54,36
BA1 8,17,36
BA1 9,21,36
BA10 0,47,36
BA11 1,82,36
BA11 2,69,36
BA11 3,57,36
BA11 4,49,36
BA11 5,30,36
BA11 6,19,36
BA11 9,0,36
BA12 0,53,36
BA12 2,0,36
BA12 6,38,36
BA12 7,45,36
BA12 8,66,36
BA12 9,67,36
BA13 2,4,36
BA13 3,58,36
BA13 4,52,36
BA13 9,0,36
BA14 0,60,36
BA14 4,1,36
BA14 6,42,36
BA14 7,69,36
BA14 8,103,36
BA14 9,49,36
BA15 1,58,36
BA15 2,35,36
BA15 5,0,36
BA16 0,59,36
BA16 9,9,36
BA2 0,21,36
BA2 1,199,36
BA2 2,115,36
BA2 3,96,36
BA2 4,75,36
BA2 5,103,36
BA2 6,51,36
BA2 7,54,36
BA2 8,60,36
BA2 9,22,36
BA20 1,97,36
BA20 2,51,36
BA20 9,0,36
BA21 3,79,36
BA21 4,77,36
BA21 5,74,36
BA22 7,40,36
BA22 8,58,36
BA22 9,30,36
BA3 2,92,36
BA3 3,104,36
BA3 4,86,36
BA3 5,40,36
BA3 9,0,36
BA4 4,42,36
BA4 5,44,36
BA4 6,70,36
BA4 9,0,36
BA5 1,101,36
BA5 2,73,36
BA5 3,53,36
BA5 9,0,36
BA6 0,0,36
BA6 8,60,36
BA6 9,88,36
BA7 7,48,36
BA8 0,44,36
BA9 0,0,36
BA9 8,29,36
BA9 9,57,36
BB1 1,102,36
BB1 2,121,36
BB1 3,54,36
BB1 4,67,36
BB1 5,81,36
BB1 6,32,36
BB1 7,15,36
BB1 8,67,36
BB1 9,81,36
BB10 1,110,36
BB10 2,138,36
BB10 3,113,36
BB10 4,177,36
BB11 1,152,36
BB11 2,127,36
BB11 3,179,36
BB11 4,208,36
BB11 5,286,36
BB11 9,0,36
BB12 0,118,36
BB12 6,203,36
BB12 7,91,36
BB12 8,165,36
BB12 9,58,36
BB18 5,50,36
BB18 6,69,36
BB18 9,0,36
BB2 1,85,36
BB2 2,142,36
BB2 3,162,36
BB2 4,199,36
BB2 5,61,36
BB2 6,65,36
BB2 7,40,36
BB2 9,0,36
BB3 0,89,36
BB3 1,80,36
BB3 2,88,36
BB3 3,102,36
BB3 9,0,36
BB4 0,0,36
BB4 4,46,36
BB4 5,86,36
BB4 6,100,36
BB4 7,86,36
BB4 8,86,36
BB4 9,65,36
BB5 0,138,36
BB5 1,180,36
BB5 2,112,36
BB5 3,136,36
BB5 4,125,36
BB5 5,225,36
BB5 6,178,36
BB5 9,3,36
BB6 7,112,36
BB6 8,25,36
BB7 0,0,36
BB7 1,77,36
BB7 2,49,36
BB7 3,15,36
BB7 4,62,36
BB7 9,103,36
BB8 0,110,36
BB8 7,70,36
BB8 8,83,36
BB8 9,122,36
BB9 0,111,36
BB9 4,0,36
BB9 5,83,36
BB9 6,69,36
BB9 7,107,36
BB9 8,92,36
BB9 9,128,36
BD1 1,164,36
BD1 2,154,36
BD1 3,69,36
BD1 4,142,36
BD1 5,97,36
BD1 9,6,36
BD10 0,244,36
BD10 8,213,36
BD10 9,165,36
BD11 1,92,36
BD11 2,97,36
BD12 0,138,36
BD12 7,34,36
BD12 8,117,36
BD12 9,149,36
BD13 1,69,36
BD13 2,99,36
BD13 3,125,36
BD13 4,99,36
BD13 5,60,36
BD14 6,149,36
BD15 0,57,36
BD15 7,183,36
BD15 8,22,36
BD15 9,43,36
BD16 1,137,36
BD16 2,78,36
BD16 3,51,36
BD16 4,72,36
BD17 5,99,36
BD17 6,90,36
BD17 7,172,36
BD18 1,142,36
BD18 2,129,36
BD18 3,217,36
BD18 4,143,36
BD19 3,131,36
BD19 4,128,36
BD19 5,49,36
BD19 6,73,36
BD19 9,0,36
BD2 1,171,36
BD2 2,120,36
BD2 3,267,36
BD2 4,131,36
BD20 0,87,36
BD20 5,76,36
BD20 6,122,36
BD20 7,43,36
BD20 8,43,36
BD20 9,35,36
BD21 1,120,36
BD21 2,114,36
BD21 3,130,36
BD21 4,104,36
BD21 5,109,36
BD21 9,0,36
BD22 0,117,36
BD22 6,186,36
BD22 7,168,36
BD22 8,64,36
BD22 9,122,36
BD23 1,84,36
BD23 2,120,36
BD23 3,42,36
BD23 4,31,36
BD23 5,22,36
BD23 6,42,36
BD23 9,0,36
BD24 0,26,36
BD24 9,27,36
BD3 0,172,36
BD3 7,100,36
BD3 8,154,36
BD3 9,80,36
BD4 0,291,36
BD4 6,245,36
BD4 7,171,36
BD4 8,208,36
BD4 9,287,36
BD5 0,178,36
BD5 5,0,36
BD5 7,89,36
BD5 8,174,36
BD5 9,192,36
BD6 1,226,36
BD6 2,188,36
BD6 3,243,36
BD7 1,207,36
BD7 2,234,36
BD7 3,123,36
BD7 4,185,36
BD8 0,104,36
BD8 7,117,36
BD8 8,82,36
BD8 9,114,36
BD9 4,80,36
BD9 5,77,36
BD9 6,155,36
BH1 1,143,36
BH1 2,79,36
BH1 3,196,36
BH1 4,147,36
BH10 4,57,36
BH10 5,30,36
BH10 6,34,36
BH10 7,37,36
BH11 0,0,36
BH11 8,223,36
BH11 9,85,36
BH12 1,84,36
BH12 2,59,36
BH12 3,64,36
BH12 4,94,36
BH12 5,26,36
BH12 9,0,36
BH13 6,64,36
BH13 7,84,36
BH14 0,73,36
BH14 4,0,36
BH14 8,122,36
BH14 9,68,36
BH15 1,158,36
BH15 2,73,36
BH15 3,82,36
BH15 4,102,36
BH15 9,8,36
BH16 5,102,36
BH16 6,49,36
BH17 0,24,36
BH17 7,54,36
BH17 8,33,36
BH17 9,61,36
BH18 8,37,36
BH18 9,24,36
BH19 1,35,36
BH19 2,17,36
BH19 3,13,36
BH19 9,0,36
BH2 5,204,36
BH2 6,90,36
BH20 4,48,36
BH20 5,29,36
BH20 6,26,36
BH20 7,25,36
BH20 9,0,36
BH21 1,63,36
BH21 2,35,36
BH21 3,69,36
BH21 4,27,36
BH21 5,28,36
BH21 6,13,36
BH21 7,19,36
BH21 8,6,36
BH21 9,0,36
BH22 0,26,36
BH22 2,0,36
BH22 8,92,36
BH22 9,61,36
BH23 1,86,36
BH23 2,80,36
BH23 3,71,36
BH23 4,68,36
BH23 5,68,36
BH23 6,20,36
BH23 7,49,36
BH23 8,31,36
BH23 9,0,36
BH24 1,115,36
BH24 2,67,36
BH24 3,81,36
BH24 4,17,36
BH24 9,0,36
BH25 5,104,36
BH25 6,92,36
BH25 7,39,36
BH25 9,0,36
BH3 7,56,36
BH31 6,44,36
BH31 7,12,36
BH4 0,0,36
BH4 8,76,36
BH4 9,84,36
BH5 1,112,36
BH5 2,63,36
BH6 3,98,36
BH6 4,32,36
BH6 5,78,36
BH7 6,88,36
BH7 7,37,36
BH8 0,65,36
BH8 8,166,36
BH8 9,132,36
BH9 1,74,36
BH9 2,82,36
BH9 3,46,36
BL0 0,25,36
BL0 9,0,36
BL1 1,0,36
BL1 2,0,36
BL1 3,0,36
BL1 4,1,36
BL1 5,0,36
BL1 6,0,36
BL1 7,0,36
BL1 8,0,36
BL1 9,0,36
BL2 1,0,36
BL2 2,0,36
BL2 3,0,36
BL2 4,0,36
BL2 5,0,36
BL2 6,0,36
BL3 1,0,36
BL3 2,0,36
BL3 3,0,36
BL3 4,0,36
BL3 5,0,36
BL3 6,2,36
BL4 0,0,36
BL4 7,0,36
BL4 8,0,36
BL4 9,0,36
BL5 1,0,36
BL5 2,0,36
BL5 3,0,36
BL6 4,0,36
BL6 5,1,36
BL6 6,0,36
BL6 7,6,36
BL6 9,0,36
BL7 0,36,36
BL7 8,7,36
BL7 9,0,36
BL8 1,0,36
BL8 2,0,36
BL8 3,0,36
BL8 4,4,36
BL8 9,0,36
BL9 0,0,36
BL9 5,0,36
BL9 6,5,36
BL9 7,0,36
BL9 8,0,36
BL9 9,0,36
BN1 1,293,36
BN1 2,174,36
BN1 3,129,36
BN1 4,253,36
BN1 5,47,36
BN1 6,114,36
BN1 7,78,36
BN1 8,73,36
BN1 9,61,36
BN10 7,42,36
BN10 8,51,36
BN10 9,0,36
BN11 1,54,36
BN11 2,50,36
BN11 3,108,36
BN11 4,64,36
BN11 5,25,36
BN11 9,0,36
BN12 4,41,36
BN12 5,33,36
BN12 6,45,36
BN12 9,0,36
BN13 1,31,36
BN13 2,50,36
BN13 3,63,36
BN14 0,25,36
BN14 7,47,36
BN14 8,46,36
BN14 9,37,36
BN15 0,53,36
BN15 5,0,36
BN15 8,41,36
BN15 9,45,36
BN16 1,16,36
BN16 2,33,36
BN16 3,51,36
BN16 4,57,36
BN16 9,0,36
BN17 5,140,36
BN17 6,81,36
BN17 7,85,36
BN18 0,112,36
BN18 8,0,36
BN18 9,60,36
BN2 0,73,36
BN2 1,230,36
BN2 3,108,36
BN2 4,116,36
BN2 5,174,36
BN2 6,40,36
BN2 7,45,36
BN2 8,27,36
BN2 9,91,36
BN20 0,6,36
BN20 7,74,36
BN20 8,62,36
BN20 9,19,36
BN21 1,52,36
BN21 2,95,36
BN21 3,203,36
BN21 4,90,36
BN21 9,0,36
BN22 0,49,36
BN22 7,71,36
BN22 8,64,36
BN22 9,92,36
