name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low,basis
B12,0.051338,0.170346,0.015270,0.085390,0.000106,0.010873,0.000037,0.002275,0.000023,0.000093,postcode
B13,0.046888,0.139025,0.018826,0.074984,0.003113,0.008002,0.000027,0.003192,0.000017,0.000068,postcode
B14,0.049743,0.138897,0.019701,0.064468,0.001345,0.014416,0.001302,0.005247,0.001293,0.001336,postcode
B15,0.042520,0.123114,0.024372,0.071398,0.002247,0.009131,0.002175,0.002358,0.002160,0.002233,postcode
B16,0.052752,0.168681,0.009335,0.102572,0.004346,0.021765,0.002157,0.006575,0.002142,0.002214,postcode
B17,0.045758,0.117699,0.016619,0.073170,0.003624,0.009317,0.001799,0.001949,0.001786,0.001846,postcode
B18,0.053109,0.161372,0.014236,0.074254,0.000114,0.018385,0.000040,0.006896,0.000024,0.000100,postcode
B19,0.065140,0.182173,0.033565,0.101120,0.006648,0.026739,0.000039,0.013297,0.000024,0.006634,postcode
B20,0.063453,0.159305,0.038920,0.097117,0.003730,0.025951,0.000033,0.009279,0.000020,0.001900,postcode
B21,0.051343,0.171788,0.030059,0.092857,0.004600,0.014066,0.000040,0.002474,0.000025,0.000101,postcode
B23,0.017075,0.096582,0.007870,0.044735,0.001292,0.006478,0.000022,0.000127,0.000014,0.000055,postcode
B24,0.032417,0.129704,0.012703,0.052168,0.000088,0.010760,0.000031,0.007038,0.000019,0.005223,postcode
B25,0.073701,0.187473,0.049652,0.112645,0.007598,0.030642,0.000067,0.015198,0.000041,0.000167,postcode
B26,0.044197,0.151225,0.019464,0.075792,0.001794,0.010705,0.001737,0.001883,0.000019,0.000077,postcode
B27,0.035971,0.109995,0.019018,0.059761,0.009166,0.023243,0.000041,0.011546,0.000025,0.006889,postcode
B28,0.053321,0.138764,0.020107,0.073605,0.000083,0.015030,0.000029,0.000168,0.000018,0.000073,postcode
B29,0.044595,0.124991,0.024107,0.066353,0.003791,0.006551,0.002507,0.002613,0.001256,0.002540,postcode
B30,0.024832,0.094363,0.005677,0.035690,0.000086,0.007122,0.000030,0.003506,0.000018,0.000075,postcode
B31,0.043240,0.095856,0.014217,0.054952,0.000911,0.007169,0.000016,0.001823,0.000010,0.000039,postcode
B32,0.057352,0.111788,0.029955,0.064725,0.000069,0.015071,0.000024,0.004149,0.000015,0.000060,postcode
B33,0.043648,0.122069,0.019571,0.066298,0.001535,0.012078,0.000026,0.004531,0.000016,0.002985,postcode
