name,sw_high,sw_low
ME7,0.06027,0.13943
ME8,0.07006,0.1598
ME9,0.0625,0.11919
ME10,0.11751,0.29821
ME11,0.1113,0.24609
ME12,0.10905,0.22206
ME13,0.07209,0.13029
ME14,0.04085,0.08201
ME15,0.04537,0.10564
ME16,0.06472,0.14509
ME17,0.05536,0.09778
ME18,0.0627,0.11871
ME19,0.04346,0.09728
ME20,0.08271,0.19391
MK1,0.22852,0.41139
MK2,0.15574,0.30453
MK3,0.13318,0.24987
MK4,0.12507,0.22807
MK5,0.15766,0.26549
MK6,0.18763,0.33491
MK7,0.18865,0.33953
MK8,0.14774,0.24607
MK9,0.17568,0.31055
MK10,0.22102,0.39131
MK11,0.15104,0.28674
MK12,0.16815,0.32209
MK13,0.15526,0.27417
MK14,0.1804,0.32738
MK15,0.2258,0.43264
MK16,0.09547,0.18822
MK17,0.07855,0.16446
MK18,0.10881,0.19964
MK19,0.10002,0.17456
MK40,0.1239,0.30053
MK41,0.12895,0.25359
MK42,0.18817,0.38167
MK43,0.09743,0.19008
MK44,0.1022,0.19843
MK45,0.10245,0.20874
MK46,0.06924,0.13248
ML1,0.0,0.0
ML2,0.0,0.0
ML3,0.0,0.0
ML4,0.0,0.0
ML5,0.0,0.0
ML6,0.0,0.0
ML7,0.0,0.0
ML8,0.0,0.0
ML9,0.0,0.0
ML10,0.0,0.0
ML11,0.0,0.0
ML12,0.0,0.0
N1,0.30822,0.52144
N1C,0.34802,0.69323
N2,0.18624,0.31823
N3,0.16379,0.35023
N4,0.32148,0.57244
N5,0.21926,0.3886
N6,0.14392,0.27718
N7,0.35273,0.56819
N8,0.28604,0.51023
N9,0.15964,0.42702
N10,0.17733,0.37012
N11,0.23064,0.38885
N12,0.16993,0.3537
N13,0.22049,0.38035
N14,0.13394,0.26082
N15,0.40573,0.60947
N16,0.46997,0.66714
N17,0.35678,0.54149
N18,0.19817,0.43956
N19,0.27232,0.44677
N20,0.14208,0.30537
N21,0.1429,0.26883
N22,0.29466,0.52202
NE1,0.17061,0.40298
NE2,0.14508,0.27205
NE3,0.14802,0.28083
NE4,0.11466,0.26071
NE5,0.11548,0.22804
NE6,0.1272,0.28576
NE7,0.13049,0.28997
NE8,0.10904,0.26999
NE9,0.04729,0.13967
NE10,0.11382,0.2465
NE11,0.11935,0.25879
NE12,0.19249,0.3441
NE13,0.14208,0.24015
NE15,0.0908,0.18454
NE16,0.07825,0.16156
NE17,0.07047,0.14238
NE18,0.10651,0.18638
NE19,0.07621,0.18301
NE20,0.08969,0.16241
NE21,0.07811,0.18212
NE22,0.10753,0.19447
NE23,0.1373,0.24903
NE24,0.0867,0.16511
NE25,0.1686,0.28786
NE26,0.05783,0.10439
NE27,0.17237,0.28789
NE28,0.16065,0.3046
NE29,0.12914,0.31555
NE30,0.06767,0.135
NE31,0.1098,0.31151
NE32,0.11922,0.30325
NE33,0.06219,0.16608
NE34,0.10083,0.25424
NE35,0.13399,0.34987
NE36,0.13551,0.22495
NE37,0.10676,0.22502
NE38,0.12845,0.26331
NE39,0.08538,0.15598
NE40,0.04584,0.09958
NE41,0.0815,0.14494
NE42,0.08283,0.17903
NE43,0.06146,0.12008
NE44,0.07064,0.13222
NE45,0.07429,0.14936
NE46,0.06675,0.12766
NE47,0.08597,0.15622
NE48,0.08253,0.19845
NE49,0.10133,0.17712
NE61,0.08555,0.15368
NE62,0.09843,0.17259
NE63,0.11988,0.21949
NE64,0.02582,0.04869
NE65,0.05939,0.12269
NE66,0.06183,0.1202
NE67,0.08818,0.15983
NE68,0.03307,0.06119
NE69,0.03979,0.07561
NE70,0.10008,0.20135
NE71,0.06092,0.14346
NG1,0.14692,0.40639
NG2,0.13068,0.38239
NG3,0.06403,0.17206
NG4,0.09091,0.22684
NG5,0.05622,0.14515
NG6,0.07573,0.19999
NG7,0.12635,0.36772
NG8,0.07981,0.279
NG9,0.09378,0.24831
NG10,0.11537,0.31242
NG11,0.12875,0.27634
NG12,0.10279,0.22455
NG13,0.16055,0.29547
NG14,0.06845,0.15751
NG15,0.05057,0.11768
NG16,0.08024,0.16672
NG17,0.06801,0.14597
NG18,0.05479,0.13132
NG19,0.04168,0.09248
NG20,0.03226,0.07238
NG21,0.03232,0.0699
NG22,0.06323,0.12835
NG23,0.1297,0.25375
NG24,0.14175,0.28792
NG25,0.06922,0.15376
NG31,0.06503,0.14221
NG32,0.09917,0.18146
NG33,0.05117,0.09892
NG34,0.12488,0.22931
NG90,0.12751,0.46504
NN1,0.18359,0.33114
NN2,0.07053,0.1462
NN3,0.07262,0.1563
NN4,0.17045,0.30712
NN5,0.13832,0.25836
NN6,0.0788,0.14175
NN7,0.08898,0.1564
NN8,0.12948,0.22032
NN9,0.06798,0.13502
NN10,0.08627,0.17327
NN11,0.1049,0.17552
NN12,0.08692,0.14838
NN13,0.05892,0.10317
NN14,0.07159,0.13502
NN15,0.09682,0.17584
NN16,0.1147,0.19312
NN17,0.09174,0.18353
NN18,0.13191,0.24733
NN29,0.05324,0.10897
NP4,0.0,0.0
NP7,0.00083,0.00159
NP8,0.0,0.0
NP10,0.0,0.0
NP11,0.0,0.0
NP12,0.0,0.0
NP13,0.0,0.0
NP15,0.0,0.0
NP16,0.00841,0.01724
NP18,0.0,0.0
NP19,0.0,0.0
NP20,0.0,0.0
NP22,0.0,0.0
NP23,0.0,0.0
NP24,0.0,0.0
NP25,0.00252,0.00489
NP26,0.00013,0.00032
NP44,0.0,0.0
NR1,0.12036,0.24477
NR2,0.14442,0.28846
NR3,0.11895,0.26205
NR4,0.07674,0.15673
NR5,0.08235,0.16971
NR6,0.09396,0.19989
NR7,0.07888,0.20912
NR8,0.04937,0.12114
NR9,0.07309,0.13002
NR10,0.04601,0.08958
NR11,0.03171,0.05981
NR12,0.09267,0.16783
NR13,0.08552,0.16892
NR14,0.08244,0.14622
NR15,0.09986,0.16271
NR16,0.08407,0.15205
NR17,0.09087,0.15741
NR18,0.09698,0.16185
NR19,0.08895,0.15678
NR20,0.07493,0.12994
NR21,0.04317,0.08199
NR22,0.01775,0.04169
NR23,0.022,0.07228
NR24,0.03511,0.06397
NR25,0.02066,0.05645
NR26,0.01778,0.0466
NR27,0.01593,0.03814
NR28,0.04595,0.09009
NR29,0.06084,0.14077
NR30,0.06528,0.14855
NR31,0.06988,0.16297
NR32,0.0483,0.10506
NR33,0.0572,0.11703
NR34,0.11721,0.19502
NR35,0.11808,0.19571
NW1,0.24997,0.47172
NW2,0.26364,0.42508
NW3,0.14512,0.31787
NW4,0.21964,0.3772
NW5,0.2754,0.50629
NW6,0.27808,0.53905
NW7,0.17896,0.32555
NW8,0.13022,0.47405
NW9,0.23823,0.3815
NW10,0.29164,0.48551
NW11,0.2836,0.44477
OL1,0.08992,0.20023
OL2,0.09348,0.18032
OL3,0.10401,0.20165
OL4,0.06163,0.13984
OL5,0.05987,0.13651
OL6,0.12484,0.24621
OL7,0.18241,0.33661
OL8,0.14843,0.29429
OL9,0.16393,0.34671
OL10,0.106,0.197
OL11,0.08223,0.1684
OL12,0.10888,0.17965
OL13,0.06993,0.13171
OL14,0.09743,0.19763
OL15,0.1357,0.20928
OL16,0.11003,0.18854
OX1,0.09054,0.16776
OX2,0.08306,0.1701
OX3,0.11416,0.21437
OX4,0.1839,0.31265
OX5,0.11145,0.20244
OX7,0.0378,0.06635
OX9,0.13558,0.22495
OX10,0.04572,0.10702
OX11,0.05697,0.11636
OX12,0.05985,0.10326
OX13,0.07794,0.14834
OX14,0.07923,0.17173
OX15,0.04492,0.08086
OX16,0.14964,0.26178
OX17,0.08795,0.14782
OX18,0.05899,0.1173
OX20,0.02239,0.04253
OX25,0.11676,0.18899
OX26,0.15228,0.24977
OX27,0.09005,0.14403
OX28,0.09037,0.18729
OX29,0.06663,0.1284
OX33,0.10523,0.18981
OX39,0.04527,0.09032
OX44,0.0781,0.13521
OX49,0.02184,0.04708
PA1,0.0,0.0
PA2,0.0,0.0
PA3,0.0,0.0
PA4,0.0,0.0
PA5,0.0,0.0
PA6,0.0,0.0
PA7,0.0,0.0
PA8,0.0,0.0
PA9,0.0,0.0
PA10,0.0,0.0
PA11,0.0,0.0
PA12,0.0,0.0
PA13,0.0,0.0
PA14,0.0,0.0
PA15,0.0,0.0
PA16,0.0,0.0
PA17,0.0,0.0
PA18,0.0,0.0
PA19,0.0,0.0
PA20,0.0,0.0
PA21,0.0,0.0
PA22,0.0,0.0
PA23,0.0,0.0
PA24,0.0,0.0
PA25,0.0,0.0
PA26,0.0,0.0
PA27,0.0,0.0
PA28,0.0,0.0
PA29,0.0,0.0
PA30,0.0,0.0
PA31,0.0,0.0
PA32,0.0,0.0
PA33,0.0,0.0
PA34,0.0,0.0
PA35,0.0,0.0
PA36,0.0,0.0
PA37,0.0,0.0
PA38,0.0,0.0
PA41,0.0,0.0
PA42,0.0,0.0
PA43,0.0,0.0
PA44,0.0,0.0
PA45,0.0,0.0
PA46,0.0,0.0
PA47,0.0,0.0
PA48,0.0,0.0
PA49,0.0,0.0
PA60,0.0,0.0
PA61,0.0,0.0
PA62,0.0,0.0
PA63,0.0,0.0
PA64,0.0,0.0
PA65,0.0,0.0
PA66,0.0,0.0
PA67,0.0,0.0
PA68,0.0,0.0
PA69,0.0,0.0
PA70,0.0,0.0
PA71,0.0,0.0
PA72,0.0,0.0
PA73,0.0,0.0
PA74,0.0,0.0
PA75,0.0,0.0
PA76,0.0,0.0
PA77,0.0,0.0
PA78,0.0,0.0
PA80,0.0,0.0
PE1,0.16499,0.37486
PE2,0.20637,0.35316
PE3,0.13113,0.27981
PE4,0.11825,0.25482
PE5,0.06397,0.13182
PE6,0.11355,0.25689
PE7,0.20895,0.36133
PE8,0.07117,0.13995
PE9,0.05372,0.10918
PE10,0.11829,0.2341
PE11,0.11655,0.27566
PE12,0.09949,0.23579
PE13,0.13776,0.28077
PE14,0.114,0.2554
PE15,0.21831,0.37595
PE16,0.14972,0.32056
PE19,0.11866,0.22778
PE20,0.12248,0.2584
PE21,0.12386,0.30666
PE22,0.10026,0.21609
PE23,0.11421,0.19201
PE24,0.07572,0.20428
PE25,0.04828,0.15577
PE26,0.20008,0.36236
PE27,0.15669,0.30169
PE28,0.15194,0.27077
PE29,0.16341,0.2915
PE30,0.09874,0.24582
PE31,0.02941,0.07521
PE32,0.05724,0.11182
PE33,0.1121,0.20681
PE34,0.08525,0.20487
PE35,0.02914,0.07126
PE36,0.01689,0.0491
PE37,0.03014,0.06996
PE38,0.17828,0.32999
PH1,0.0,0.0
PH2,0.0,0.0
PH3,0.0,0.0
PH4,0.0,0.0
PH5,0.0,0.0
PH6,0.0,0.0
PH7,0.0,0.0
PH8,0.0,0.0
PH9,0.0,0.0
PH10,0.0,0.0
PH11,0.0,0.0
PH12,0.0,0.0
PH13,0.0,0.0
PH14,0.0,0.0
PH15,0.0,0.0
PH16,0.0,0.0
PH17,0.0,0.0
PH18,0.0,0.0
PH19,0.0,0.0
PH20,0.0,0.0
PH21,0.0,0.0
PH22,0.0,0.0
PH23,0.0,0.0
PH24,0.0,0.0
PH25,0.0,0.0
PH26,0.0,0.0
PH30,0.0,0.0
PH31,0.0,0.0
PH32,0.0,0.0
PH33,0.0,0.0
PH34,0.0,0.0
PH35,0.0,0.0
PH36,0.0,0.0
