name,hh_total,hh_depchild
B26 2,4635.36,1578.24
B26 3,4655.47,1333.19
B27 6,4039.29,1208.44
B27 7,5907.36,2200.42
B28 0,5527.34,1904.28
B28 1,99.63,43.95
B28 8,3378.87,1391.1
B28 9,2749.16,1070.51
B29 4,2940.74,950.57
B29 5,4057.81,1422.41
B29 6,5061.23,1072.1
B29 7,3699.01,783.94
B29 9,50.38,11.24
B3 1,1804.58,89.82
B3 2,141.0,17.0
B3 3,146.5,9.07
B30 1,4521.48,1218.69
B30 2,4759.47,1291.57
B30 3,3715.46,1064.64
B30 9,139.02,25.66
B31 1,4377.35,1440.44
B31 2,6127.31,1796.86
B31 3,4964.83,1454.55
B31 4,4574.37,1256.78
B31 5,4141.63,1567.78
B31 9,217.54,65.98
B32 1,3594.54,1143.11
B32 2,5430.86,1895.11
B32 3,4752.71,1528.83
B32 4,2496.87,711.47
B32 9,284.24,85.49
B33 0,4921.63,1608.99
B33 3,210.07,62.05
B33 8,4748.38,1837.22
B33 9,4681.14,1956.47
B34 6,4227.09,1566.43
B34 7,3399.28,1195.0
B35 6,1854.51,544.27
B35 7,2174.46,757.85
B35 9,74.07,23.47
B36 0,5453.8,1761.94
B36 8,4222.67,1940.01
B36 9,3981.73,1081.63
B37 5,4629.07,1535.25
B37 6,5098.1,1785.2
B37 7,5667.64,1756.58
B37 9,180.0,58.93
B38 0,720.76,198.52
B38 8,3649.99,1069.15
B38 9,4268.08,1453.47
B4 6,621.8,56.58
B4 7,502.42,71.6
B40 1,107.33,32.72
B42 1,4085.57,1451.6
B42 2,5526.01,1892.9
B42 9,232.47,67.76
B43 5,4239.28,1321.56
B43 6,2866.82,815.21
B43 7,4876.87,1522.1
B44 0,5923.24,2146.02
B44 8,4204.42,1289.55
B44 9,4616.33,1539.54
B45 0,3135.6,950.77
B45 5,189.74,55.4
B45 8,5150.48,1590.03
B45 9,5433.26,1645.8
B46 1,3108.21,849.81
B46 2,1083.06,266.15
B46 3,1325.58,302.45
B46 9,149.45,30.62
B47 5,2779.5,742.54
B47 6,1485.83,418.97
B48 7,2509.47,686.74
B49 5,1917.2,388.33
B49 6,2819.97,654.61
B49 9,83.39,13.19
B5 4,814.89,68.91
B5 5,313.5,89.48
B5 6,681.81,136.36
B5 7,3922.18,1085.4
B50 4,3001.58,881.34
B6 4,509.21,185.01
B6 5,1292.07,485.54
B6 6,2938.81,1486.92
B6 7,1415.2,607.33
B6 9,11.98,5.32
B60 1,2498.05,646.84
B60 2,2997.94,1019.75
B60 3,3639.39,1106.0
B60 4,1652.27,450.44
B60 9,787.39,142.26
B61 0,5153.58,1519.42
B61 7,2325.8,694.97
B61 8,2984.73,801.62
B61 9,1137.2,272.08
B62 0,2532.01,696.44
B62 2,238.06,77.2
B62 8,2927.63,830.14
B62 9,4688.13,1373.47
B63 1,2258.88,620.45
B63 2,5352.76,1491.25
B63 3,3866.79,923.48
B63 4,4446.69,1274.47
B64 5,2304.66,707.9
B64 6,2880.12,921.9
B64 7,2734.76,822.8
B65 0,2835.71,774.23
B65 8,3112.98,1043.97
B65 9,4308.93,1368.48
B66 1,1584.75,767.08
B66 2,1580.13,790.3
B66 3,2682.32,1133.85
B66 4,3533.87,1512.72
B67 5,4015.34,1249.27
B67 6,3819.75,1534.27
B67 7,2982.87,1205.06
B67 9,115.1,30.93
B68 0,3932.65,1230.71
B68 8,3955.03,1301.46
B68 9,4788.23,1645.55
B69 1,5982.25,2152.04
B69 2,2236.18,809.89
B69 3,1669.73,662.47
B69 4,2386.46,789.08
B69 9,264.0,71.24
B7 4,1275.5,528.12
B7 5,1959.49,853.37
B70 0,3138.26,1174.19
B70 1,187.71,71.54
B70 6,2634.37,856.66
B70 7,1597.74,589.15
B70 8,1856.64,691.34
B70 9,2898.57,1052.8
B71 1,3442.08,1251.49
B71 2,3881.29,1390.17
B71 3,3937.49,1156.31
B71 4,1705.79,504.29
B72 1,4227.26,1125.41
B73 5,5376.24,1414.65
B73 6,4247.82,1201.25
B73 9,315.7,72.25
B74 2,4025.54,1103.63
B74 3,4266.15,1160.09
B74 4,4647.0,1388.24
B75 5,3735.79,1295.96
B75 6,3374.03,1043.05
B75 7,4088.92,1351.86
B76 0,221.51,55.69
B76 1,5070.35,1336.06
B76 2,2585.66,695.82
B76 9,1294.96,339.25
B77 1,4282.44,1217.8
B77 2,5343.09,1734.82
B77 3,3863.64,1076.78
B77 4,5487.59,1798.3
B77 5,3918.49,1274.2
B77 9,467.59,110.62
B78 1,4217.37,1224.11
B78 2,2148.87,544.58
B78 3,4230.14,1182.54
B79 0,1961.85,536.78
B79 7,3123.44,641.32
B79 8,4583.88,1374.42
B79 9,949.97,266.33
B8 1,3039.79,1633.09
B8 2,4983.03,2606.22
B8 3,4407.5,2474.37
B80 7,3116.54,819.32
B9 4,1269.09,594.9
B9 5,5599.49,3071.36
B9 9,332.0,200.4
B90 1,5399.44,1555.93
B90 2,4719.37,1380.56
B90 3,4623.11,1500.94
B90 4,5158.14,1571.05
B90 8,408.44,135.79
B90 9,136.0,51.43
B91 1,4275.82,1364.94
B91 2,4677.23,1308.81
B91 3,4063.88,1111.59
B91 9,648.08,162.15
B92 0,1874.69,516.06
B92 7,4916.96,1361.31
B92 8,5138.95,1458.15
B92 9,3539.42,1074.74
B93 0,1674.8,448.45
B93 3,185.82,43.68
B93 8,3213.06,1029.24
B93 9,3198.31,934.78
B94 5,1530.95,396.97
B94 6,1778.39,522.86
B95 5,2169.24,470.44
B95 6,1004.17,168.89
B95 8,64.82,11.29
B96 6,2394.75,602.73
B97 4,2533.52,641.72
B97 5,7336.7,1968.69
B97 6,4502.86,1551.3
B97 9,771.52,245.71
B98 0,6069.24,1772.09
B98 7,7821.73,2514.69
B98 8,3389.45,1027.69
B98 9,2917.81,835.46
B99 1,52.27,23.23
BA1 0,589.12,45.78
BA1 1,942.66,79.99
BA1 2,3095.52,403.18
BA1 3,3234.2,822.14
BA1 4,2271.48,668.34
BA1 5,2388.89,506.62
BA1 6,3651.74,946.22
BA1 7,2392.42,683.11
BA1 8,449.22,117.26
BA1 9,406.49,120.99
BA10 0,1510.89,416.33
BA11 1,3356.34,1058.96
BA11 2,4532.12,1135.32
BA11 3,2150.92,628.37
BA11 4,2529.16,686.7
BA11 5,1711.28,551.64
BA11 6,786.82,198.35
BA11 9,134.47,41.76
BA12 0,2437.97,657.21
BA12 2,112.56,17.32
BA12 6,2053.19,373.63
BA12 7,1626.63,357.55
BA12 8,4046.68,955.61
BA12 9,2976.64,622.93
BA13 2,203.4,66.04
BA13 3,6142.39,1726.41
BA13 4,2785.4,684.41
BA13 9,83.4,27.36
BA14 0,5254.5,1324.64
BA14 4,553.72,109.55
BA14 6,3296.34,1011.71
BA14 7,6502.75,2093.91
BA14 8,3132.39,816.43
BA14 9,3812.64,1041.58
BA15 1,4331.24,1032.97
BA15 2,1879.27,452.95
BA15 5,85.98,17.85
BA16 0,4706.76,1253.9
BA16 9,1052.48,274.71
BA2 0,1972.04,478.33
BA2 1,5196.48,1360.09
BA2 2,4679.32,1271.18
BA2 3,4270.04,682.23
BA2 4,2280.84,519.58
BA2 5,3371.98,1016.42
