district,cwd_yr_clim_mm,smd_jja_clim_mm
B34 6,263.17,117.84
B34 7,263.02,118.11
B35 6,286.93,125.12
B35 7,278.55,122.63
B35 9,279.82,122.96
B36 0,268.9,120.64
B36 8,263.27,118.54
B36 9,266.08,119.6
B37 5,279.01,123.72
B37 6,274.13,122.22
B37 7,275.88,122.48
B37 9,280.09,123.93
B38 0,230.11,106.59
B38 8,226.02,105.84
B38 9,217.95,102.38
B4 6,246.37,113.84
B4 7,246.37,113.84
B40 1,280.52,123.72
B42 1,259.83,117.5
B42 2,266.67,119.54
B43 5,263.82,119.72
B43 6,262.78,119.42
B43 7,254.9,115.58
B44 0,264.14,117.46
B44 8,261.1,115.98
B44 9,249.94,110.24
B45 0,231.6,110.77
B45 5,214.38,104.28
B45 8,229.95,108.09
B45 9,219.28,106.56
B46 1,286.07,124.47
B46 2,284.86,124.08
B46 3,279.51,123.17
B46 9,279.03,123.34
B47 5,246.0,112.02
B47 6,258.93,115.57
B48 7,260.12,116.74
B49 5,292.46,125.54
B49 6,301.3,127.16
B49 9,308.04,129.07
B5 4,257.84,117.11
B5 5,257.82,117.1
B5 6,257.84,117.11
B5 7,253.02,114.21
B50 4,331.04,134.32
B6 4,258.18,117.4
B6 5,252.45,115.6
B6 6,261.78,118.19
B6 7,266.04,119.34
B6 9,258.17,117.4
B60 1,251.61,115.0
B60 2,281.49,122.56
B60 3,279.44,121.91
B60 4,294.99,126.22
B60 9,267.41,119.08
B61 0,262.38,119.21
B61 7,298.07,126.8
B61 8,290.51,124.93
B61 9,283.51,124.35
B62 0,242.8,114.87
B62 2,262.36,119.02
B62 8,253.78,116.71
B62 9,241.05,113.2
B63 1,268.17,121.73
B63 2,283.14,124.46
B63 3,283.16,123.55
B63 4,279.88,123.52
B64 5,275.41,123.14
B64 6,257.37,118.17
B64 7,277.13,122.79
B65 0,250.6,116.25
B65 8,224.26,107.48
B65 9,228.55,109.11
B66 1,244.27,113.85
B66 2,237.21,111.65
B66 3,235.88,110.95
B66 4,222.74,105.97
B67 5,212.22,101.95
B67 6,221.03,105.49
B67 7,234.19,110.32
B67 9,235.88,110.95
B68 0,219.96,105.49
B68 8,242.15,113.39
B68 9,228.34,108.39
B69 1,208.68,101.03
B69 2,237.72,111.25
B69 3,241.82,112.26
B69 4,251.81,116.26
B69 9,250.48,115.75
B7 4,256.67,116.85
B7 5,249.01,113.76
B70 0,246.7,114.59
B70 1,247.57,115.15
B70 6,237.76,111.83
B70 7,247.59,115.15
B70 8,244.67,114.08
B70 9,244.22,113.6
B71 1,250.5,115.89
B71 2,247.96,114.85
B71 3,259.38,118.35
B71 4,245.08,114.16
B72 1,270.35,119.62
B73 5,259.76,116.95
B73 6,266.35,118.36
B73 9,269.42,118.05
B74 2,257.41,115.7
B74 3,262.94,117.56
B74 4,267.91,118.44
B75 5,264.38,117.76
B75 6,265.97,118.1
B75 7,270.46,119.32
B76 0,293.77,125.38
B76 1,271.44,120.59
B76 2,271.21,120.09
B76 9,286.99,124.05
B77 1,305.48,128.09
B77 2,299.82,127.23
B77 3,307.26,129.06
B77 4,290.09,125.7
B77 5,289.73,125.36
B77 9,305.17,128.03
B78 1,295.35,127.06
B78 2,293.72,125.02
B78 3,296.38,125.94
B79 0,300.94,128.26
B79 7,312.53,129.89
B79 8,298.14,127.22
B79 9,302.87,128.52
B8 1,255.46,116.12
B8 2,257.11,116.74
B8 3,250.25,114.67
B80 7,281.72,122.64
B9 4,254.9,116.37
B9 5,260.07,118.4
B9 9,255.22,116.78
B90 1,255.37,115.35
