district,cwd_yr_clim_mm,smd_jja_clim_mm
DY4 8,241.43,113.46
DY4 9,241.24,113.44
DY5 1,278.84,124.1
DY5 2,279.43,123.57
DY5 3,278.95,124.31
DY5 4,273.19,123.75
DY5 9,271.6,122.5
DY6 0,301.89,129.63
DY6 6,291.71,127.36
DY6 7,294.43,128.43
DY6 8,279.37,125.37
DY6 9,288.48,126.56
DY7 5,282.09,124.19
DY7 6,293.12,127.36
DY8 1,293.27,126.79
DY8 2,286.32,125.23
DY8 3,285.49,125.36
DY8 4,295.46,128.47
DY8 5,290.57,127.14
DY8 9,298.79,128.09
DY9 0,286.58,125.84
DY9 7,290.55,125.87
DY9 8,295.56,126.77
DY9 9,261.61,120.58
E1 0,359.9,138.69
E1 1,358.38,138.55
E1 2,358.38,138.55
E1 3,359.88,138.69
E1 4,356.18,138.23
E1 5,358.7,138.68
E1 6,353.63,137.72
E1 7,353.64,137.72
E1 8,352.6,137.55
E10 5,369.36,140.59
E10 6,365.95,139.82
E10 7,374.19,141.11
E10 9,364.3,139.79
E11 1,362.27,139.33
E11 2,363.75,139.24
E11 3,368.87,140.21
E11 4,367.35,140.11
E11 9,367.34,140.11
E12 5,371.49,140.22
E12 6,373.57,140.39
E12 9,373.98,140.59
E13 0,374.63,140.69
E13 3,374.63,140.69
E13 8,376.2,140.75
E13 9,378.77,141.06
E14 0,374.01,140.21
E14 1,364.9,139.25
E14 2,367.24,138.69
E14 3,379.64,140.65
E14 4,367.31,138.92
E14 5,367.31,138.92
E14 6,370.62,139.87
E14 7,364.89,139.25
E14 8,368.66,139.46
E14 9,367.42,138.66
E15 1,371.82,140.63
E15 2,369.24,140.39
E15 3,374.25,140.57
E15 4,370.51,140.31
E15 9,373.18,140.49
E16 1,380.77,141.03
E16 2,387.29,141.8
E16 3,382.25,141.35
E16 4,376.8,140.79
E16 9,381.9,141.28
E17 0,355.09,138.25
E17 3,369.64,140.11
E17 4,363.42,139.27
E17 5,370.95,140.3
E17 6,369.66,140.23
E17 7,372.65,140.25
E17 8,367.02,139.93
E17 9,365.34,139.78
E18 1,360.52,137.97
E18 2,351.76,137.38
E18 9,360.52,137.97
E1W 1,352.62,137.55
E1W 2,352.62,137.55
E1W 3,361.71,138.71
E2 0,356.16,138.22
E2 2,356.89,138.51
E2 6,358.68,138.68
E2 7,358.67,138.68
E2 8,359.76,138.84
E2 9,356.9,138.51
E20 1,372.61,140.69
E3 2,368.39,140.17
E3 3,372.64,140.25
E3 4,361.12,138.94
E3 5,354.37,138.4
E3 9,354.38,138.4
E4 0,340.57,134.54
E4 6,342.55,135.04
E4 7,343.17,134.92
E4 8,365.35,139.48
E4 9,355.54,137.7
E5 0,363.07,139.88
E5 5,362.93,139.68
E5 8,362.8,139.73
E5 9,369.6,140.57
E6 1,375.37,140.7
E6 2,378.41,140.58
E6 3,377.42,140.72
E6 5,384.68,141.59
E6 6,383.45,141.21
E6 7,389.12,141.79
E6 9,374.31,140.33
E7 0,373.44,140.72
E7 7,373.46,140.72
E7 8,374.63,140.71
E7 9,373.25,140.65
E8 1,359.06,139.15
E8 2,358.6,139.13
E8 3,359.09,139.16
E8 4,356.86,138.51
E9 5,356.11,138.83
E9 6,353.56,138.38
E9 7,353.58,137.81
EC1A 1,349.01,136.45
EC1A 2,349.01,136.45
EC1A 4,349.0,136.45
EC1A 7,349.01,136.45
EC1A 9,349.0,136.45
EC1M 3,354.37,136.57
EC1M 4,354.37,136.57
EC1M 5,354.36,136.57
EC1M 6,354.37,136.57
EC1M 7,357.17,137.62
EC1N 2,341.4,134.56
EC1N 6,354.38,136.58
EC1N 7,354.37,136.57
EC1N 8,354.38,136.57
EC1R 0,354.34,136.57
EC1R 1,354.33,136.57
EC1R 3,354.35,136.57
EC1R 4,354.34,136.57
EC1R 5,354.36,136.57
EC1V 0,354.34,136.57
EC1V 1,345.84,135.56
EC1V 2,357.14,137.62
EC1V 3,357.14,137.62
EC1V 4,354.34,136.57
EC1V 7,354.33,136.57
EC1V 8,357.14,137.62
EC1V 9,357.15,137.62
EC1Y 0,357.17,137.62
EC1Y 1,357.15,137.62
EC1Y 2,357.17,137.62
EC1Y 4,349.0,136.45
EC1Y 8,357.17,137.62
EC2A 1,348.99,136.45
EC2A 2,353.63,137.72
EC2A 3,357.16,137.62
EC2A 4,357.16,137.62
EC2M 1,353.64,137.72
EC2M 2,353.63,137.72
EC2M 3,353.63,137.72
EC2M 4,353.64,137.72
EC2M 5,349.01,136.45
EC2M 6,349.0,136.45
EC2M 7,353.64,137.72
EC2N 1,353.65,137.72
EC2N 2,349.01,136.45
EC2N 3,353.65,137.72
EC2N 4,353.65,137.72
EC2R 5,349.01,136.45
EC2R 6,349.01,136.45
EC2R 7,349.01,136.45
EC2R 8,349.02,136.45
EC2V 5,349.01,136.45
EC2V 6,349.02,136.45
EC2V 7,349.01,136.45
EC2V 8,349.02,136.45
EC2Y 5,349.0,136.45
EC2Y 8,349.0,136.45
EC2Y 9,349.0,136.45
EC3A 1,353.65,137.72
EC3A 2,353.65,137.72
EC3A 3,353.65,137.72
EC3A 4,353.65,137.72
EC3A 5,353.65,137.72
EC3A 6,353.65,137.72
EC3A 7,353.65,137.72
EC3A 8,353.65,137.72
EC3M 1,361.43,138.94
EC3M 2,353.65,137.72
EC3M 3,361.43,138.94
EC3M 4,361.43,138.94
EC3M 5,353.66,137.72
EC3M 6,361.43,138.94
EC3M 7,353.65,137.72
EC3M 8,361.43,138.94
EC3N 1,353.66,137.72
EC3N 2,361.42,138.94
EC3N 3,361.42,138.94
EC3N 4,361.44,138.94
EC3R 5,361.44,138.94
EC3R 6,361.45,138.94
EC3R 7,361.43,138.94
EC3R 8,361.44,138.94
EC3V 0,349.02,136.45
EC3V 1,353.65,137.72
EC3V 3,349.02,136.45
EC3V 4,353.65,137.72
EC3V 9,349.02,136.45
EC4A 1,341.41,134.56
EC4A 2,357.32,137.9
EC4A 3,357.32,137.89
EC4A 4,357.32,137.89
EC4M 5,349.02,136.45
EC4M 6,349.02,136.45
EC4M 7,349.01,136.45
EC4M 8,349.02,136.45
EC4M 9,349.02,136.45
EC4N 1,349.02,136.45
EC4N 4,349.02,136.45
EC4N 5,349.03,136.45
EC4N 6,349.03,136.45
EC4N 7,349.03,136.45
EC4N 8,349.02,136.45
EC4R 0,349.03,136.45
EC4R 1,349.03,136.45
EC4R 2,349.03,136.45
EC4R 3,349.04,136.46
EC4R 9,361.43,138.94
EC4V 2,349.03,136.45
EC4V 3,357.34,137.9
EC4V 4,357.33,137.9
EC4V 5,349.02,136.45
EC4V 6,357.33,137.9
EC4Y 0,357.33,137.9
EC4Y 1,357.32,137.9
EC4Y 7,357.33,137.9
EC4Y 8,357.33,137.9
EC4Y 9,357.33,137.9
EH1 1,175.19,94.58
EH1 2,175.2,94.58
EH1 3,190.35,102.29
EH10 4,186.62,100.53
EH10 5,185.65,98.42
EH10 6,177.12,93.79
EH10 7,153.88,81.04
EH10 9,192.07,101.99
EH11 1,199.06,105.92
EH11 2,201.04,106.72
EH11 3,205.46,108.02
EH11 4,201.98,105.58
EH12 0,190.65,100.98
EH12 1,207.79,108.85
EH12 5,196.88,104.62
EH12 6,170.02,90.41
EH12 7,202.42,107.21
EH12 8,187.23,99.32
EH12 9,201.96,105.84
EH13 0,160.87,85.06
EH13 9,182.1,96.25
EH14 1,196.7,103.53
EH14 2,203.38,106.31
EH14 3,194.5,102.09
EH14 4,185.78,96.88
EH14 5,180.35,94.69
EH14 6,160.14,84.23
EH14 7,132.5,70.76
EH14 9,202.35,106.21
EH15 1,198.11,108.86
EH15 2,199.33,108.66
EH15 3,196.66,106.59
EH15 9,199.74,109.1
EH16 4,194.62,104.64
EH16 5,180.45,97.3
EH16 6,190.41,100.66
EH16 9,192.49,103.93
EH17 7,195.09,103.93
EH17 8,188.07,100.13
EH18 1,195.26,103.64
EH19 2,185.02,98.6
EH19 3,198.8,105.06
EH2 1,190.36,102.29
EH2 2,175.19,94.57
EH2 3,175.19,94.57
EH2 4,202.92,107.94
EH20 9,173.87,92.17
EH21 6,197.49,106.68
EH21 7,201.91,108.21
EH21 8,201.58,109.56
EH22 1,195.83,104.7
EH22 2,187.62,101.75
EH22 3,204.95,108.15
EH22 4,179.88,93.98
EH22 5,157.19,82.98
EH22 9,190.64,101.36
EH23 4,136.2,73.68
EH24 9,168.01,89.54
EH25 9,169.44,89.89
EH26 0,130.38,67.54
EH26 6,169.3,89.33
EH26 8,147.85,79.84
EH26 9,113.13,57.27
EH27 8,140.91,75.73
EH28 8,193.12,101.31
EH29 9,190.82,101.67
EH3 5,192.63,103.47
EH3 6,190.34,102.29
EH3 7,191.98,102.13
EH3 8,186.59,100.52
EH3 9,186.6,100.52
EH30 9,185.03,99.11
EH31 2,173.85,98.52
EH32 0,193.49,107.85
EH32 9,196.33,107.02
EH33 1,184.64,100.52
EH33 2,181.77,98.79
EH34 5,199.04,105.44
EH35 5,192.38,103.6
EH36 5,159.14,85.25
EH37 5,160.03,88.57
EH38 5,136.95,75.37
EH39 4,175.69,101.96
EH39 5,179.51,99.88
EH39 9,178.52,103.91
EH4 1,197.05,105.29
EH4 2,191.26,102.38
EH4 3,179.78,96.24
EH4 4,181.11,97.76
EH4 5,188.38,101.13
EH4 6,187.88,100.13
EH4 7,161.92,85.66
EH4 8,189.71,100.59
EH4 9,202.01,107.3
EH40 3,201.52,107.39
EH41 3,191.45,101.85
EH41 4,166.81,88.43
EH41 9,216.67,111.48
EH42 1,164.25,87.6
EH43 6,140.9,76.18
EH44 6,118.62,59.42
EH45 8,129.57,70.19
EH45 9,116.19,59.33
EH46 7,123.95,66.87
EH47 0,138.43,77.7
EH47 7,168.2,92.33
EH47 8,140.84,78.49
EH47 9,117.82,63.45
EH48 1,158.48,86.88
EH48 2,161.65,90.22
EH48 3,139.9,78.76
EH48 4,152.19,84.81
EH48 9,164.79,90.29
EH49 6,159.51,88.15
EH49 7,172.03,95.53
EH49 9,176.54,97.36
EH5 1,184.98,99.98
EH5 2,186.9,100.89
EH5 3,185.16,100.23
EH51 0,170.44,94.34
EH51 1,191.03,105.99
EH51 9,176.52,98.35
EH52 1,167.9,93.25
EH52 5,204.76,110.46
EH52 6,175.67,97.45
EH53 0,179.14,98.75
EH54 0,188.68,104.36
EH54 5,196.72,108.39
EH54 6,178.77,98.77
EH54 7,177.34,97.42
EH54 8,168.95,93.09
EH54 9,160.06,87.83
EH55 8,121.07,65.02
EH6 4,185.71,101.0
EH6 5,194.75,106.0
EH6 6,185.67,100.98
EH6 7,188.34,104.66
EH6 8,188.15,103.99
EH7 4,197.86,106.5
EH7 5,188.26,103.07
EH7 6,190.42,105.82
EH7 9,191.53,106.26
EH8 7,186.54,102.7
EH8 8,179.72,98.25
EH8 9,176.98,96.31
EH9 1,183.21,99.39
EH9 2,191.32,103.07
EH9 3,192.86,102.48
EH9 8,188.47,101.49
EN1 1,349.53,137.01
EN1 2,350.67,137.43
EN1 3,343.16,135.94
EN1 4,346.5,136.31
EN1 9,348.67,137.07
EN10 6,377.0,139.81
EN10 7,353.6,136.46
EN11 0,391.67,140.93
EN11 1,390.08,141.64
EN11 8,368.37,139.06
EN11 9,362.07,137.24
EN2 0,338.15,134.52
EN2 6,348.73,137.07
EN2 7,339.94,135.61
EN2 8,334.01,133.72
EN2 9,334.95,134.0
EN3 4,354.82,137.58
EN3 5,350.14,136.73
EN3 6,356.94,137.29
EN3 7,350.46,136.35
EN4 0,325.88,132.54
EN4 8,318.97,132.13
EN4 9,321.86,132.05
EN5 1,327.42,132.94
EN5 2,332.41,133.69
EN5 3,331.64,132.89
EN5 4,325.27,132.54
EN5 5,335.45,133.84
EN5 9,327.42,132.94
EN6 1,330.84,133.3
EN6 2,333.79,133.84
EN6 3,333.14,133.39
EN6 4,342.98,135.18
EN6 5,324.66,132.39
EN6 9,336.36,134.19
EN7 5,338.6,134.37
EN7 6,344.39,134.96
EN8 0,365.62,138.1
EN8 1,359.56,137.73
EN8 7,370.28,139.73
EN8 8,361.13,138.16
EN8 9,366.08,138.55
EN9 1,374.94,140.01
EN9 2,362.3,138.21
EN9 3,366.81,138.25
EX1 1,299.12,124.09
EX1 2,293.12,123.1
EX1 3,298.99,124.52
EX1 4,291.5,123.08
EX1 9,299.12,124.09
EX10 0,205.2,100.34
EX10 1,243.36,116.61
EX10 8,220.5,109.02
EX10 9,216.09,106.34
EX11 1,252.02,114.73
EX12 2,228.28,108.24
EX12 3,186.33,92.91
EX12 4,225.95,108.01
EX12 9,246.03,114.38
EX13 5,233.88,106.27
EX13 7,242.45,108.93
EX13 8,233.86,108.49
EX13 9,276.5,119.2
EX14 0,234.01,106.76
EX14 1,239.73,109.09
EX14 2,220.96,102.15
EX14 3,235.88,109.02
EX14 4,197.64,95.53
EX14 9,216.82,100.38
EX15 1,259.51,115.8
EX15 2,242.35,111.79
EX15 3,215.1,102.39
EX15 9,281.74,121.83
EX16 0,275.03,120.2
EX16 4,241.73,110.05
EX16 5,257.15,114.88
EX16 6,261.88,116.38
EX16 7,219.05,104.12
EX16 8,205.23,99.74
EX16 9,187.56,93.61
EX17 1,274.49,120.89
EX17 2,281.54,122.54
EX17 3,285.5,123.45
EX17 4,231.96,109.64
EX17 5,246.46,114.54
EX17 6,226.11,109.05
EX17 9,284.45,122.45
EX18 7,198.62,98.51
EX19 8,190.9,96.5
EX2 0,327.49,129.49
EX2 4,327.74,129.95
EX2 5,315.0,127.55
EX2 6,318.53,127.86
EX2 7,318.83,127.91
EX2 8,324.1,128.94
EX2 9,282.28,120.89
EX20 1,133.11,68.79
EX20 2,189.98,96.46
EX20 3,190.43,96.94
EX20 4,128.22,64.23
EX20 9,169.41,86.93
EX21 5,173.82,89.33
EX22 6,182.4,91.92
EX22 7,154.09,76.27
EX22 9,183.99,92.4
EX23 0,154.38,82.05
EX23 8,166.2,89.08
EX23 9,127.45,62.42
EX24 6,214.87,100.42
EX3 0,314.38,127.58
EX31 1,205.93,105.34
EX31 2,194.64,100.09
EX31 3,183.94,94.67
EX31 4,120.3,57.06
EX32 0,170.61,87.12
EX32 2,212.02,108.05
EX32 7,125.81,57.95
EX32 8,201.35,102.76
EX32 9,212.03,108.05
EX33 1,151.87,79.49
EX33 2,168.41,88.34
EX34 0,114.06,55.24
EX34 4,118.67,60.91
EX34 7,105.19,49.82
EX34 8,107.07,50.1
EX34 9,112.85,55.76
EX35 6,101.89,48.59
EX36 3,128.04,61.87
EX36 4,176.1,90.36
EX36 9,187.28,97.42
EX37 9,192.43,97.35
EX38 7,181.19,92.6
EX38 8,176.59,88.43
EX38 9,205.29,101.95
EX39 1,191.44,99.95
EX39 2,110.03,58.05
EX39 3,181.54,94.54
EX39 4,193.39,99.11
EX39 5,146.93,75.81
EX39 6,113.04,53.95
EX39 9,205.58,102.8
EX4 0,293.14,123.74
EX4 1,296.33,123.73
EX4 2,255.6,115.01
EX4 3,316.26,127.89
EX4 4,280.1,120.28
EX4 5,278.27,120.0
EX4 6,292.33,122.92
EX4 7,289.52,122.31
EX4 8,292.77,123.13
EX4 9,264.28,115.88
EX5 1,274.08,120.58
EX5 2,277.12,120.97
EX5 3,287.55,123.01
EX5 4,263.99,116.38
EX5 5,274.29,120.1
EX5 7,298.67,126.24
EX6 6,241.51,112.67
EX6 7,238.3,109.74
EX6 8,273.71,119.28
EX7 0,231.39,108.41
EX7 7,253.98,116.99
EX7 9,254.93,117.24
EX8 1,292.18,126.73
EX8 2,265.54,121.39
EX8 3,290.16,125.79
EX8 4,261.32,120.02
EX8 5,252.59,117.14
EX8 9,261.92,119.76
EX9 6,232.73,113.46
EX9 7,236.66,113.67
EX9 9,229.06,112.22
FK1 1,154.23,85.85
FK1 2,135.82,74.89
FK1 3,127.77,69.94
FK1 4,154.92,86.02
FK1 5,142.64,79.48
FK1 9,154.64,85.97
FK10 1,178.57,99.1
FK10 2,189.45,105.58
FK10 3,159.29,88.03
FK10 4,173.3,96.14
FK10 9,174.56,97.38
FK11 7,138.08,74.08
FK12 5,90.63,40.54
FK13 6,99.13,46.13
FK14 7,98.21,44.3
FK15 0,110.77,54.79
FK15 5,161.9,87.29
FK15 9,112.27,57.31
FK16 6,123.26,64.13
FK17 8,78.27,28.99
FK18 8,75.42,27.56
FK19 8,60.7,19.29
FK2 0,158.06,87.05
FK2 7,172.57,95.89
FK2 8,175.43,96.94
FK2 9,168.3,93.3
FK20 8,53.6,13.66
FK21 8,64.38,23.14
FK3 0,196.27,106.49
FK3 3,191.62,104.45
FK3 8,188.99,103.35
FK3 9,202.22,109.12
FK4 1,145.47,78.8
FK4 2,147.69,81.61
FK5 3,165.7,91.79
FK5 4,160.13,88.2
FK6 5,99.3,44.54
FK6 6,146.62,79.36
FK7 0,180.16,97.25
FK7 1,189.38,104.25
FK7 7,172.63,94.91
FK7 8,156.25,84.8
FK7 9,105.42,49.97
FK8 1,177.81,95.88
FK8 2,186.59,100.12
FK8 3,85.89,34.77
FK9 4,169.72,91.68
FK9 5,157.31,85.23
FY1 1,146.12,85.31
FY1 2,144.34,84.06
FY1 3,146.55,85.02
FY1 4,152.2,88.28
FY1 5,151.01,88.04
FY1 6,161.7,94.11
FY1 9,146.12,85.31
FY2 0,148.8,85.84
FY2 9,142.43,82.48
FY3 0,174.7,100.56
FY3 7,161.56,94.16
FY3 8,160.55,93.33
FY3 9,160.51,93.18
FY4 1,165.7,96.35
FY4 2,178.15,101.94
FY4 3,184.16,104.52
FY4 4,178.07,101.92
FY4 5,190.45,107.31
FY5 1,143.35,83.17
FY5 2,152.87,89.05
FY5 3,157.78,91.1
FY5 4,160.91,92.95
FY5 5,161.58,90.21
FY5 9,145.05,83.88
FY6 0,164.79,94.69
FY6 6,175.89,99.59
FY6 7,169.46,95.62
FY6 8,180.71,100.84
FY6 9,173.36,96.19
FY7 6,149.82,89.3
FY7 7,143.18,85.38
FY7 8,143.04,85.04
FY7 9,147.08,87.54
FY8 1,180.88,103.16
FY8 2,177.99,102.26
FY8 3,188.2,106.29
FY8 4,189.65,106.43
FY8 5,190.7,106.25
FY8 9,179.66,102.86
G1 1,140.86,82.47
G1 2,140.86,82.47
G1 3,140.86,82.47
G1 4,157.28,92.38
G1 5,154.86,90.76
G11 5,151.51,87.43
G11 6,150.11,86.62
G11 7,153.83,89.49
G11 9,148.92,86.53
G12 0,145.37,84.43
G12 8,139.59,81.29
G12 9,146.56,85.34
G13 1,146.89,85.0
G13 2,137.85,78.94
G13 3,146.85,84.95
G13 4,151.77,88.25
G13 9,148.58,86.04
G14 0,153.74,89.09
G14 9,160.24,93.28
G15 6,142.02,81.9
G15 7,132.56,75.4
G15 8,138.79,79.79
G2 1,140.86,82.47
G2 2,141.43,83.03
G2 3,141.43,83.03
G2 4,141.43,83.03
G2 5,141.43,83.03
G2 6,141.43,83.03
G2 7,141.43,83.03
G2 8,141.44,83.03
G2 9,140.86,82.47
G20 0,137.91,79.1
G20 2,141.4,82.22
G20 6,141.69,82.77
G20 7,137.59,79.97
G20 8,147.02,85.71
G20 9,143.2,83.4
G21 1,152.65,89.54
G21 2,144.99,84.31
G21 3,139.79,80.73
G21 4,149.65,87.56
G22 5,137.58,79.97
G22 6,145.65,84.87
G22 7,142.14,82.11
G22 9,145.66,84.87
G23 5,137.38,78.47
G3 6,139.6,81.29
G3 7,139.6,81.29
G3 8,152.68,89.09
G31 1,163.02,95.47
G31 2,144.02,84.12
G31 3,153.62,89.84
G31 4,165.79,96.46
G31 5,164.72,94.93
G32 0,160.08,91.51
G32 2,180.06,101.96
G32 6,164.17,94.29
G32 7,165.56,94.44
G32 8,174.73,99.15
G32 9,165.22,93.79
G33 1,137.07,78.14
G33 2,147.48,85.52
G33 3,144.3,82.69
G33 4,156.03,89.91
G33 5,144.64,83.13
G33 6,140.18,79.73
G33 9,141.7,81.36
G34 0,158.31,91.48
G34 9,158.47,91.65
G4 0,137.94,80.33
G4 7,137.92,80.33
G4 9,141.76,83.27
G40 1,167.73,97.44
G40 2,156.56,91.63
G40 3,169.26,98.27
G40 4,169.28,98.27
G41 1,164.31,95.03
G41 2,179.24,100.09
G41 3,169.48,96.01
G41 4,174.64,97.71
G41 5,171.91,97.08
G42 0,173.36,99.48
G42 2,168.93,97.09
G42 7,168.93,97.1
G42 8,174.23,99.35
G42 9,174.62,99.59
G43 1,176.28,98.09
G43 2,177.12,99.5
G44 3,168.88,95.78
G44 4,178.06,101.59
G44 5,165.94,94.98
G44 9,178.43,100.59
G45 0,135.47,75.26
G45 9,159.23,90.7
G46 6,160.09,89.92
G46 7,160.43,89.64
G46 8,169.6,94.58
G46 9,158.88,88.71
G5 0,166.37,96.5
G5 8,157.28,92.38
G5 9,157.29,92.38
G51 1,165.38,94.78
G51 2,160.24,91.36
G51 3,143.31,79.61
G51 4,147.97,83.54
G51 9,165.37,94.78
G52 1,180.52,100.97
G52 2,157.07,89.0
G52 3,168.58,95.29
G52 4,158.39,90.8
G52 9,160.07,92.03
G53 5,173.85,97.38
G53 6,166.6,93.55
G53 7,155.89,87.69
G53 9,179.21,99.81
G60 5,106.13,54.8
G61 1,131.22,74.17
G61 2,132.87,75.12
G61 3,130.12,72.92
G61 4,117.66,64.28
G61 9,133.22,75.13
G62 6,123.98,68.08
G62 7,105.8,54.01
G62 8,111.49,57.52
G62 9,128.88,71.58
G63 0,87.23,36.0
G63 9,97.41,44.75
G64 1,136.71,78.08
G64 2,140.03,80.37
G64 3,138.0,78.89
G64 4,122.74,67.37
G64 9,142.52,82.29
G65 0,103.46,47.37
G65 9,96.59,42.68
G66 1,143.25,80.15
G66 2,140.38,77.56
G66 3,135.55,74.11
G66 4,137.97,76.63
G66 5,134.27,74.12
G66 7,89.41,37.46
G66 8,98.33,44.82
G66 9,139.66,77.88
G67 1,117.15,58.98
G67 2,126.72,66.38
G67 3,125.04,65.56
G67 4,130.7,70.48
G67 9,121.02,61.93
G68 0,128.44,66.61
G68 9,125.71,65.38
G69 0,137.18,75.35
G69 6,169.48,97.38
G69 7,178.94,101.71
G69 8,150.85,86.5
G69 9,140.93,79.22
G71 5,179.89,101.7
G71 6,180.28,101.51
G71 7,188.82,105.34
G71 8,187.92,104.99
G71 9,186.71,104.13
G72 0,155.24,87.55
G72 6,181.15,101.6
G72 7,178.3,100.4
G72 8,155.87,88.37
G72 9,175.21,98.96
G73 1,176.3,101.16
G73 2,171.45,98.65
G73 3,175.02,100.36
G73 4,144.31,81.62
G73 5,131.5,72.83
G74 1,136.59,75.82
G74 2,131.49,72.3
G74 3,140.74,78.66
G74 4,131.45,72.47
G74 5,133.67,73.54
G74 9,136.0,75.37
G75 0,111.1,56.37
G75 7,123.83,65.36
G75 8,126.4,68.22
G75 9,112.44,57.15
G76 0,96.92,44.23
G76 6,152.01,85.78
G76 7,146.52,81.98
G76 8,147.77,83.35
G76 9,133.97,74.21
G77 5,125.43,66.37
G77 6,102.35,47.3
G77 9,123.41,64.85
G78 1,139.16,77.5
G78 2,132.92,72.26
G78 3,98.63,44.18
G78 4,95.09,40.99
G78 9,137.44,76.46
G81 1,163.57,95.55
G81 2,144.31,83.62
G81 3,142.41,82.13
G81 4,143.43,82.62
G81 5,93.0,43.53
G81 6,106.5,55.15
G82 1,156.23,89.99
G82 2,104.56,53.9
G82 3,100.06,49.85
G82 4,106.09,54.16
G82 5,94.8,44.02
G82 9,154.15,88.96
G83 0,98.95,48.52
G83 3,117.04,63.52
G83 7,52.3,12.03
G83 8,75.38,27.05
G83 9,93.6,43.31
G84 0,66.23,22.12
G84 4,112.95,61.27
G84 7,96.5,45.71
G84 8,68.64,23.92
G84 9,75.37,28.06
GL1 1,317.08,130.75
GL1 2,325.54,132.36
GL1 3,317.32,130.85
GL1 4,313.3,130.26
GL1 5,313.58,130.53
GL1 9,325.56,132.36
GL10 2,279.72,123.98
GL10 3,269.92,121.23
GL11 4,229.26,109.32
GL11 5,259.23,118.34
GL11 6,254.68,117.25
GL11 9,299.19,127.76
GL12 7,238.72,111.72
GL12 8,268.34,121.52
GL13 9,291.96,126.73
GL14 1,304.62,127.55
GL14 2,232.87,108.51
GL14 3,226.82,106.63
GL14 9,213.94,100.9
GL15 4,251.81,115.04
GL15 5,283.26,125.64
GL15 6,241.15,111.76
GL15 9,297.45,128.25
GL16 7,231.45,108.2
GL16 8,214.14,101.26
GL16 9,221.44,104.13
GL17 0,259.22,117.27
GL17 9,245.93,113.91
GL18 1,311.79,129.46
GL18 2,330.78,132.9
GL19 3,316.74,129.58
GL19 4,328.11,132.83
GL2 0,302.38,128.63
GL2 2,299.71,127.57
GL2 3,315.04,130.75
GL2 4,309.15,129.78
GL2 5,321.54,132.23
GL2 7,309.23,130.18
GL2 8,326.07,131.6
GL2 9,316.27,130.77
GL20 5,331.63,133.56
GL20 6,329.54,133.21
GL20 7,307.45,129.3
GL20 8,320.58,131.39
GL20 9,333.79,134.11
GL3 1,293.63,126.87
GL3 2,289.13,126.11
GL3 3,303.15,128.8
GL3 4,274.36,121.97
GL3 5,288.25,124.79
GL3 9,293.1,126.19
GL4 0,295.51,127.16
GL4 3,309.85,129.97
GL4 4,302.37,128.57
GL4 5,296.71,127.61
GL4 6,279.66,123.79
GL4 8,218.35,106.12
GL5 1,262.38,119.13
GL5 2,251.32,115.48
GL5 3,264.91,118.73
GL5 4,278.84,122.85
GL5 5,239.42,111.19
GL50 1,274.71,120.08
GL50 2,265.42,117.7
GL50 3,274.7,120.08
GL50 4,318.58,130.25
GL50 9,274.7,120.08
GL51 0,311.54,129.79
GL51 3,279.52,122.19
GL51 4,288.13,125.11
GL51 6,295.91,126.7
GL51 7,285.98,123.77
GL51 8,284.09,123.01
GL51 9,320.31,131.42
GL52 2,287.89,123.88
GL52 3,259.63,117.64
GL52 5,285.81,124.05
GL52 6,280.0,122.39
GL52 7,320.47,131.79
GL52 8,324.03,132.35
GL52 9,293.98,126.03
GL53 0,270.74,120.22
GL53 7,274.0,120.68
GL53 8,261.49,117.42
GL53 9,222.54,106.73
GL54 1,252.85,113.08
GL54 2,259.37,114.76
GL54 3,257.15,114.82
GL54 4,232.6,108.62
GL54 5,249.53,112.24
GL55 6,282.96,120.85
GL55 9,270.41,116.66
GL56 0,284.32,120.42
GL56 9,273.68,118.34
GL6 0,240.43,112.79
GL6 1,275.48,122.18
GL6 6,236.53,112.14
GL6 7,219.85,105.68
GL6 8,233.56,109.23
GL6 9,234.4,109.39
GL7 0,294.6,122.83
GL7 1,297.2,123.71
GL7 2,290.11,121.91
GL7 3,305.95,125.87
GL7 4,311.16,127.09
GL7 5,292.89,123.49
GL7 6,284.48,122.19
GL7 7,262.09,117.42
GL7 9,294.59,122.83
GL8 0,263.88,119.2
GL8 8,249.57,115.62
GL9 1,246.32,115.42
GU1 1,359.47,135.34
GU1 2,329.95,130.13
GU1 3,336.11,131.69
GU1 4,352.69,133.76
GU1 9,352.68,133.76
GU10 1,339.18,132.9
GU10 2,357.86,134.81
GU10 3,353.05,134.15
GU10 4,347.21,133.1
GU10 5,329.02,131.13
GU11 1,338.19,133.32
GU11 2,339.02,133.88
GU11 3,337.03,132.74
GU11 4,334.98,132.93
GU11 9,345.39,134.24
GU12 4,348.64,134.91
GU12 5,329.93,132.03
GU12 6,338.67,133.22
GU14 0,350.2,135.83
GU14 4,339.51,134.02
GU14 6,344.2,134.78
GU14 7,344.25,134.84
GU14 8,351.02,135.73
GU14 9,353.1,136.01
GU15 1,322.49,130.08
GU15 2,341.98,133.64
GU15 3,348.52,134.57
GU15 4,328.86,131.09
GU15 9,344.4,133.82
GU16 6,332.68,132.53
GU16 7,353.36,135.73
GU16 8,338.6,133.34
GU16 9,340.04,133.8
GU17 0,367.5,137.43
GU17 9,342.75,134.1
GU18 5,345.99,133.77
GU19 5,332.86,131.48
