name,fires_yr
CF42,5.6655
CF43,4.6969
CF44,18.4637
CF45,7.9865
CF46,6.36
CF47,11.4772
CF48,13.6638
CF5,26.2258
CF61,4.1486
CF62,16.4848
CF63,8.7176
CF64,16.7955
CF71,5.1538
CF72,12.2996
CF81,7.1093
CF82,9.1379
CF83,22.0589
CF91,0.2741
CF95,0.1097
CF99,0.0183
CH1,15.6845
CH2,8.8808
CH25,0.5504
CH26,0.0168
CH27,0.3681
CH28,0.0433
CH29,0.1056
CH3,7.6049
CH30,0.0181
CH31,0.0769
CH32,0.1909
CH33,0.1687
CH34,0.3879
CH4,12.7926
CH41,26.5149
CH42,27.907
CH43,22.6163
CH44,27.2867
CH45,15.3841
CH46,12.9928
CH47,3.0025
CH48,6.6775
CH49,15.4606
CH5,17.5725
CH6,6.9422
CH60,3.6132
CH61,5.4362
CH62,15.7027
CH63,9.3707
CH64,5.8144
CH65,16.5503
CH66,11.6689
CH7,24.5302
CH70,0.2688
CH8,10.4753
CH88,0.0242
CH99,0.0602
CM0,6.25
CM1,29.6901
CM11,4.1228
CM12,6.7836
CM13,8.1078
CM14,9.8184
CM15,8.3808
CM16,10.6738
CM17,8.5866
CM18,12.0279
CM19,11.385
CM2,19.4625
CM20,14.8071
CM21,3.7868
CM22,5.0785
CM23,11.9854
CM24,3.0114
CM3,13.4842
CM4,3.8885
CM5,5.4611
CM6,7.9213
CM7,19.6878
CM77,3.8988
CM8,14.1137
CM9,15.0169
CM92,0.2045
CM98,0.1759
CM99,0.3803
CO1,11.4262
CO10,18.9319
CO11,5.0234
CO12,12.2949
CO13,5.6348
CO14,4.5349
CO15,35.9077
CO16,17.7834
CO2,19.0006
CO3,11.6043
CO4,21.411
CO5,9.7895
CO6,6.9941
CO7,12.0561
CO8,1.1108
CO9,8.0914
CR0,107.5356
CR2,24.2514
CR3,13.228
CR4,37.9341
CR44,0.0515
CR5,10.2126
CR6,4.5745
CR7,31.2985
CR8,16.2555
CR9,3.2354
CR90,0.4013
CT1,12.3324
CT10,7.416
CT11,19.1321
CT12,8.5089
CT13,1.7894
CT14,13.1629
CT15,3.4322
CT16,9.033
CT17,8.555
CT18,3.2468
CT19,9.7129
CT2,9.2796
CT20,11.5783
CT21,5.175
CT3,5.6208
CT4,5.2116
CT5,8.1691
CT50,0.0541
CT6,9.2843
CT7,3.3951
CT8,1.6963
CT9,25.228
CV1,27.3971
CV10,21.4318
CV11,15.8302
CV12,12.9913
CV13,2.1751
CV2,46.1029
CV21,11.5801
CV22,10.6839
CV23,4.7249
CV3,37.8369
CV31,11.7072
CV32,10.8855
CV33,1.9268
CV34,10.5039
CV35,5.5186
CV36,2.6877
CV37,12.412
CV4,24.5298
CV47,5.5657
CV5,18.3425
CV6,49.9586
CV7,10.4002
CV8,5.9484
CV9,5.9645
CW1,16.7381
CW10,5.0231
CW11,7.228
CW12,12.3092
CW2,15.4553
CW3,2.5272
CW4,3.1255
CW5,8.6403
CW6,3.5371
CW7,14.0554
CW8,8.4945
CW9,10.3867
CW98,0.0104
DA1,22.1379
DA10,4.8318
DA11,19.1799
DA12,18.6408
DA13,2.3998
DA14,11.6705
DA15,8.6552
DA16,12.5394
DA17,9.355
DA18,3.9603
DA2,7.0386
DA3,3.8013
DA4,1.7796
DA5,5.1894
DA6,3.6126
DA7,9.842
DA8,25.084
DA9,4.7747
DD1,26.4709
DD10,13.0995
DD11,18.9856
DD2,50.4835
DD3,47.5609
DD4,49.2823
DD5,35.3243
DD6,8.5452
DD7,7.5372
DD8,24.832
DD9,8.6739
DE1,18.8209
DE11,16.617
DE12,5.9593
DE13,14.4548
DE14,14.4871
DE15,12.3994
DE21,18.4589
DE22,20.7645
DE23,32.145
DE24,33.1875
DE3,3.4205
DE4,12.637
DE45,2.4252
DE5,9.1123
DE55,18.4134
DE56,10.1423
DE6,9.2759
DE65,5.4221
DE7,21.4876
DE72,6.6672
DE73,5.1203
DE74,4.1546
DE75,7.1683
DE99,0.0256
DG1,13.8195
DG10,2.8655
DG11,8.4011
DG12,6.1478
DG13,1.8365
DG14,1.0101
DG16,1.8725
DG2,11.5532
DG3,3.4386
DG4,2.2273
DG5,2.7873
DG6,3.4777
DG7,8.7658
DG8,10.8631
DG9,10.5242
DH1,13.0998
DH2,10.645
DH3,11.2897
DH4,13.7517
DH5,11.8884
DH6,14.9551
DH7,13.2813
DH8,15.8197
DH9,18.034
DH97,0.0067
DH98,0.024
DH99,0.0202
DL1,24.3037
DL10,7.3515
DL11,1.5945
DL12,4.229
DL13,6.4711
DL14,19.1051
DL15,8.9863
DL16,7.1184
DL17,12.3334
DL2,3.5656
DL3,18.9889
DL4,6.6812
DL5,12.14
DL6,6.4253
DL7,5.0562
DL8,7.6211
DL9,4.3664
DL98,0.175
DN1,12.8215
DN10,5.8987
DN11,13.6288
DN12,17.0129
DN14,18.6117
DN15,18.469
DN16,16.3205
DN17,15.7232
DN18,3.0121
DN19,2.334
DN2,12.4717
DN20,3.6516
DN21,25.6298
DN22,19.7752
DN3,9.8838
DN31,13.0041
DN32,27.7626
DN33,9.4044
DN34,7.7149
DN35,16.9171
DN36,5.5817
DN37,8.627
DN38,0.6735
DN39,0.2326
DN4,29.2834
DN40,5.2169
DN41,1.72
DN5,18.6516
DN6,13.7326
DN7,10.0528
DN8,6.7647
DN9,5.0965
DT1,11.7492
DT10,4.782
DT11,11.0184
DT2,8.5973
DT3,8.8322
DT4,22.625
DT5,5.359
DT6,7.3886
DT7,1.795
DT8,3.2399
DT9,7.8162
DY1,23.0576
DY10,21.4252
DY11,20.9931
DY12,5.6981
DY13,9.8627
DY14,4.0979
DY2,20.8552
DY3,16.3821
DY4,26.3625
DY5,25.4216
DY6,9.7431
DY7,3.0193
DY8,25.5254
DY9,14.2971
E1,56.7115
E10,27.6978
E11,30.6888
E12,22.5589
E13,32.2278
E14,68.079
E15,38.7548
E16,40.228
E17,58.9808
E18,6.6944
E1W,8.9497
E2,40.036
E20,4.3831
E3,48.6137
E4,28.3809
E5,40.2303
E6,40.441
E7,29.6881
E8,38.5207
E9,35.0188
E98,0.5359
EC1A,0.4874
EC1M,1.6053
EC1N,2.4482
EC1P,0.6754
EC1R,3.8197
EC1V,13.6511
EC1Y,2.7292
EC2A,1.8144
EC2M,0.4289
EC2N,0.072
EC2P,0.208
EC2R,0.113
EC2V,0.3108
EC2Y,0.7413
EC3A,0.27
EC3M,0.102
EC3N,0.5899
EC3P,0.0524
EC3R,0.1157
EC3V,0.1036
EC4A,0.2557
EC4M,0.1483
EC4N,0.0981
EC4P,0.139
EC4R,0.0768
EC4V,0.1621
EC4Y,0.2968
