name,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,er_dc50_hi_m2,er_dc100_hi_m2,er_dc50_lo_m2,er_dc100_lo_m2
KA26 9,0.00038764,0.0019057,0.00022389,0.00054623,74387.7,365703.2,42963.9,104820.5
KA27 8,0.00023682,0.00095267,0.00016564,0.00042292,152054.8,611674.2,106348.7,271540.4
KA29 0,0.00029699,0.00126918,0.00019641,0.00050168,7361.1,31457.3,4868.0,12434.4
KA30 8,0.00026502,0.00095287,0.00021032,0.00054492,20007.8,71937.7,15878.5,41139.0
KA7 1,0.00058964,0.00668984,0.00011376,0.00028178,3187.1,36159.6,614.9,1523.1
KA7 2,3.9e-07,0.00183473,0.0,0.0,1.0,4770.6,0.0,0.0
KA7 4,0.00048476,0.00254878,0.00019914,0.00048517,28880.7,151851.4,11864.6,28905.5
KA8 8,0.00032757,0.00328924,0.00014297,0.00035847,1402.7,14085.6,612.2,1535.1
KA9 1,0.00110906,0.00724781,0.00032102,0.00079254,14902.3,97388.2,4313.5,10649.2
KA9 2,0.0,0.00017317,0.0,0.0,0.0,4074.2,0.0,0.0
KW1 4,0.00019601,0.00122509,0.00011032,0.00028573,64469.7,402937.0,36283.1,93979.1
KW10 6,0.00173038,0.0061681,0.00127978,0.00291788,122542.6,436813.1,90631.9,206639.1
KW14 7,0.00012824,0.00039108,9.882e-05,0.00019272,84452.4,257542.8,65074.4,126911.5
KW14 8,0.00239295,0.00487398,0.00234132,0.00445872,549848.4,1119936.1,537984.4,1024517.8
KW15 1,0.00062411,0.00315593,0.00038866,0.00096311,67282.9,340229.1,41900.0,103829.6
KW16 3,0.00055498,0.00240161,0.00039935,0.00102541,285784.7,1236689.5,205642.9,528027.8
KW17 2,0.00065442,0.00436422,0.00027549,0.00074891,1244604.5,8300083.8,523937.3,1424318.4
KW3 6,4.84e-06,3.181e-05,2.82e-06,7.77e-06,506.1,3327.8,295.1,812.5
KW5 6,7.878e-05,0.00034378,4.524e-05,0.00011319,9236.8,40307.9,5304.0,13271.5
KW6 6,4.794e-05,0.0002132,3.035e-05,7.303e-05,11524.8,51253.4,7295.1,17555.6
KW7 6,3.321e-05,0.00010233,2.833e-05,7.008e-05,2305.9,7104.5,1966.5,4865.6
KW8 6,0.00041121,0.00170678,0.00031685,0.00080147,129147.0,536043.8,99511.5,251716.2
KW9 6,0.00035523,0.00222716,0.00020237,0.00053723,63502.8,398133.9,36176.2,96036.7
KY1 1,0.00275459,0.00921479,0.00236798,0.00581054,29005.6,97031.0,24934.6,61184.5
KY1 2,0.00381494,0.00882659,0.00307326,0.00580191,52256.2,120904.8,42096.8,79473.3
KY1 4,0.00175972,0.0038008,0.00145665,0.0026285,58202.0,125710.0,48178.0,86936.4
KY10 2,4.811e-05,0.00043623,3.085e-05,7.982e-05,2171.6,19690.5,1392.5,3603.1
KY10 3,0.00041093,0.00348204,0.00014525,0.00038074,30373.2,257367.6,10735.8,28141.7
KY11 1,0.00021453,0.00051792,0.000162,0.00041545,2455.4,5927.9,1854.1,4755.1
KY11 3,0.00021186,0.00148166,0.00010679,0.00027275,4228.2,29570.1,2131.2,5443.3
KY11 9,0.00032925,0.00130127,0.00024216,0.00062393,4943.2,19536.5,3635.7,9367.3
KY16 0,0.01041749,0.03705759,0.009762,0.03085828,696398.5,2477262.4,652580.0,2062844.8
KY16 8,0.00032777,0.00148882,0.00016461,0.00040717,36427.6,165465.8,18294.7,45251.9
KY16 9,0.00429732,0.01517779,0.00358098,0.00830005,186685.6,659358.8,155566.4,360573.6
KY3 0,0.00065706,0.00315027,0.00046341,0.00106561,26024.0,124771.9,18354.3,42205.3
KY3 9,0.00058096,0.00192367,0.00039125,0.00087114,23368.0,77376.4,15737.6,35040.1
KY8 1,0.00133955,0.00484378,0.00094981,0.00226639,9881.6,35731.5,7006.6,16718.6
KY8 4,0.00104793,0.00668413,0.00056224,0.0014601,7002.4,44664.0,3757.0,9756.6
KY8 5,9.303e-05,0.00092165,3.811e-05,9.431e-05,6628.3,65663.5,2715.4,6719.2
KY8 6,0.00243804,0.01867982,0.00043099,0.00108164,49654.9,380447.1,8777.8,22029.4
KY9 1,0.00084525,0.00480175,0.00057404,0.00142028,53038.1,301302.4,36020.1,89120.6
PA14 6,0.00031243,0.00193755,0.00014894,0.00037473,7527.5,46683.0,3588.5,9028.7
PA16 0,0.00010228,0.00045542,7.919e-05,0.00017261,2800.8,12471.5,2168.5,4726.9
PA17 5,0.00013192,0.00052031,0.00011038,0.00028486,3970.6,15660.5,3322.2,8573.7
PA18 6,0.00010837,0.00035737,9.793e-05,0.00025984,1449.9,4781.3,1310.2,3476.3
PA19 1,0.00021494,0.00072093,0.00019915,0.00055444,4310.4,14457.2,3993.6,11118.5
PA20 0,0.00031041,0.00208907,0.0001575,0.00043183,37361.0,251443.5,18957.2,51976.2
PA20 9,6.85e-05,0.00050805,4.609e-05,0.00011986,7549.3,55990.7,5079.5,13209.5
PA21 2,7.252e-05,0.0007486,3.489e-05,9.652e-05,14793.0,152696.5,7117.5,19687.8
PA22 3,0.00016107,0.00062533,0.00012142,0.0003153,30420.7,118107.2,22933.2,59551.9
PA23 7,0.0006182,0.00196526,0.00050324,0.0011232,75188.1,239021.8,61205.3,136606.9
PA23 8,8.17e-05,0.0003205,5.866e-05,0.00015242,17268.1,67743.4,12399.4,32216.1
PA24 8,0.00016093,0.00052847,0.00013354,0.00030461,17899.8,58779.6,14852.9,33880.2
PA26 8,5.058e-05,0.00024384,3.156e-05,8.21e-05,6781.0,32691.3,4231.7,11006.9
PA27 8,5.612e-05,0.00022106,3.878e-05,9.038e-05,7203.7,28375.9,4977.5,11601.0
PA28 6,0.00029665,0.0011521,0.00023342,0.00058207,206548.4,802177.0,162526.7,405283.6
PA29 6,0.00046123,0.00129292,0.000334,0.00066901,290630.9,814690.1,210460.7,421552.6
PA30 8,0.00011743,0.00046273,8.81e-05,0.00022415,5757.3,22687.7,4319.7,10989.8
PA31 8,0.00011341,0.00057274,7.456e-05,0.00019541,90728.5,458208.0,59651.0,156331.4
PA32 8,5.712e-05,0.0002537,4.066e-05,0.00010735,14205.6,63096.5,10111.5,26698.5
PA34 4,0.00011149,0.00040996,8.675e-05,0.00020663,60055.4,220827.7,46727.2,111300.9
PA34 5,5.259e-05,0.0002899,2.869e-05,7.776e-05,7125.9,39279.2,3888.0,10536.3
PA35 1,0.00015172,0.00045959,0.00012954,0.00031019,64751.0,196138.3,55285.0,132376.7
PA37 1,0.000582,0.0030415,0.00039013,0.00099095,101591.0,530905.5,68099.0,172974.3
PA38 4,0.00030921,0.00141347,0.00021737,0.00056409,84367.3,385660.1,59309.7,153909.0
PA42 7,0.00098013,0.00305499,0.00090513,0.00237618,321934.0,1003446.9,297301.1,780483.3
PA43 7,0.00197714,0.00855954,0.00141859,0.00363978,92317.7,399667.7,66237.7,169951.1
PA44 7,0.00121261,0.00424581,0.00095524,0.00222065,265351.3,929092.1,209030.2,485935.6
PA45 7,0.00013725,0.00037779,0.00010731,0.00022425,11162.0,30724.0,8727.3,18237.7
PA46 7,0.00020742,0.0009749,0.00015927,0.00039808,34612.4,162683.4,26577.3,66429.2
PA47 7,9.193e-05,0.00039059,5.631e-05,0.00013013,5634.2,23938.2,3450.9,7975.4
PA48 7,1.965e-05,0.00015109,1.249e-05,2.632e-05,1149.1,8838.0,730.7,1539.7
PA49 7,0.00062613,0.00244485,0.00046123,0.00121018,36827.7,143800.3,27128.2,71180.1
PA60 7,0.00012498,0.00057011,9.245e-05,0.0002274,60494.5,275949.2,44748.6,110067.5
PA61 7,0.00059722,0.00262119,0.00037962,0.00092603,93116.6,408687.2,59189.5,144384.4
PA65 6,6.904e-05,0.00019555,6.582e-05,0.00017808,11582.7,32806.2,11041.9,29876.1
PA67 6,1.308e-05,5.405e-05,1.04e-05,2.137e-05,1585.3,6549.9,1260.4,2590.0
PA68 6,9.96e-06,7.728e-05,7.66e-06,2.081e-05,865.0,6712.1,665.5,1807.6
PA69 6,5.396e-05,0.00024237,3.979e-05,8.6e-05,2174.9,9769.7,1603.9,3466.5
PA7 5,0.00010215,0.00108771,2.184e-05,5.362e-05,1704.9,18153.2,364.5,895.0
PA70 6,3.3e-07,3.73e-06,1.7e-07,4.5e-07,69.5,782.1,35.8,95.0
PA71 6,0.00010859,0.00042285,9.349e-05,0.00022514,5933.7,23106.2,5108.9,12302.7
PA72 6,6.623e-05,0.00022622,5.522e-05,0.00013367,10173.8,34751.0,8483.2,20533.7
PA75 6,7e-07,2.751e-05,4e-07,9.8e-07,173.7,6780.4,99.6,242.2
PA77 6,0.00187521,0.00687465,0.00159327,0.00392528,453207.9,1661488.5,385066.4,948674.4
PA78 6,0.00140529,0.0046731,0.00127639,0.00344188,265023.5,881301.8,240715.3,649104.1
PA80 5,7.356e-05,0.0002835,5.482e-05,0.00013291,26180.0,100897.4,19509.3,47301.2
PH33 6,0.00019234,0.00056622,0.00016802,0.00037782,42134.5,124035.0,36805.9,82764.9
PH33 7,0.00020725,0.00071037,0.00017732,0.00041196,117651.7,403260.2,100660.2,233862.7
PH35 4,2.267e-05,6.267e-05,2.038e-05,4.811e-05,13880.4,38361.1,12477.0,29453.1
PH36 4,0.00014261,0.00045676,0.00012238,0.00030864,87549.0,280414.0,75131.9,189477.9
PH38 4,0.00016667,0.00043666,0.00014473,0.00031927,34180.1,89550.0,29681.6,65476.3
PH39 4,0.00017059,0.00069032,0.00011225,0.00027115,18284.9,73993.1,12031.3,29063.2
PH40 4,0.00018356,0.00064338,0.00013525,0.00033202,22861.2,80126.7,16844.4,41350.1
PH41 4,8.984e-05,0.00027702,7.724e-05,0.00016717,31856.3,98226.2,27388.7,59273.8
PH49 4,0.00010647,0.00035138,9.526e-05,0.00024253,40451.6,133506.6,36194.6,92148.2
PH50 4,3.64e-06,1.523e-05,2.76e-06,7.11e-06,718.6,3003.6,544.1,1402.2
TD13 5,9.878e-05,0.00071802,3.675e-05,9.234e-05,8346.4,60668.1,3104.8,7801.9
TD14 5,2.946e-05,0.00018066,1.546e-05,3.96e-05,5170.9,31713.2,2713.1,6951.8
ZE1 0,6.674e-05,0.00029678,4.698e-05,0.00012147,5644.2,25097.7,3973.1,10272.0
ZE2 9,0.00011918,0.00053575,9.161e-05,0.0002446,351996.2,1582386.2,270580.4,722436.0
ZE3 9,0.00054893,0.00304781,0.00037918,0.00106851,31717.3,176102.5,21909.3,61738.4
