name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low
W14,0.075117,0.291291,0.042258,0.205739,0.008363,0.071491,0.001258,0.030713,0.001258,0.009843
WA1,0.014552,0.098881,0.004639,0.04801,0.000524,0.007101,0.000222,0.001779,0.000143,0.000763
WA2,0.025798,0.106919,0.012126,0.055673,0.002951,0.010808,0.000655,0.003379,0.000236,0.001039
WA3,0.051249,0.112562,0.028604,0.067796,0.007404,0.018566,0.002098,0.005963,0.000625,0.002028
WA4,0.031352,0.065356,0.019689,0.040495,0.007301,0.015551,0.003307,0.007629,0.001273,0.004318
WA5,0.041392,0.112813,0.022427,0.06494,0.0062,0.019037,0.001733,0.007826,0.000862,0.003797
WA6,0.02535,0.052188,0.014944,0.032171,0.003401,0.008205,0.001145,0.002521,0.000453,0.001016
WA7,0.019919,0.073149,0.010096,0.042054,0.001995,0.012645,0.000712,0.004501,0.000421,0.002489
WA8,0.040556,0.100684,0.023315,0.061646,0.006779,0.019466,0.002288,0.008006,0.000924,0.003528
WA9,0.049438,0.105899,0.029239,0.067607,0.006727,0.023786,0.002679,0.010579,0.001412,0.005857
WA10,0.034587,0.092631,0.018873,0.060716,0.004776,0.016917,0.00157,0.00631,0.000735,0.002021
WA11,0.037616,0.077131,0.019407,0.046439,0.00483,0.011245,0.001967,0.00429,0.000688,0.001786
WA12,0.0416,0.085046,0.023307,0.054353,0.006224,0.020629,0.0028,0.008682,0.000868,0.003986
WA13,0.022342,0.052262,0.012751,0.030023,0.003435,0.008005,0.001068,0.003319,0.000378,0.001434
WA14,0.023657,0.069194,0.011751,0.038491,0.002197,0.008681,0.000574,0.00284,0.000193,0.001158
WA15,0.038775,0.098777,0.021566,0.054885,0.005942,0.016992,0.00173,0.007917,0.000514,0.00432
WA16,0.040565,0.072317,0.024891,0.046583,0.006377,0.015193,0.001651,0.004989,0.000519,0.001834
WC1A,0.062705,0.22607,0.028052,0.179866,0.006601,0.049504,0.006601,0.019802,0.006601,0.006601
WC1B,0.068983,0.342405,0.030102,0.254609,0.008153,0.115389,0.006271,0.015051,0.005017,0.009407
WC1E,0.055614,0.352225,0.036304,0.295838,0.010814,0.130539,0.007724,0.039394,0.001545,0.010814
WC1H,0.082319,0.280278,0.054488,0.214422,0.0098,0.074479,0.00392,0.015288,0.002352,0.009408
WC1N,0.102092,0.319143,0.058101,0.270171,0.01494,0.097112,0.007885,0.042746,0.003735,0.01743
WC1R,0.091832,0.272669,0.040971,0.228873,0.019779,0.063576,0.005651,0.039558,0.002826,0.022605
WC1V,0.067762,0.188411,0.028096,0.140482,0.006611,0.033055,0.003305,0.009916,0.0,0.008264
WC1X,0.070609,0.305243,0.052176,0.261503,0.012497,0.175585,0.005624,0.134657,0.003124,0.095603
WC2A,0.08825,0.163224,0.07185,0.138232,0.028115,0.085907,0.008591,0.035144,0.004686,0.023429
WC2B,0.089102,0.19857,0.068736,0.159535,0.030549,0.091648,0.013577,0.071282,0.007637,0.039035
WC2E,0.002469,0.006172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WC2H,0.076937,0.184393,0.046416,0.133526,0.00763,0.040694,0.003815,0.010809,0.003815,0.008902
WC2N,0.070949,0.113518,0.058888,0.086558,0.039731,0.056759,0.006385,0.014899,0.004966,0.009933
WC2R,0.044346,0.095722,0.030826,0.0676,0.003786,0.00703,0.001622,0.004867,0.001082,0.001622
WD3,0.015246,0.041185,0.009209,0.027548,0.003006,0.011365,0.001514,0.00617,0.000871,0.004071
WD4,0.019707,0.049364,0.011187,0.0341,0.00433,0.016994,0.001809,0.010263,0.001191,0.006704
WD5,0.008122,0.022957,0.004999,0.015182,0.001265,0.007856,0.000653,0.00502,0.000347,0.003245
WD6,0.061388,0.109407,0.035421,0.067907,0.010337,0.02106,0.004479,0.008718,0.002253,0.003873
WD7,0.020321,0.042322,0.012614,0.025052,0.005197,0.009786,0.002761,0.005637,0.001638,0.003442
