name,country,share
CB3,England,1.0
CB4,England,1.0
CB5,England,1.0
CB6,England,1.0
CB7,England,1.0
CB8,England,1.0
CB9,England,1.0
CB10,England,1.0
CB11,England,1.0
CB21,England,1.0
CB22,England,1.0
CB23,England,1.0
CB24,England,1.0
CB25,England,1.0
CF3,Wales,1.0
CF5,Wales,1.0
CF10,Wales,1.0
CF11,Wales,1.0
CF14,Wales,1.0
CF15,Wales,1.0
CF23,Wales,1.0
CF24,Wales,1.0
CF31,Wales,1.0
CF32,Wales,1.0
CF33,Wales,1.0
CF34,Wales,1.0
CF35,Wales,1.0
CF36,Wales,1.0
CF37,Wales,1.0
CF38,Wales,1.0
CF39,Wales,1.0
CF40,Wales,1.0
CF41,Wales,1.0
CF42,Wales,1.0
CF43,Wales,1.0
CF44,Wales,1.0
CF45,Wales,1.0
CF46,Wales,1.0
CF47,Wales,1.0
CF48,Wales,1.0
CF61,Wales,1.0
CF62,Wales,1.0
CF63,Wales,1.0
CF64,Wales,1.0
CF71,Wales,1.0
CF72,Wales,1.0
CF81,Wales,1.0
CF82,Wales,1.0
CF83,Wales,1.0
CH1,England,0.8107
CH2,England,1.0
CH3,England,0.9928
CH4,England,0.5444
CH5,Wales,0.9632
CH6,Wales,1.0
CH7,Wales,1.0
CH8,Wales,1.0
CH41,England,1.0
CH42,England,1.0
CH43,England,1.0
CH44,England,1.0
CH45,England,1.0
CH46,England,1.0
CH47,England,1.0
CH48,England,1.0
CH49,England,1.0
CH60,England,1.0
CH61,England,1.0
CH62,England,1.0
CH63,England,1.0
CH64,England,0.9122
CH65,England,1.0
CH66,England,1.0
CM0,England,1.0
CM1,England,1.0
CM2,England,1.0
CM3,England,1.0
CM4,England,1.0
CM5,England,1.0
CM6,England,1.0
CM7,England,1.0
CM8,England,1.0
CM9,England,1.0
CM11,England,1.0
CM12,England,1.0
CM13,England,1.0
CM14,England,1.0
CM15,England,1.0
CM16,England,1.0
CM17,England,1.0
CM18,England,1.0
CM19,England,1.0
CM20,England,1.0
CM21,England,1.0
CM22,England,1.0
CM23,England,1.0
CM24,England,1.0
CM77,England,1.0
CO1,England,1.0
CO2,England,1.0
CO3,England,1.0
CO4,England,1.0
CO5,England,1.0
CO6,England,1.0
CO7,England,1.0
CO8,England,1.0
CO9,England,1.0
CO10,England,1.0
CO11,England,1.0
CO12,England,1.0
CO13,England,1.0
CO14,England,1.0
CO15,England,1.0
CO16,England,1.0
CR0,England,1.0
CR2,England,1.0
CR3,England,1.0
CR4,England,1.0
CR5,England,1.0
CR6,England,1.0
CR7,England,1.0
CR8,England,1.0
CT1,England,1.0
CT2,England,1.0
CT3,England,1.0
CT4,England,1.0
CT5,England,1.0
CT6,England,1.0
CT7,England,1.0
CT8,England,1.0
CT9,England,1.0
CT10,England,1.0
CT11,England,1.0
CT12,England,1.0
CT13,England,1.0
CT14,England,1.0
CT15,England,1.0
CT16,England,1.0
CT17,England,1.0
CT18,England,1.0
CT19,England,1.0
CT20,England,1.0
CT21,England,1.0
CV1,England,1.0
CV2,England,1.0
CV3,England,1.0
CV4,England,1.0
CV5,England,1.0
CV6,England,1.0
CV7,England,1.0
CV8,England,1.0
CV9,England,1.0
CV10,England,1.0
CV11,England,1.0
CV12,England,1.0
CV13,England,1.0
CV21,England,1.0
CV22,England,1.0
CV23,England,1.0
CV31,England,1.0
CV32,England,1.0
CV33,England,1.0
CV34,England,1.0
CV35,England,1.0
CV36,England,1.0
CV37,England,1.0
CV47,England,1.0
CW1,England,1.0
CW2,England,1.0
CW3,England,1.0
CW4,England,1.0
CW5,England,1.0
CW6,England,1.0
CW7,England,1.0
CW8,England,1.0
CW9,England,1.0
CW10,England,1.0
CW11,England,1.0
CW12,England,1.0
DA1,England,1.0
