name,sw_high,sw_low
B28 1,0.063284,0.113975
B28 8,0.061023,0.085968
B28 9,0.073890,0.140238
B29 4,0.040091,0.093287
B29 5,0.030244,0.079146
B29 6,0.052043,0.116274
B29 7,0.055028,0.116390
B29 9,0.044778,0.102264
B3 1,0.071539,0.351272
B3 2,0.083804,0.253774
B3 3,0.068832,0.169001
B30 1,0.065358,0.099755
B30 2,0.021785,0.056640
B30 3,0.047602,0.105583
B30 9,0.045078,0.087205
B31 1,0.036803,0.056017
B31 2,0.047050,0.079742
B31 3,0.053470,0.081017
B31 4,0.044949,0.084830
B31 5,0.022067,0.052256
B31 9,0.041635,0.072204
B32 1,0.042535,0.098990
B32 2,0.081728,0.119261
B32 3,0.066083,0.097980
B32 4,0.015282,0.042497
B32 9,0.056212,0.095351
B33 0,0.077413,0.163506
B33 3,0.059922,0.127479
B33 8,0.048269,0.084265
B33 9,0.053871,0.132855
B34 6,0.046968,0.110574
B34 7,0.071104,0.149485
B35 6,0.045516,0.153299
B35 7,0.027537,0.317955
B35 9,0.036822,0.234410
B36 0,0.119055,0.200056
B36 8,0.039393,0.188843
B36 9,0.054324,0.121939
B37 5,0.079577,0.206475
B37 6,0.047282,0.102008
B37 7,0.038543,0.130575
B37 9,0.053197,0.143492
B38 0,0.026401,0.035117
B38 8,0.053008,0.095612
B38 9,0.058972,0.089159
B4 6,0.107515,0.209396
B4 7,0.020691,0.092454
B40 1,0.021780,0.048342
B42 1,0.040744,0.115741
B42 2,0.128055,0.187916
B43 5,0.033165,0.063276
B43 6,0.030572,0.085444
B43 7,0.015635,0.068431
B44 0,0.070731,0.133708
B44 8,0.051990,0.122618
B44 9,0.052233,0.095154
B45 0,0.077157,0.125005
B45 5,0.047818,0.087532
B45 8,0.051639,0.080099
B45 9,0.029755,0.075584
B46 1,0.030297,0.096241
B46 2,0.007569,0.039378
B46 3,0.021070,0.064374
B46 9,0.021151,0.070153
B47 5,0.048558,0.111994
B47 6,0.034216,0.098610
B48 7,0.081894,0.144704
B49 5,0.066821,0.119409
B49 6,0.044676,0.121257
B49 9,0.054842,0.120206
B5 4,0.039930,0.106463
B5 5,0.167925,0.276947
B5 6,0.127943,0.201484
B5 7,0.024478,0.117819
B50 4,0.038203,0.081218
B6 4,0.107405,0.301937
B6 5,0.040739,0.086217
B6 6,0.040764,0.195860
B6 7,0.075712,0.237431
B6 9,0.061843,0.198328
B60 1,0.022539,0.040299
B60 2,0.027087,0.058963
B60 3,0.037775,0.075575
B60 4,0.055361,0.110756
B60 9,0.016005,0.032146
B61 0,0.027310,0.076717
B61 7,0.029000,0.071876
B61 8,0.079980,0.161359
B61 9,0.011185,0.036864
B62 0,0.048129,0.071215
B62 2,0.071131,0.123131
B62 8,0.059185,0.095661
B62 9,0.099671,0.184947
B63 1,0.053229,0.128428
B63 2,0.038655,0.065210
B63 3,0.060906,0.088376
B63 4,0.045721,0.099267
B64 5,0.099653,0.210015
B64 6,0.140351,0.262340
B64 7,0.087516,0.156778
B65 0,0.106805,0.204122
B65 8,0.056424,0.157569
B65 9,0.056626,0.119555
B66 1,0.042064,0.096579
B66 2,0.147815,0.269045
B66 3,0.039217,0.130303
B66 4,0.034154,0.120746
B67 5,0.025595,0.057039
B67 6,0.049821,0.120359
B67 7,0.062368,0.114008
B67 9,0.045716,0.097572
B68 0,0.037395,0.060121
B68 8,0.041089,0.086975
B68 9,0.015641,0.039934
B69 1,0.063689,0.163592
B69 2,0.065754,0.200619
B69 3,0.091318,0.181428
B69 4,0.063852,0.194286
B69 9,0.029409,0.077714
B7 4,0.038418,0.096612
B7 5,0.016374,0.101966
B70 0,0.039840,0.115402
B70 1,0.056168,0.121350
B70 6,0.018159,0.095506
B70 7,0.113545,0.193148
B70 8,0.059295,0.098007
B70 9,0.064967,0.115975
B71 1,0.066637,0.187113
B71 2,0.048398,0.151142
B71 3,0.083383,0.154793
B71 4,0.049685,0.095573
B72 1,0.052401,0.100538
B73 5,0.049047,0.110968
B73 6,0.034982,0.095153
B73 9,0.042518,0.103683
B74 2,0.019483,0.061690
B74 3,0.023332,0.051454
B74 4,0.017117,0.054844
B75 5,0.023217,0.063933
B75 6,0.026657,0.073405
B75 7,0.062269,0.138631
B76 0,0.012682,0.057744
B76 1,0.034177,0.106221
B76 2,0.026229,0.100432
B76 9,0.046877,0.116202
B77 1,0.028934,0.049383
B77 2,0.024320,0.075990
B77 3,0.051563,0.147752
B77 4,0.027908,0.053066
B77 5,0.030751,0.090878
B77 9,0.021407,0.054324
B78 1,0.057518,0.116001
B78 2,0.051360,0.104336
B78 3,0.043522,0.116943
B79 0,0.020299,0.050304
B79 7,0.032593,0.168758
B79 8,0.070382,0.183496
B79 9,0.043545,0.076857
B8 1,0.036465,0.102561
B8 2,0.032684,0.092716
B8 3,0.041847,0.100353
B80 7,0.088111,0.153218
B9 4,0.047701,0.153398
B9 5,0.048195,0.101844
B9 9,0.048219,0.119805
B90 1,0.040339,0.091998
B90 2,0.081539,0.191889
B90 3,0.052388,0.136794
B90 4,0.055697,0.134152
B90 8,0.041914,0.062153
B90 9,0.055081,0.129965
B91 1,0.074579,0.121228
B91 2,0.047795,0.079187
B91 3,0.046262,0.109662
B91 9,0.028740,0.053536
B92 0,0.018185,0.093849
B92 7,0.069210,0.150133
B92 8,0.069749,0.166307
B92 9,0.033437,0.086550
B93 0,0.026810,0.058777
B93 3,0.051072,0.090829
B93 8,0.080453,0.137574
B93 9,0.034213,0.055776
B94 5,0.042084,0.073497
B94 6,0.018361,0.052299
B95 5,0.066689,0.114124
B95 6,0.059604,0.091265
B95 8,0.063585,0.106716
B96 6,0.047881,0.100598
B97 4,0.087834,0.162346
B97 5,0.036112,0.074124
B97 6,0.117835,0.186291
B97 9,0.048625,0.085761
B98 0,0.077068,0.176504
B98 7,0.056185,0.128677
B98 8,0.064142,0.139832
B98 9,0.102101,0.138344
BA1 0,0.013706,0.037119
BA1 1,0.101174,0.229837
BA1 2,0.068674,0.196317
BA1 3,0.049974,0.128331
BA1 4,0.018633,0.061019
BA1 5,0.026461,0.092022
BA1 6,0.031816,0.094502
BA1 7,0.017817,0.024192
BA1 8,0.009034,0.035828
BA1 9,0.011041,0.071568
BA10 0,0.023097,0.068816
BA11 1,0.048677,0.119753
BA11 2,0.045438,0.084831
BA11 3,0.018414,0.065211
BA11 4,0.063487,0.113355
BA11 5,0.039004,0.072456
BA11 6,0.062196,0.088511
BA11 9,0.045186,0.091236
BA12 0,0.027650,0.050455
BA12 2,0.040099,0.070600
BA12 6,0.045386,0.089966
BA12 7,0.021154,0.037057
BA12 8,0.055270,0.093461
BA12 9,0.046676,0.073390
BA13 2,0.029700,0.168657
BA13 3,0.050256,0.115336
BA13 4,0.039244,0.082705
BA13 9,0.044551,0.102985
BA14 0,0.093019,0.155504
BA14 4,0.059239,0.105884
BA14 6,0.043184,0.062230
BA14 7,0.037036,0.078982
BA14 8,0.044209,0.107184
BA14 9,0.082112,0.128363
BA15 1,0.056609,0.106230
BA15 2,0.023988,0.047569
BA15 5,0.043479,0.082822
BA16 0,0.069544,0.114693
BA16 9,0.021413,0.028665
BA2 0,0.027146,0.045540
BA2 1,0.023160,0.046790
BA2 2,0.024950,0.075880
BA2 3,0.129564,0.255425
BA2 4,0.059704,0.124610
BA2 5,0.035775,0.072029
BA2 6,0.039986,0.113620
BA2 7,0.029259,0.058911
BA2 8,0.015407,0.043338
BA2 9,0.042055,0.050357
BA20 1,0.090516,0.125466
BA20 2,0.041209,0.070400
BA20 9,0.059900,0.091925
BA21 3,0.033227,0.056990
BA21 4,0.011257,0.026960
BA21 5,0.030151,0.067371
BA22 7,0.025962,0.060864
BA22 8,0.043716,0.073475
BA22 9,0.036066,0.079448
BA3 2,0.030060,0.093624
BA3 3,0.055255,0.095077
BA3 4,0.053857,0.101989
BA3 5,0.050302,0.089356
BA3 9,0.047888,0.094998
BA4 4,0.030595,0.051522
BA4 5,0.046038,0.129461
BA4 6,0.050438,0.105662
BA4 9,0.015024,0.034041
BA5 1,0.042464,0.105192
BA5 2,0.073772,0.151702
BA5 3,0.021812,0.044420
BA5 9,0.047569,0.104172
BA6 0,0.077461,0.131475
BA6 8,0.053804,0.095604
BA6 9,0.103681,0.170630
BA7 7,0.054652,0.084637
BA8 0,0.062075,0.109909
BA9 0,0.044509,0.083782
BA9 8,0.027204,0.046683
BA9 9,0.054047,0.103796
BB1 1,0.058173,0.146345
BB1 2,0.051985,0.086159
BB1 3,0.080467,0.107789
BB1 4,0.032243,0.055135
BB1 5,0.165484,0.224554
BB1 6,0.095445,0.144625
BB1 7,0.125892,0.148408
BB1 8,0.030272,0.040655
BB1 9,0.059000,0.110511
BB10 1,0.090331,0.167317
BB10 2,0.045452,0.110176
BB10 3,0.056103,0.090603
BB10 4,0.093081,0.168061
BB11 1,0.052511,0.114294
BB11 2,0.056492,0.094649
BB11 3,0.075807,0.151999
BB11 4,0.026520,0.095494
BB11 5,0.057188,0.101508
BB11 9,0.022101,0.045613
BB12 0,0.022834,0.059732
BB12 6,0.072980,0.108066
BB12 7,0.071372,0.092470
