name,households,postcodes
CB2,14186,1967
CB21,3514,521
CB22,5812,707
CB23,8083,1013
CB24,7389,938
CB25,4326,515
CB3,11929,1475
CB4,26211,2515
CB5,7903,868
CB6,16551,1049
CB7,12107,1031
CB8,15692,1568
CB9,13498,1017
CF1,11102,2303
CF10,3512,1182
CF11,9731,1460
CF14,16395,2230
CF15,4464,654
CF2,16566,1899
CF23,11326,1246
CF24,11263,1448
CF3,20199,1956
CF30,272,94
CF31,19757,1541
CF32,13757,907
CF33,6517,356
CF34,8727,491
CF35,7508,548
CF36,7328,555
CF37,16981,1203
CF38,9259,526
CF39,12764,660
CF4,18864,2324
CF40,8477,588
CF41,4827,281
CF42,5913,381
CF43,5221,321
CF44,18057,1208
CF45,8505,489
CF46,6359,397
CF47,9445,809
CF48,12033,896
CF5,29185,1895
CF6,20623,2264
CF61,2528,266
CF62,10944,1106
CF63,5923,687
CF64,9113,1274
CF7,6623,791
CF71,2705,417
CF72,7244,849
CF8,14930,1660
CF81,3616,430
CF82,4961,596
CF83,13090,1492
CF91,12,20
CF95,6,7
CF99,8,2
CH1,14791,2018
CH2,14649,1028
CH25,122,123
CH26,205,87
CH27,257,117
CH28,229,45
CH29,214,112
CH3,15474,1315
CH30,178,47
CH31,193,103
CH32,249,121
CH33,315,79
CH34,415,142
CH4,15063,1147
CH41,4927,1118
CH42,7335,810
CH43,8388,1086
CH44,6268,910
CH45,6746,928
CH46,5745,692
CH47,2113,431
CH48,3506,624
CH49,6541,783
CH5,17960,1432
CH6,7499,574
CH60,2810,578
CH61,3743,492
CH62,6769,973
CH63,6439,949
CH64,4402,761
CH65,6925,974
CH66,8203,1069
CH7,22435,1913
CH70,172,49
CH8,8892,807
CH88,74,26
CH99,111,50
CM0,7643,709
CM1,29306,2772
CM11,7312,597
CM12,8831,821
CM13,10610,967
CM14,9348,1049
CM15,9753,816
CM16,9897,986
CM17,10658,648
CM18,10453,612
CM19,8682,582
CM2,24761,1808
CM20,10143,1212
CM21,4659,471
CM22,6097,677
CM23,17712,1697
CM24,3700,448
CM3,23043,2150
CM4,4331,593
CM5,4920,611
CM6,11811,1118
CM7,24017,2938
CM77,3806,522
CM8,14793,1217
CM9,15043,1652
CM92,115,18
CM98,189,20
CM99,373,185
CO1,8373,1140
CO10,21752,2366
CO11,6130,680
CO12,10391,796
CO13,6170,549
CO14,3435,280
CO15,21052,1768
CO16,11912,935
CO2,16269,1158
CO3,14038,1451
CO4,21017,1701
CO5,12414,1218
CO6,12601,1423
CO7,15214,1605
CO8,965,142
CO9,11935,1190
CR0,56058,2894
CR2,25676,2173
CR3,19532,1938
CR4,31383,2016
CR44,121,22
CR5,7151,1056
CR6,2625,353
CR7,9457,969
CR8,7932,1161
CR9,9612,1909
CR90,253,301
CT1,12132,1448
CT10,11202,1006
CT11,13585,1174
CT12,8081,649
CT13,3899,542
CT14,16349,1420
CT15,5916,690
CT16,9323,969
CT17,9010,681
CT18,5907,512
CT19,11656,839
CT2,11355,998
CT20,11226,1309
CT21,8132,865
CT3,8146,889
CT4,7259,960
CT5,14846,1311
CT50,87,12
CT6,17606,1343
CT7,5708,483
CT8,3657,264
CT9,19971,1718
CV1,12249,1516
CV10,23587,1187
CV11,17413,1301
CV12,13798,816
CV13,4735,412
CV2,27524,1544
CV21,17274,1563
CV22,15651,929
CV23,11767,1145
CV3,28186,1930
CV31,13582,1210
CV32,14447,1307
CV33,6296,739
CV34,15362,1450
CV35,11410,1197
CV36,4920,486
CV37,20142,2183
CV4,12930,925
CV47,5252,804
CV5,20394,1181
CV6,34823,2095
CV7,11977,956
CV8,13508,1122
CV9,9507,851
CW1,19091,2064
CW10,7212,566
CW11,12497,1792
CW12,14527,1401
CW2,18833,1287
CW3,4258,413
CW4,4545,466
CW5,14524,1294
CW6,5742,768
CW7,14471,1245
CW8,17179,1327
CW9,14835,1624
CW98,2,2
DA1,25323,1943
DA10,4315,331
DA11,15708,1044
DA12,19199,1463
DA13,5944,500
DA14,10016,739
DA15,11386,853
DA16,13820,746
DA17,7560,509
DA18,1920,101
DA2,9595,645
DA3,6795,534
DA4,3895,305
DA5,8838,641
DA6,4475,417
DA7,14109,1049
DA8,14189,965
DA9,6343,388
DD1,14298,1300
DD10,8700,791
DD11,11922,1084
DD2,18180,1653
DD3,14463,1315
DD4,16036,1458
DD5,12626,1148
DD6,4190,381
DD7,4619,420
DD8,15629,1421
DD9,5455,496
DE1,7215,1790
DE11,19705,1319
DE12,9395,648
DE13,18473,1132
DE14,13596,1286
DE15,10932,594
DE2,22094,2123
DE21,13583,1448
DE22,11952,1186
DE23,13878,1567
DE24,13474,1261
DE3,26074,2653
DE4,17523,1583
DE45,2207,394
DE5,20832,1770
DE55,19530,1502
DE56,10503,1222
DE6,15199,1453
DE65,6932,678
DE7,34671,2691
DE72,5077,514
DE73,7023,942
DE74,3464,395
DE75,4888,411
DE99,8,6
DG1,14386,1308
DG10,2750,250
DG11,7886,717
DG12,5719,520
DG13,1771,161
DG14,924,84
DG16,1722,159
DG2,10712,974
DG3,3278,298
DG4,2244,204
DG5,2585,235
DG6,3234,294
DG7,8183,744
DG8,10261,933
DG9,9998,909
DH1,18971,2009
DH2,13957,869
DH3,12222,1101
DH4,14925,1182
DH5,9528,669
DH6,15633,1183
DH7,19449,1455
DH8,18263,1737
DH9,17473,1417
DH97,12,4
DH98,6,3
DH99,103,31
DL1,22194,2020
DL10,8244,1119
DL11,2230,491
DL12,5873,864
DL13,6605,1066
DL14,17299,1578
DL15,10356,807
DL16,10173,767
DL17,8745,621
DL2,8212,961
DL3,19577,1540
DL4,4796,364
DL5,13016,1112
DL6,7094,797
DL7,6778,974
DL8,8949,1304
DL9,4650,510
DL98,113,12
DN1,5905,1183
DN10,5838,679
DN11,13089,978
DN12,10736,742
DN14,21184,2011
DN15,15482,1335
DN16,14289,876
DN17,15743,1126
DN18,5620,448
DN19,2922,273
DN2,10276,720
DN20,8457,843
DN21,17532,1671
DN22,16131,1513
DN3,13485,857
DN31,5279,989
DN32,12103,916
DN33,8705,615
DN34,8177,558
DN35,15165,980
DN36,8994,722
DN37,10441,1010
DN38,1303,122
DN39,1241,140
DN4,23085,1681
DN40,5229,620
DN41,1570,276
DN5,17763,1172
DN55,40,60
DN6,13222,999
DN7,9503,782
DN8,8045,570
DN9,8814,856
DT1,9891,1099
DT10,5321,563
DT11,12734,1343
DT2,11636,1287
DT3,10903,795
DT4,17580,1477
DT5,5699,411
DT6,10442,1220
DT7,2548,338
DT8,2836,272
DT9,9878,1125
DY1,14185,1204
DY10,15523,1329
DY11,14098,1088
DY12,5911,697
DY13,10125,904
DY14,4269,687
DY2,14036,979
DY3,15470,932
DY4,19135,1250
DY5,18623,1232
DY6,12337,1013
DY7,3638,444
DY8,22196,1679
DY9,13423,1104
E1,29387,3004
E10,16685,1109
E11,22222,1490
E12,12521,719
E13,16521,945
E14,43093,2940
E15,21820,1463
E16,23808,1413
E17,41458,2748
E18,8205,654
E1W,4050,876
E2,19402,1590
E20,4135,235
E3,26543,1583
E4,24748,1537
E5,18679,1163
E6,24872,1981
E7,16332,1056
E77,371,39
E8,19436,1336
E9,16441,1048
E98,280,76
EC1A,659,617
EC1M,1079,527
EC1N,1169,513
EC1P,90,400
EC1R,1715,580
EC1V,7391,1049
EC1Y,1690,445
EC2A,1634,915
EC2M,335,821
EC2N,52,264
EC2P,110,380
EC2R,73,353
EC2V,546,456
EC2Y,991,294
EC3A,185,507
EC3B,0,1
EC3M,94,480
EC3N,532,392
EC3P,27,122
EC3R,78,396
EC3V,68,347
EC4A,302,512
EC4M,106,343
EC4N,74,372
EC4P,52,214
EC4R,54,272
EC4V,106,436
EC4Y,240,411
EC50,29,129
EC88,131,71
EH1,8392,763
EH10,12681,1153
EH11,14199,1291
EH12,19115,1738
EH13,4927,448
EH14,14056,1278
EH15,9019,820
EH16,12901,1173
EH17,7083,644
EH18,1364,124
EH19,5125,466
EH2,8755,796
EH20,3102,282
EH21,9646,877
EH22,14188,1290
EH23,3750,341
EH24,902,82
EH25,1771,161
EH26,6896,627
EH27,935,85
EH28,1958,178
EH29,1496,136
EH3,16575,1507
EH30,3289,299
EH31,1210,110
EH32,6643,604
EH33,4828,439
EH34,1067,97
EH35,858,78
EH36,121,11
EH37,1144,104
EH38,165,15
EH39,5400,491
EH4,24229,2203
EH40,825,75
EH41,5939,540
EH42,4333,394
EH43,319,29
EH44,1364,124
EH45,4861,442
EH46,1397,127
EH47,9041,822
EH48,12406,1128
EH49,6049,550
EH5,8524,775
EH51,5257,478
EH52,7237,658
EH53,3585,326
EH54,15464,1406
EH55,3431,312
EH6,16036,1458
EH7,12736,1158
EH8,8469,770
EH9,8128,739
EH91,275,25
EH95,66,6
EH99,33,3
EN1,17338,1702
EN10,7254,585
EN11,9178,1137
EN2,13601,1191
EN3,21021,1444
EN4,10416,897
EN5,16315,1796
EN6,12253,1428
EN7,8328,623
EN8,16060,1511
EN9,10949,872
EX1,10927,1485
EX10,8357,985
EX11,3885,394
EX12,4800,594
EX13,6960,962
EX14,9998,1790
EX15,9811,1030
EX16,14404,1614
EX17,8856,1160
EX18,1521,222
EX19,1689,255
EX2,18879,1858
EX20,9564,1204
EX21,2128,313
EX22,5357,678
EX23,7381,837
EX24,1085,241
EX3,2788,315
EX31,12323,1209
EX32,10641,1132
EX33,4487,422
EX34,7404,846
EX35,765,153
EX36,4497,477
EX37,1575,220
EX38,3720,376
EX39,17830,1641
EX4,23058,2109
EX5,10895,1307
EX6,6855,860
EX7,6572,615
EX8,16985,1417
EX9,3345,398
FK1,13979,1271
FK10,12076,1098
FK11,902,82
FK12,1837,167
FK13,2277,207
FK14,2145,195
FK15,5191,472
FK16,1100,100
FK17,1793,163
FK18,99,9
FK19,385,35
FK2,15332,1394
FK20,308,28
FK21,616,56
FK3,6874,625
FK4,4278,389
FK5,5884,535
FK6,4740,431
FK7,11834,1076
FK8,9514,865
FK9,5884,535
FY0,81,7
FY1,14732,1780
FY2,11188,693
FY3,14906,1027
FY4,20979,1448
FY5,21149,1485
FY6,13269,1045
FY7,11637,869
FY8,21706,1858
G1,13506,1228
G11,8909,810
G12,10547,959
G13,12153,1105
G14,6467,588
G15,6390,581
G2,23822,2166
G20,13715,1247
G21,11229,1021
G22,7435,676
G23,1826,166
G3,11702,1064
G31,12197,1109
G32,13484,1226
G33,15750,1432
G34,3706,337
G4,7182,653
G40,9250,841
G41,13891,1263
G42,11889,1081
G43,6126,557
G44,9107,828
G45,4762,433
G46,10217,929
G5,8238,749
G51,13220,1202
G52,11823,1075
G53,9899,900
G58,275,25
G60,2277,207
G61,11372,1034
G62,6357,578
G63,5422,493
G64,10206,928
G65,8062,733
G66,16762,1524
G67,10976,998
G68,4806,437
G69,12461,1133
G70,121,11
G71,12659,1151
G72,15772,1434
G73,14210,1292
G74,14947,1359
G75,10899,991
G76,8480,771
G77,9239,840
G78,9195,836
G79,22,2
G80,154,14
G81,13825,1257
G82,11240,1022
G83,8777,798
G84,12208,1110
G9,198,18
G90,429,39
GL1,16652,1643
GL10,6766,563
GL11,8142,765
GL12,6172,568
GL13,2740,279
GL14,6801,851
GL15,9508,951
GL16,6285,579
GL17,5237,767
GL18,3879,378
GL19,3719,438
GL2,25643,2158
GL20,12803,1227
GL3,14346,1256
GL4,19910,2144
GL5,13428,1353
GL50,10407,1636
GL51,23695,2196
GL52,21559,2060
GL53,8661,926
GL54,11217,1327
GL55,2774,367
GL56,4854,660
GL6,11540,1455
GL7,20121,2113
GL8,4248,423
GL9,747,126
GU1,13494,1890
GU10,10094,1252
GU11,10435,1169
GU12,13606,982
GU13,6872,1083
GU14,22427,1918
GU15,15770,1852
GU16,9860,1173
GU17,9182,1015
GU18,2882,237
GU19,2590,262
GU2,11406,1706
GU20,1787,260
GU21,20353,2111
GU22,14061,1602
GU23,2895,387
GU24,7126,804
GU25,2328,364
GU26,3495,368
GU27,7309,962
GU28,2986,471
GU29,4639,604
GU3,4477,555
GU30,4271,437
GU31,4568,546
GU32,5708,807
GU33,3675,451
