name,area,households,group,premium,capital,el_total,el_sub,el_wx,el_fl,el_gw,el_th,el_eow,el_fire,el_ad,sub_score,wx_score,fl_score,gw_score,f_high,f_low,sw_high,sw_low,gw_frac,sw_depth_m,sw_sev,rs_depth_m,rs_sev,th_rate,eow_rate,frost_days,fire_rate,ad_rate,wind_ms,gust_rp50,rain10_days,precip_mm,tvar99_vine,tvar99_euler,uplift_pct,el_er,er_score,er_head,er_basis,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,cc_covered,premium_cc,el_total_cc,cc_uplift_pct,country,geol,sup_geol,sup_frac
AB24,AB,12714.0,3,143.2,4.0036,139.16,5.22,14.05,17.63,1.75,6.83,32.23,49.83,11.63,0.1531,0.2739,0.6362,0.8802,0.0032,0.0034,0.105,0.1759,0.02,0.0,1.0,0.0,1.0,0.0029,0.0098,29.6,0.0042,0.0086,4.7,139.0,18.0,857.0,10387.1,205.9,2.02,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143.153,139.16,0.0,Scotland,none (low-plasticity bedrock),Till,0.9441
AB25,AB,7600.0,6,173.5,5.1633,168.34,5.5,14.01,38.17,1.75,7.25,36.61,52.85,12.2,0.1666,0.2729,0.9732,0.8802,0.075,0.0987,0.1364,0.2506,0.02,0.0,1.0,0.0,1.0,0.0029,0.0105,37.9,0.0042,0.0085,4.7,139.0,20.3,857.0,12926.5,254.4,3.1137,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,173.5457,168.34,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9957
AB30,AB,5035.0,4,153.5,5.5896,147.91,7.86,16.16,20.46,1.75,3.44,53.13,28.3,16.81,0.2582,0.3251,0.636,0.8802,0.0312,0.0348,0.0611,0.1147,0.02,0.0,1.0,0.0,1.0,0.0011,0.0117,51.6,0.0017,0.009,4.4,152.0,26.1,1009.0,10549.2,241.1,3.1246,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,153.4224,147.91,0.0,Scotland,none (low-plasticity bedrock),Till,0.9911
AB31,AB,10165.0,7,180.6,6.4216,174.18,7.31,10.03,18.51,1.75,4.24,75.73,35.65,20.97,0.2318,0.1697,0.628,0.8802,0.0129,0.0222,0.0867,0.138,0.02,0.0,1.0,0.0,1.0,0.001,0.0132,69.9,0.0017,0.0089,3.7,142.0,25.0,966.0,12343.8,281.2,3.1047,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,180.4016,174.18,0.0,Scotland,none (low-plasticity bedrock),Till,0.991
AB32,AB,5708.0,7,175.8,6.224,169.58,7.79,10.13,17.49,1.75,4.19,72.1,35.24,20.9,0.2318,0.1725,0.6231,0.8802,0.004,0.0098,0.1033,0.1452,0.02,0.0,1.0,0.0,1.0,0.001,0.0127,64.1,0.0017,0.0089,4.0,139.0,19.5,866.0,12086.3,273.3,3.6214,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,175.6112,169.58,0.0,Scotland,none (low-plasticity bedrock),Till,0.9843
AB33,AB,4254.0,7,178.8,6.5985,172.24,8.26,14.46,18.1,1.75,3.68,76.75,30.97,18.28,0.2648,0.2839,0.5958,0.8802,0.0191,0.0232,0.0676,0.1126,0.02,0.0,1.0,0.0,1.0,0.001,0.0154,95.1,0.0017,0.0089,4.6,137.0,27.1,973.0,11729.1,282.2,3.3426,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,178.6692,172.24,0.0,Scotland,none (low-plasticity bedrock),Till,0.9828
AB34,AB,4254.0,7,184.3,6.7106,177.59,6.7,8.3,23.27,1.75,3.92,81.39,33.01,19.25,0.2089,0.121,0.6986,0.8802,0.0361,0.0574,0.0742,0.1191,0.02,0.0,1.0,0.0,1.0,0.001,0.0153,94.2,0.0017,0.0088,3.6,135.0,21.7,951.0,12459.6,289.4,2.5432,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,184.0919,177.59,0.0,Scotland,none (low-plasticity bedrock),Till,0.9862
AB35,AB,2580.0,10,225.0,8.5134,216.48,6.53,22.59,56.25,1.75,3.51,79.52,29.51,16.83,0.2423,0.4732,1.0,0.8802,0.1419,0.3153,0.0981,0.1487,0.02,0.0,1.0,0.0,1.0,0.001,0.0167,111.0,0.0017,0.0086,5.1,138.0,28.7,1374.0,15339.7,358.4,5.5919,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,224.9639,216.48,0.0,Scotland,none (low-plasticity bedrock),Alluvium,0.8777
AB36,AB,735.0,8,188.7,7.1104,181.59,6.6,18.53,23.15,1.75,3.4,83.09,28.63,16.44,0.2369,0.3812,0.6493,0.8802,0.053,0.0561,0.0397,0.0562,0.02,0.0,1.0,0.0,1.0,0.001,0.018,126.1,0.0017,0.0086,5.1,138.0,27.1,1143.0,11965.1,300.1,2.2264,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,188.5416,181.59,0.0,Scotland,none (low-plasticity bedrock),Till,0.9251
AB37,AB,1376.0,4,151.9,5.6845,146.26,7.03,15.49,19.67,1.75,3.89,60.04,24.9,13.5,0.2488,0.3091,0.6,0.8802,0.0332,0.0352,0.0529,0.0726,0.02,0.0,1.0,0.0,1.0,0.0014,0.0158,99.6,0.0018,0.0086,4.5,144.0,22.5,1011.0,10046.4,241.0,2.6833,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,151.8463,146.26,0.0,Scotland,none (low-plasticity bedrock),Till,0.9718
AB38,AB,2533.0,6,167.4,6.3667,161.08,7.76,15.84,43.16,1.75,3.7,52.08,23.75,13.04,0.2589,0.3174,0.9933,0.8802,0.1135,0.1313,0.1086,0.1368,0.02,0.0,1.0,0.0,1.0,0.0014,0.0143,82.6,0.0018,0.0087,4.4,150.0,25.4,1013.0,11965.6,267.2,5.0802,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,167.4678,161.08,0.0,Scotland,none (low-plasticity bedrock),Alluvium,0.9889
AB39,AB,8507.0,8,192.2,7.0476,185.13,5.38,18.98,38.79,1.75,3.73,66.57,31.4,18.53,0.162,0.3916,0.9283,0.8802,0.1039,0.1061,0.0824,0.1476,0.02,0.0,1.0,0.0,1.0,0.001,0.0132,68.9,0.0017,0.0089,5.0,150.0,22.9,963.0,13154.1,302.6,2.0913,0.69,0.07691,0.0002213,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-05,0.0002213,2.38e-05,5.1e-05,0,192.1197,185.13,0.0,Scotland,none (low-plasticity bedrock),Till,0.9386
